,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",1647911,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Caramelo,Ozuna,1579684,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
3,Relación,Sech,1573223,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
4,"Tattoo - Remix","Rauw Alejandro",1170399,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
5,"La Curiosidad","Jay Wheeler",1161729,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
6,"Tak Tiki Tak","Harry Nach",1156075,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
7,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1135926,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
8,PORFA,Feid,1062139,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
9,Colocao,"Nicki Nicole",1011118,https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
10,"Hasta Que Dios Diga","Anuel AA",974703,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
11,Favorito,Camilo,962939,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
12,Flexin',"Lit Killah",882789,https://open.spotify.com/track/0hwEhPxCBLKiqeBMZavGAv
13,Rojo,"J Balvin",869748,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
14,Inolvidable,"Ovy On The Drums",825892,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
15,Tattoo,"Rauw Alejandro",803612,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
16,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,791383,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
17,"Yo Perreo Sola","Bad Bunny",781437,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
18,"Zaramay: Bzrp Music Sessions, Vol. 31",Bizarrap,755768,https://open.spotify.com/track/2PKb7tFxkwMoS7Y6muOTAR
19,"Djadja (feat. Maluma) - Remix","Aya Nakamura",735439,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
20,Safaera,"Bad Bunny",698300,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
21,"Como Llora",Juanfran,677097,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
22,"Watermelon Sugar","Harry Styles",670707,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
23,"Blinding Lights","The Weeknd",651071,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,"TKN (feat. Travis Scott)",ROSALÍA,641687,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
25,Azul,"J Balvin",630138,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
26,Diosa,"Myke Towers",628827,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
27,"La Jeepeta (Remix) [DJ Alan & Jona Mix Version]","DJ Alan Gomez",614964,https://open.spotify.com/track/4h7RYyJA1jVaURg3JO7T2y
28,Tusa,"KAROL G",593620,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
29,"Por Primera Vez",Camilo,591185,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
30,"El Efecto - Remix","Rauw Alejandro",574724,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
31,Locura,"Cali Y El Dandee",565313,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
32,"Hola - Remix",Dalex,560789,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
