,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",302504,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,Bläulich,"Apache 207",282031,https://open.spotify.com/track/57tck8MCxkY6tcQC6VhahR
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,222618,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,"Tiefschwarz (feat. Samra)","Kontra K",207093,https://open.spotify.com/track/7bDSLyTjZ1VjU5kPHTL3Ko
5,"GEH DEIN WEG (feat. Loredana)","KC Rebell",185521,https://open.spotify.com/track/3yFmG1luaLjuHWI6BGmwxJ
6,"Never Let Me Down",VIZE,172342,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
7,Hollywood,"LA Vision",171652,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
8,"Roses - Imanbek Remix","SAINt JHN",162715,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,Airwaves,Pashanim,161785,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
10,"Blinding Lights","The Weeknd",159976,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Come & Go (with Marshmello)","Juice WRLD",146118,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
12,"Watermelon Sugar","Harry Styles",145618,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"In meinem Benz","AK AUSSERKONTROLLE",135733,https://open.spotify.com/track/6BXyD6UUPizpRpA7iOi99r
14,Alane,"Robin Schulz",135337,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
15,XXL,"Miksu / Macloud",133725,https://open.spotify.com/track/0p3euGPg5LgFeQGC7bBFuR
16,"ily (i love you baby) (feat. Emilee)","Surf Mesa",126489,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
17,"Big Body Benz","Bonez MC",126479,https://open.spotify.com/track/2WOJ7D52Ng3myrKlEf4Azj
18,"Breaking Me",Topic,123192,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
19,"Kings & Queens","Ava Max",122195,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
20,"Ich weiß nicht mal wie sie heißt","Capital Bra",111271,https://open.spotify.com/track/4KfL3Ne8bc9bC2PUB8QGwA
21,"Sin City",Azet,108054,https://open.spotify.com/track/1NIZfoTuiAHIm9VUAwsPZy
22,Roller,"Apache 207",105915,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
23,Fame,"Apache 207",102259,https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT
