,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,445054,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",420034,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,MAMACITA,"Black Eyed Peas",301951,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
4,"Blinding Lights","The Weeknd",300874,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Roses - Imanbek Remix","SAINt JHN",293746,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"Breaking Me",Topic,286644,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
7,"Watermelon Sugar","Harry Styles",270752,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
8,"Djomb - Bien ou quoi",Bosh,240811,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
9,"Party Girl (Remix)",StaySolidRocky,240165,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
10,"Tout Est Bon",Boef,231780,https://open.spotify.com/track/1tA3foex0E78CzVzNkDhdf
11,"Toosie Slide",Drake,229998,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",220752,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,"Kom Wat Dichterbij - Uit Liefde Voor Muziek",Regi,208772,https://open.spotify.com/track/2KaJryomBxy8UxpjCAkvvY
14,"Rain On Me (with Ariana Grande)","Lady Gaga",205670,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
15,"Dance Monkey","Tones And I",203453,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"Break My Heart","Dua Lipa",193811,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
17,Angela,Hatik,181520,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
18,"Kings & Queens","Ava Max",180628,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
19,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,180200,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
20,Supalonely,BENEE,179584,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
21,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,176979,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,Anissa,Wejdene,169086,https://open.spotify.com/track/62Pp6exz0ywSlBqvNqiY6Z
23,"In Your Eyes","The Weeknd",161614,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
24,"TKN (feat. Travis Scott)",ROSALÍA,155458,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
25,"In Your Eyes (feat. Alida)","Robin Schulz",151177,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
26,"Come & Go (with Marshmello)","Juice WRLD",150339,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
27,GOOBA,6ix9ine,143594,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
28,"Sunday Best",Surfaces,142000,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
29,"Don't Start Now","Dua Lipa",138706,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
30,Vergeten,Boef,137513,https://open.spotify.com/track/6uoKReqEKHziXfcDTckWC0
31,"Ride It",Regard,136769,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
32,"Grand bain",Dadju,136456,https://open.spotify.com/track/1fyVvRQsa095P7QK5Um7xH
33,"Stuck with U (with Justin Bieber)","Ariana Grande",135430,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
34,"Before You Go","Lewis Capaldi",133241,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
35,"The Box","Roddy Ricch",132134,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
36,"Love To Go","Lost Frequencies",130730,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
37,"Say So","Doja Cat",128914,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
38,"Never Seen the Rain","Tones And I",128285,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
39,Physical,"Dua Lipa",126682,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
40,Secrets,Regard,126266,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
41,"Wishing Well","Juice WRLD",124807,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
42,Tusa,"KAROL G",122984,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
43,"Blueberry Faygo","Lil Mosey",122692,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
44,"Someone You Loved","Lewis Capaldi",121532,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
45,"Lose Somebody",Kygo,120314,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
46,"Nooit Thuis",Boef,118716,https://open.spotify.com/track/0jGExV1jNFFC6rwWANc5UH
47,Falling,"Trevor Daniel",115364,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
48,"Rover (feat. DTG)",S1mba,112705,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
49,"Til 'Em Op",Boef,111995,https://open.spotify.com/track/7gKKB9iIc21UJqAbhKXKER
50,"Life's A Mess (feat. Halsey)","Juice WRLD",111847,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
51,"Some Say",Nea,109303,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
52,Conversations,"Juice WRLD",107632,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
53,Dior,"Pop Smoke",104299,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
54,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",104259,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
55,"Kort Lontje",Boef,103114,https://open.spotify.com/track/1aBkxC0tOZ21MZwWSuU8d2
56,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",101668,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
57,goosebumps,"Travis Scott",101514,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
58,"Play Date","Melanie Martinez",101211,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
59,"Intentions (feat. Quavo)","Justin Bieber",98796,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
60,"Some Say - Felix Jaehn Remix",Nea,97884,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
61,"THE SCOTTS","THE SCOTTS",96894,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
62,"bad guy","Billie Eilish",96408,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
63,Treinstation,Boef,95894,https://open.spotify.com/track/7yHf12Fxf8I1Q8Lhq6XqpZ
64,"If the World Was Ending - feat. Julia Michaels","JP Saxe",95438,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
65,Señorita,"Shawn Mendes",94353,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
66,"Hoe Het Danst","Marco Borsato",93016,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
67,"Mais je t'aime","Grand Corps Malade",92377,https://open.spotify.com/track/4dtG1p71E6VPt9BmVYWcY5
68,Skechers,DripReport,92102,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
69,Righteous,"Juice WRLD",91315,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
70,Baianá,Bakermat,90910,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
71,"Jongen van de Buurt",Boef,90486,https://open.spotify.com/track/0BVUmUU6HGQU6PHm2fEQg6
72,"Lose Control",MEDUZA,89551,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
73,"Be Kind (with Halsey)",Marshmello,86060,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
74,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",85964,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
75,Savage,"Megan Thee Stallion",84993,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
