,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",120384,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,111302,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Tattoo - Remix","Rauw Alejandro",99199,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,"Tak Tiki Tak","Harry Nach",83443,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
5,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",77502,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
6,"La Curiosidad","Jay Wheeler",73207,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
7,Rojo,"J Balvin",71290,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
8,Azul,"J Balvin",71116,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
9,Favorito,Camilo,69020,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
10,"Djadja (feat. Maluma) - Remix","Aya Nakamura",65515,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
11,Tattoo,"Rauw Alejandro",60545,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
12,"Blinding Lights","The Weeknd",58049,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,PORFA,Feid,57064,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
14,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,55447,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
15,"Pa' Olvidarme De Ella","Piso 21",53816,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
16,"Hola - Remix",Dalex,52858,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
17,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,51546,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
18,Tusa,"KAROL G",49878,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,Jangueo,"Alex Rose",49863,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
20,"Quiéreme Mientras Se Pueda","Manuel Turizo",49516,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
21,"Yo Perreo Sola","Bad Bunny",48981,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
22,"El Mismo Aire - con Pablo Alborán",Camilo,47782,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
23,"Hasta Que Dios Diga","Anuel AA",47314,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
24,Caramelo,Ozuna,46809,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
25,"Sigues Con El","Dímelo Flow",46179,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
26,Safaera,"Bad Bunny",45861,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
27,Diosa,"Myke Towers",43935,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
28,Morado,"J Balvin",43206,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
29,"Ay, DiOs Mío!","KAROL G",41280,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
30,"El Efecto","Rauw Alejandro",41278,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
31,Ignorantes,"Bad Bunny",41226,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
32,Fantasias,"Rauw Alejandro",41012,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
33,Locura,"Cali Y El Dandee",39759,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
34,"Por Primera Vez",Camilo,39754,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
35,"Si Me Dices Que Sí",Reik,39528,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
36,Amarillo,"J Balvin",38935,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
