,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Desce Pro Play (PA PA PA)","Mc Zaac",4828062,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
2,"Na Raba Toma Tapão",Niack,3781647,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
3,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",3034076,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
4,Ranking,"Jorge & Mateus",2953527,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
5,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2932674,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
6,"Graveto - Ao Vivo","Marília Mendonça",2827478,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
7,"Litrão - Ao Vivo","Matheus & Kauan",2809718,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
8,"Tudo Aconteceu","MC Du Black",2773107,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
9,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",2705807,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
10,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2647574,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
11,Flores,Vitão,2640020,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
12,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2565034,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
13,"Te Prometo","Dennis DJ",2466264,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
14,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",2405513,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
15,BRABA,"Luísa Sonza",2373490,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
16,"Investe Em Mim","Jonas Esticado",2296716,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
17,"S de Saudade","Luíza & Maurílio",2217755,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
18,"Vai Ter Que Aguentar","Mc Don Juan",2202052,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
19,"Viva Voz - Ao Vivo","Lauana Prado",2175103,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
20,"Saudade Sua","Gusttavo Lima",2031810,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
21,"Despedida - Ao Vivo","Wesley Safadão",2002247,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
22,"Libera Ela - Ao Vivo","Maiara & Maraisa",1944065,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql
23,"Roses - Imanbek Remix","SAINt JHN",1927060,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
24,"Mentira - Ao Vivo","Felipe Araújo",1913781,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1
25,ASAS,"Luan Santana",1881150,https://open.spotify.com/track/0j1tGcJJfq1nIs4i5GoHXv
26,"Comprei um Lança","Mc Jacare",1858766,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
27,"Don't Start Now","Dua Lipa",1850615,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
28,"Quero Você do Jeito Que Quiser","Marília Mendonça",1763745,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
29,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",1756086,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
30,"Tócame (feat. Arcangel & De La Ghetto)",Anitta,1752410,https://open.spotify.com/track/4cno0k9jDEFpLAQyHNjqVx
31,"Não Vai Embora",Dilsinho,1750894,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
32,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",1750212,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
33,"Desejando Eu (Ao Vivo)","Murilo Huff",1729682,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
34,"Watermelon Sugar","Harry Styles",1708258,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,"Cheirosa - Ao Vivo","Jorge & Mateus",1687004,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
36,"Blinding Lights","The Weeknd",1669703,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
37,"Vira Homem","Marília Mendonça",1644697,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ
38,"Briga Feia - Ao Vivo","Henrique & Juliano",1628514,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
39,"3 Batidas - Ao Vivo","Guilherme & Benuto",1620062,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
40,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo)","Grupo Menos É Mais",1615978,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
41,"Sogra - Ao Vivo",Dilsinho,1610019,https://open.spotify.com/track/4x8XaoLvpo6kd51PZD16RK
42,"menina solta","Giulia Be",1580992,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
43,"Nem Doeu - Ao Vivo","Matheus & Kauan",1549240,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
44,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",1537025,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
45,"água com açúcar - ao vivo","Luan Santana",1533668,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu
46,"Amor de Fim de Noite",Orochi,1475424,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
47,"How You Like That",BLACKPINK,1468881,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
48,"Pipa Voada (feat. Emicida)",Rashid,1458793,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
49,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,1453702,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
50,"Supera - Ao Vivo","Marília Mendonça",1424042,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
51,"Deus é por nós","MC Marks",1376407,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
52,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",1375182,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf
53,"Dance Monkey","Tones And I",1353240,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
54,"Sem Limites","WC no Beat",1334286,https://open.spotify.com/track/0DWUfq7vSAArkz82XHnuGm
55,"Não Valeu","Wesley Safadão",1318103,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
56,"Cobra Venenosa (feat. DJ Will22)",Ludmilla,1277831,https://open.spotify.com/track/15kdyHRNcHSCTRjvHvmqrs
57,"Balança (feat. Pedro Sampaio e FP do Trem Bala)","WC no Beat",1267351,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
58,SENTADÃO,"Pedro Sampaio",1264762,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
59,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",1259204,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
60,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",1216692,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
61,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",1159168,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
62,"Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix","Dj W-Beatz",1158717,https://open.spotify.com/track/59CnMc5PR9GdDFEVOpHSg9
63,"Toosie Slide",Drake,1156424,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
64,"Break My Heart","Dua Lipa",1114178,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
65,"Rain On Me (with Ariana Grande)","Lady Gaga",1112378,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
66,"Então Toma - Ao Vivo","Matheus & Kauan",1094050,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j
67,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1092385,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
68,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1042419,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
69,"Tá Rocheda","Os Barões Da Pisadinha",1039781,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
70,"Serenata - Ao Vivo","Marília Mendonça",1024281,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
71,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",1018289,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
72,"(não) era amor","Giulia Be",999165,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi
