,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,27937,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Roses - Imanbek Remix","SAINt JHN",22877,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
3,"Blinding Lights","The Weeknd",22588,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,GOOBA,6ix9ine,22366,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
5,"Watermelon Sugar","Harry Styles",20994,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
6,"TKN (feat. Travis Scott)",ROSALÍA,20636,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
7,"THE SCOTTS","THE SCOTTS",19916,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
8,"Beden v sartseto",Preslava,19249,https://open.spotify.com/track/5oE4QPgCrAs3itnmj2GmsM
9,"Breaking Me",Topic,18779,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",18475,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"TROLLZ (with Nicki Minaj)",6ix9ine,18456,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
12,"100 zhivota",Galena,17485,https://open.spotify.com/track/2rFZhVHWOwDxAy59qLUzLy
13,"Party Girl (Remix)",StaySolidRocky,16074,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
14,"Toosie Slide",Drake,16068,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
15,"Come & Go (with Marshmello)","Juice WRLD",15759,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
16,"HIGHEST IN THE ROOM","Travis Scott",15749,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
17,"Ai Ai",DARA,15507,https://open.spotify.com/track/1fuqkmon4fZoZsd3tbwv4v
18,Проблем,Konstantin,15294,https://open.spotify.com/track/6cFnPXiP22nmwG5LjGXnBS
19,"The Box","Roddy Ricch",15159,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
20,"GPS-A feat. Tedi Aleksandrova",Dessita,14614,https://open.spotify.com/track/5oqf078enQDAmnC3yspLMm
21,"Наливай ми feat. D3MO","Billy Hlapeto",14274,https://open.spotify.com/track/2VLkqMSEuj10HushVQ93jD
22,goosebumps,"Travis Scott",14152,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
23,"Life's A Mess (feat. Halsey)","Juice WRLD",14125,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
24,"How You Like That",BLACKPINK,14120,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
25,"Break My Heart","Dua Lipa",14005,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
26,"Blueberry Faygo","Lil Mosey",13915,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
27,"SICKO MODE","Travis Scott",13866,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
