,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Curiosidad","Jay Wheeler",1589346,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
2,"La Jeepeta - Remix","Nio Garcia",1446972,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
3,Relación,Sech,1290109,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
4,"CÓMO SE SIENTE - Remix","Jhay Cortez",1099160,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
5,"Hasta Que Dios Diga","Anuel AA",1080512,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
6,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1027900,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
7,"Tak Tiki Tak","Harry Nach",936072,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
8,Caramelo,Ozuna,916487,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
9,"Tattoo - Remix","Rauw Alejandro",882299,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
10,PORFA,Feid,825851,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
11,Reggaetonera,"Anuel AA",825180,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
12,Safaera,"Bad Bunny",789957,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
13,"El Efecto - Remix","Rauw Alejandro",713676,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
14,"Yo Perreo Sola","Bad Bunny",708983,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
15,Favorito,Camilo,677715,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
16,Rojo,"J Balvin",667634,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
17,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,665660,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
18,"Blinding Lights","The Weeknd",638362,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"La Difícil","Bad Bunny",617849,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
20,Diosa,"Myke Towers",617384,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
21,"Djadja (feat. Maluma) - Remix","Aya Nakamura",617274,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
22,Tattoo,"Rauw Alejandro",601077,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
23,Jangueo,"Alex Rose",582254,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
24,Singapur,"El Alfa",556548,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
25,Ignorantes,"Bad Bunny",549455,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
26,Azul,"J Balvin",532838,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
27,"Hola - Remix",Dalex,526107,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
28,"La Santa","Bad Bunny",509722,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
29,"La Cama - Remix",Lunay,484422,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
30,"Sigues Con El","Dímelo Flow",474544,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
31,"BYE ME FUI","Bad Bunny",468139,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
32,Tusa,"KAROL G",466562,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
33,"BAD CON NICKY","Bad Bunny",453930,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
34,"MÁS DE UNA CITA","Bad Bunny",452135,https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL
35,"Dream Girl - Remix","Ir Sais",445378,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
36,"La Forma en Que Me Miras","Super Yei",432334,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
37,"CANCIÓN CON YANDEL",Yandel,421454,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
38,"Ay, DiOs Mío!","KAROL G",409047,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
39,"El Mismo Aire - con Pablo Alborán",Camilo,405319,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
40,Girl,"Myke Towers",401315,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
41,Morado,"J Balvin",400192,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
42,"TKN (feat. Travis Scott)",ROSALÍA,396121,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
43,Confía,Sech,392727,https://open.spotify.com/track/5kbps8unnGH4raN5WduZuq
44,"A Tu Merced","Bad Bunny",387617,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
45,Locura,"Cali Y El Dandee",386220,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
46,Vete,"Bad Bunny",381286,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
47,Inolvidable,"Ovy On The Drums",377659,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
48,"Si Me Dices Que Sí",Reik,375479,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
49,"Tus Besos",Juanka,371465,https://open.spotify.com/track/1sHs87yRloQy0vE9mzpiZB
50,Jangueo,"Anuel AA",365938,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
51,"Sigues Con El - Remix",Arcangel,345054,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
52,"Dance Monkey","Tones And I",341510,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
53,Fantasias,"Rauw Alejandro",334835,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
54,"No Me Conoce - Remix","Jhay Cortez",331398,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
55,"Si Veo a Tu Mamá","Bad Bunny",330623,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
56,PAM,"Justin Quiles",330581,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
57,"Watermelon Sugar","Harry Styles",316943,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
58,"Adicto (with Anuel AA & Ozuna)",Tainy,316656,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
59,"Por Primera Vez",Camilo,314953,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
60,"How You Like That",BLACKPINK,311128,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
61,China,"Anuel AA",305446,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
62,4K,"El Alfa",302199,https://open.spotify.com/track/4xI3U4sDj1TPmO9Iz5TkYp
63,"Roses - Imanbek Remix","SAINt JHN",300296,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
64,"Fantasias - Remix","Rauw Alejandro",299229,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
65,"Sola & Vacía","Casper Magico",293533,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
66,"LA CANCIÓN","J Balvin",293295,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
67,"Mi Error - Remix","Eladio Carrion",291934,https://open.spotify.com/track/5IjOqh4XLyjHINuOGolmAt
68,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,288760,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
69,"El Manual","Anuel AA",288200,https://open.spotify.com/track/7kOf0qHO4Rcwk6QJifZDRJ
70,"Don't Start Now","Dua Lipa",283927,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
71,"PA' ROMPERLA","Bad Bunny",279669,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
72,Mejor,Dalex,279490,https://open.spotify.com/track/6C1jKbkCUgFws7M0M4oGCB
73,"Quiéreme Mientras Se Pueda","Manuel Turizo",279377,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
74,"Bellaquita - Remix",Dalex,277379,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
75,Keii,"Anuel AA",276300,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
76,Illuminati,Kiddtetoon,272680,https://open.spotify.com/track/6aKV6o1hZR6J1ajKqhlxnT
77,"El Efecto","Rauw Alejandro",265911,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
78,"Dime Cuantas Veces (Remix) [feat. Justin Quiles]","Micro TDH",259789,https://open.spotify.com/track/4MWb6mltydQn84NrTm7Gpl
79,+Linda,Dalex,258341,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
80,"Infiel - Remix",Eix,256528,https://open.spotify.com/track/5Xe78U9cUwnWOuWbgYvAKZ
81,Callaita,"Bad Bunny",254959,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
82,Tutu,Camilo,252737,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
83,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,247909,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
84,Amarillo,"J Balvin",247800,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
85,Narcos,"Anuel AA",245903,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
86,Quizas,"Rich Music LTD",238157,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
87,"Hablamos Mañana","Bad Bunny",235211,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
88,Definitivamente,"Daddy Yankee",235154,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
89,"Lloras - Remix",Cauty,233037,https://open.spotify.com/track/3FhiU60cxfN2j4jRy5Y40w
90,"Loco - Remix",Farruko,231962,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
91,"Ponte Pa' Mi","Rauw Alejandro",231359,https://open.spotify.com/track/10u2iOS0r6plfb9GknD7g4
92,"Toosie Slide",Drake,227987,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
93,"Como Llora",Juanfran,227741,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
94,Goteo,"Paloma Mami",227626,https://open.spotify.com/track/634fDJYRCr5yzqfFWa9rfS
95,"Algún Día Volveras",Santaferia,226360,https://open.spotify.com/track/27uAea0qcUz3a7jKnAT7KG
96,Cenicero,Javiielo,225438,https://open.spotify.com/track/4JznxNAtycdgvzd4kv343C
97,"Dime A Ve","Jhay Cortez",224278,https://open.spotify.com/track/0HMTIZ3iQ6QNjBaD9IE7ZZ
98,"La Jeepeta","Nio Garcia",224098,https://open.spotify.com/track/4RaWbMItxVbuUExNkFsITP
99,Aventura,Lunay,222317,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
100,"Adore You","Harry Styles",220666,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
101,"Si Estuviésemos Juntos","Bad Bunny",219911,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
102,Follow,"KAROL G",216118,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
103,"Si Se Da - Remix","Myke Towers",214444,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
104,"Break My Heart","Dua Lipa",208432,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
105,MAMACITA,"Black Eyed Peas",208222,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
