,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",195134,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,166962,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Tattoo - Remix","Rauw Alejandro",131532,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,"Tak Tiki Tak","Harry Nach",125854,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
5,"La Curiosidad","Jay Wheeler",125105,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
6,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,118694,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
7,Rojo,"J Balvin",113945,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
8,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",108855,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
9,Favorito,Camilo,100567,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
10,Tattoo,"Rauw Alejandro",100559,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
11,"Blinding Lights","The Weeknd",98365,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,Safaera,"Bad Bunny",92157,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
13,"Djadja (feat. Maluma) - Remix","Aya Nakamura",87800,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
14,"Hola - Remix",Dalex,85597,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
15,"Yo Perreo Sola","Bad Bunny",82480,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
16,Tusa,"KAROL G",81813,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
17,Jangueo,"Alex Rose",81474,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
18,Fantasias,"Rauw Alejandro",79922,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
19,Diosa,"Myke Towers",77773,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
20,Caramelo,Ozuna,77326,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
21,Azul,"J Balvin",76951,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
22,PORFA,Feid,76942,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
