,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",126065,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,90092,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Tattoo - Remix","Rauw Alejandro",66825,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,64327,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
5,Rojo,"J Balvin",63616,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
6,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",61374,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
7,Safaera,"Bad Bunny",58915,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
8,"La Curiosidad","Jay Wheeler",55358,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
9,"Tak Tiki Tak","Harry Nach",54426,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
10,Tattoo,"Rauw Alejandro",54233,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
11,"Yo Perreo Sola","Bad Bunny",53450,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
12,"Blinding Lights","The Weeknd",53253,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,Favorito,Camilo,52407,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
14,Caramelo,Ozuna,51342,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
15,"Hola - Remix",Dalex,50213,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
16,"CÓMO SE SIENTE - Remix","Jhay Cortez",48407,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
17,Azul,"J Balvin",47834,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
18,"Hasta Que Dios Diga","Anuel AA",43896,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
19,Fantasias,"Rauw Alejandro",43393,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
20,"No Me Conoce - Remix","Jhay Cortez",42756,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
21,"LA CANCIÓN","J Balvin",42711,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
22,"Djadja (feat. Maluma) - Remix","Aya Nakamura",41861,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
23,"Sigues Con El","Dímelo Flow",41403,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
24,Diosa,"Myke Towers",41153,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
25,"Si Veo a Tu Mamá","Bad Bunny",39658,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
26,"La Santa","Bad Bunny",39519,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
27,Ignorantes,"Bad Bunny",39093,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
28,Vete,"Bad Bunny",38866,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
29,Jangueo,"Alex Rose",38328,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
30,Tusa,"KAROL G",38117,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
31,PORFA,Feid,37292,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
32,"La Difícil","Bad Bunny",37212,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
33,"El Efecto","Rauw Alejandro",37131,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
34,"Pa' Olvidarme De Ella","Piso 21",36984,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
35,Morado,"J Balvin",35966,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
36,"El Efecto - Remix","Rauw Alejandro",35544,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
37,"Don't Start Now","Dua Lipa",34926,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
38,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,34769,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
39,"CANCIÓN CON YANDEL",Yandel,34245,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
40,"Quiéreme Mientras Se Pueda","Manuel Turizo",33077,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
41,"Dance Monkey","Tones And I",31682,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
42,"Adicto (with Anuel AA & Ozuna)",Tainy,31576,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
43,Amarillo,"J Balvin",31284,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
44,Callaita,"Bad Bunny",29837,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
45,"Ay, DiOs Mío!","KAROL G",29083,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
