,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Penelope (feat. Clever)",william,567814,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3
2,Frida,BEHM,557341,https://open.spotify.com/track/39wukX8RnU7JSi0Isvewhp
3,Flanellei,Gettomasa,399403,https://open.spotify.com/track/5vGq2Q1185hOoAFYsbtuth
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",362608,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,"Tässäkö tää oli? (feat. Leavings-Orkesteri)","Arttu Wiskari",335414,https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,310242,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"Kuvittele meidät siellä",Gasellit,292076,https://open.spotify.com/track/1iSVlVwrDXaSulEZxZBjKq
8,"Oli aikoi","Mikael Gabriel",278437,https://open.spotify.com/track/33iPN2mRcQUmrTDylFUY3r
9,"Blinding Lights","The Weeknd",273048,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"Villi länsi",JVG,251518,https://open.spotify.com/track/2JwektB2kQ8I1c9XyQJTtK
11,100,Kube,241276,https://open.spotify.com/track/7FVNXExNwkaELYlP7ueELx
12,"Come & Go (with Marshmello)","Juice WRLD",240954,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
13,Lovefool,twocolors,234898,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
14,"R-I-K-A-S (Kultachain)",Tume,230056,https://open.spotify.com/track/5X6IHhRkUJqXxVgolPFOxi
15,"Mähän Sanoin",Elastinen,220077,https://open.spotify.com/track/6mlp6sa7oHv61cErFlYJZC
16,Elon,Kube,208900,https://open.spotify.com/track/0VZMh2PGNpw6NZkXhknQfA
17,MAMACITA,"Black Eyed Peas",208416,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
18,"Breaking Me",Topic,201274,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
19,"Watermelon Sugar","Harry Styles",194911,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
