,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",239257,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,190972,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Tattoo - Remix","Rauw Alejandro",151015,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,Rojo,"J Balvin",139371,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
5,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",131447,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
6,"Tak Tiki Tak","Harry Nach",122440,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
7,"La Curiosidad","Jay Wheeler",121749,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
8,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,118525,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
9,Tattoo,"Rauw Alejandro",117603,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
10,Favorito,Camilo,114608,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
11,Azul,"J Balvin",114327,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
12,"Blinding Lights","The Weeknd",108590,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"Yo Perreo Sola","Bad Bunny",106270,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
14,"Pa' Olvidarme De Ella","Piso 21",101429,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
15,"Hasta Que Dios Diga","Anuel AA",100836,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
16,Caramelo,Ozuna,100775,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
17,Jangueo,"Alex Rose",99103,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
18,"Djadja (feat. Maluma) - Remix","Aya Nakamura",98851,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
19,"Hola - Remix",Dalex,97569,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
20,Safaera,"Bad Bunny",96316,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
21,Fantasias,"Rauw Alejandro",94875,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
22,"Sigues Con El","Dímelo Flow",94163,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
23,"LA CANCIÓN","J Balvin",94162,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
