,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shayad,Pritam,893065,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",870722,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,Khairiyat,"Arijit Singh",862791,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
4,"Play Date","Melanie Martinez",815125,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
5,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",663637,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,631360,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,Memories,"Maroon 5",593421,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
8,"Dil Bechara","A.R. Rahman",587375,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO
9,"How You Like That",BLACKPINK,586799,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
10,"Blinding Lights","The Weeknd",577271,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Roses - Imanbek Remix","SAINt JHN",564982,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,563369,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Ghungroo (From ""War"")","Arijit Singh",559491,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
14,Makhna,"Tanishk Bagchi",541820,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
15,"Genda Phool (feat. Payal Dev)",Badshah,532882,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
16,"ily (i love you baby) (feat. Emilee)","Surf Mesa",528608,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
17,Liggi,Ritviz,518085,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
18,Falling,"Trevor Daniel",510789,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
19,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",503042,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
20,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",497288,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
21,Señorita,"Shawn Mendes",479473,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
22,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",470741,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
23,"Dance Monkey","Tones And I",469698,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
24,Kasoor,"Prateek Kuhad",458252,https://open.spotify.com/track/08kTa3SL9sV6Iy8KLKtGql
25,"Illegal Weapon 2.0","Jasmine Sandlas",434991,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
26,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",431545,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
27,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,421427,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
28,"Haan Main Galat",Pritam,412086,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
29,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",411833,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
30,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",406849,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
31,"Duniyaa (From ""Luka Chuppi"")",Akhil,405965,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
32,"Intentions (feat. Quavo)","Justin Bieber",389551,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
33,"Namo Namo","Amit Trivedi",388490,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
34,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",374483,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
35,"Watermelon Sugar","Harry Styles",373013,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",365395,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
37,Chidiya,Vilen,354998,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
38,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",351801,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
39,Believer,"Imagine Dragons",348694,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
40,Mehrama,Pritam,344375,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
41,Vail,"Mankirt Aulakh Ft Nimrat Khaira",341147,https://open.spotify.com/track/1bqAnuqlgbQ55AByEp0SmM
42,Qaafirana,"Arijit Singh",340958,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
43,"Come & Go (with Marshmello)","Juice WRLD",339180,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
44,"Ve Maahi","Arijit Singh",337667,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
45,"Taare Ginn","A.R. Rahman",336515,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY
46,"lovely (with Khalid)","Billie Eilish",336240,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
47,"Toosie Slide",Drake,331953,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
48,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",330231,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
49,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",318715,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
50,Skechers,DripReport,308983,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
51,"Life's A Mess (feat. Halsey)","Juice WRLD",305739,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
52,Yalgaar,"Ajey Nagar (CarryMinati)",298910,https://open.spotify.com/track/0RGp4KA9wvndxqPIWoKwnD
53,"Stay Gold",BTS,296281,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
54,"Past Life (with Selena Gomez)","Trevor Daniel",291775,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
55,"Udd Gaye - Bacardi House Party Sessions",Ritviz,288114,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
56,"Someone You Loved","Lewis Capaldi",286608,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
57,Sakhiyaan,"Maninder Buttar",285345,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
58,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",284874,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
59,"Don't Start Now","Dua Lipa",283860,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
60,"Wishing Well","Juice WRLD",281672,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
61,"Be Kind (with Halsey)",Marshmello,280392,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
62,"Yaad Piya Ki Aane Lagi","Neha Kakkar",279294,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
63,"Stuck with U (with Justin Bieber)","Ariana Grande",278593,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
64,"On My Way","Alan Walker",277890,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
