,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,2125024,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"Maafkan Aku #terlanjurmencinta","Tiara Andini",1885485,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
3,"Stuck with U (with Justin Bieber)","Ariana Grande",1470990,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
4,"LATHI (ꦭꦛꦶ)","Weird Genius",1283150,https://open.spotify.com/track/7ksK7gpPDFdY4JLHr1hKfY
5,"Before You Go","Lewis Capaldi",1254788,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
6,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",1230087,https://open.spotify.com/track/5c41XA3sxiOD3cWkf1Gzki
7,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1213992,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
8,"Someone You Loved","Lewis Capaldi",1155688,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"Play Date","Melanie Martinez",1027368,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
10,Surrender,"Natalie Taylor",1026638,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
11,Mariposa,"Peach Tree Rascals",1025119,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
12,"Bentuk Cinta","Eclat Story",1008545,https://open.spotify.com/track/4J12uL4aNKzRco173fPyYQ
13,Perlahan,"Guyon Waton",997930,https://open.spotify.com/track/01TdkJ0lorIzBsdks8X1Tb
14,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,978837,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
15,Ekspektasi,Okin,921214,https://open.spotify.com/track/6cqIxECF2y28W51gAdvzmU
16,Monster,"Red Velvet - IRENE & SEULGI",913470,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
17,"Pura Pura Lupa",Mahen,884851,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
18,"Intentions (feat. Quavo)","Justin Bieber",881815,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
19,"Luka Yang Kurindu",Mahen,864146,https://open.spotify.com/track/5UgZoWvuycExNhZd6vIF7D
20,Secukupnya,Hindia,825436,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
21,Monolog,Pamungkas,775909,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
22,"One Only",Pamungkas,763166,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
23,"ily (i love you baby) (feat. Emilee)","Surf Mesa",743912,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
24,"Waktu Yang Salah","Fiersa Besari",736689,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
25,"Mengapa Kita #terlanjurmencinta",Lyodra,734545,https://open.spotify.com/track/5UYhXDSM6yq9i6vi715wPe
26,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",702057,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
27,"Make You Mine",PUBLIC,701903,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
28,"Bad Liar","Anna Hamilton",699410,https://open.spotify.com/track/0X9MxHR1rTkEHDjp95F2OO
29,"Kenangan Manis",Pamungkas,668082,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
30,Closure,Pamungkas,657237,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
31,Rayu,"Marion Jola",649481,https://open.spotify.com/track/4rAWADK2zYdjx2ar2Hp1C8
32,"Terlalu Cinta",Rossa,632909,https://open.spotify.com/track/6I9rJKR6WPRir6XoAaaJvH
