,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,382732,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",376732,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Watermelon Sugar","Harry Styles",349710,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
4,"Come & Go (with Marshmello)","Juice WRLD",308451,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
5,"Breaking Me",Topic,304428,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
6,Giants,"Dermot Kennedy",297465,https://open.spotify.com/track/43CHdbHYdcbUWP10UFKyZ7
7,"Rain On Me (with Ariana Grande)","Lady Gaga",293235,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
8,"Head & Heart (feat. MNEK)","Joel Corry",284538,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
9,"Wishing Well","Juice WRLD",247867,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
10,"Blinding Lights","The Weeknd",237608,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Rover (feat. DTG)",S1mba,230212,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
12,Secrets,Regard,217733,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
13,"Roses - Imanbek Remix","SAINt JHN",215799,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,"Life's A Mess (feat. Halsey)","Juice WRLD",214589,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
15,"Party Girl (Remix)",StaySolidRocky,203820,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
16,"Don’t Need Love (with GRACEY)","220 KID",200114,https://open.spotify.com/track/7uBaKZZVK0OZ6cqFGpGRXI
17,Conversations,"Juice WRLD",178061,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
18,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",169378,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
19,"Think About Things","Daði Freyr",168523,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
20,"Dinner Guest (feat. MoStack)","AJ Tracey",165929,https://open.spotify.com/track/5y0ekFHNfFbjKhZlguSzdf
21,Righteous,"Juice WRLD",162860,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
22,"Toosie Slide",Drake,156249,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
23,"Break My Heart","Dua Lipa",155353,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
