,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Karaoke,Boomdabash,3632145,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
2,Mediterranea,Irama,3475459,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
3,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,3258356,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
4,"A Un Passo Dalla Luna","Rocco Hunt",2771637,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
5,"Non mi basta più (feat. Chiara Ferragni)","Baby K",2684248,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
6,"Sono un bravo ragazzo un po' fuori di testa",Random,2339224,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
7,MAMACITA,"Black Eyed Peas",2107041,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
8,"Breaking Me",Topic,2098480,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"Bimbi Per Strada (Children)",Fedez,2079637,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
10,"Good Times",Ghali,2032361,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
11,"Savage Love (Laxed - Siren Beat)","Jawsh 685",2019311,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
12,Superclassico,Ernia,2005675,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
13,Spigoli,"Carl Brave",1860103,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
14,"Paloma (feat. Anitta)","Fred De Palma",1801199,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
15,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1776981,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
16,Guaranà,Elodie,1749488,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
17,Autostop,Shade,1688610,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
18,"Il bacio di Klimt","Emanuele Aloia",1555546,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
19,"TesTa TrA Le NuVoLE, pT. 2",Alfa,1533742,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
20,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,1483275,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
21,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",1468878,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
22,"Chico (feat. Rose Villain & Luchè)","Guè Pequeno",1396661,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
