,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,26542,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",22857,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Blinding Lights","The Weeknd",16793,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Roses - Imanbek Remix","SAINt JHN",16318,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Breaking Me",Topic,14776,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
6,Bläulich,"Apache 207",14468,https://open.spotify.com/track/57tck8MCxkY6tcQC6VhahR
7,"Come & Go (with Marshmello)","Juice WRLD",14144,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
8,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",13899,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
9,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",13420,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
10,"Watermelon Sugar","Harry Styles",13390,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,"Party Girl (Remix)",StaySolidRocky,13311,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
12,MAMACITA,"Black Eyed Peas",13033,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
13,"TKN (feat. Travis Scott)",ROSALÍA,12089,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
14,"Life's A Mess (feat. Halsey)","Juice WRLD",11647,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
15,Dior,"Pop Smoke",11605,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
16,"Toosie Slide",Drake,11583,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
17,"Wishing Well","Juice WRLD",11569,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
18,"Tiefschwarz (feat. Samra)","Kontra K",11243,https://open.spotify.com/track/7bDSLyTjZ1VjU5kPHTL3Ko
