,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,655427,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"Stuck with U (with Justin Bieber)","Ariana Grande",388123,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
3,"Savage Love (Laxed - Siren Beat)","Jawsh 685",299802,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
4,"Play Date","Melanie Martinez",249633,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
5,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,244164,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,"Someone You Loved","Lewis Capaldi",227727,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,"Blinding Lights","The Weeknd",214765,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"Before You Go","Lewis Capaldi",212549,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
9,"Be Kind (with Halsey)",Marshmello,211438,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
10,"ily (i love you baby) (feat. Emilee)","Surf Mesa",197209,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
11,"Intentions (feat. Quavo)","Justin Bieber",196636,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Surrender,"Natalie Taylor",187660,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
13,"you broke me first","Tate McRae",186837,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,Monster,"Red Velvet - IRENE & SEULGI",186184,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
15,Mariposa,"Peach Tree Rascals",184440,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
16,Supalonely,BENEE,180421,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,171855,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
18,"Roses - Imanbek Remix","SAINt JHN",163905,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
19,"Sour Candy (with BLACKPINK)","Lady Gaga",163135,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
20,"Say So","Doja Cat",152883,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
21,"eight(Prod.&Feat. SUGA of BTS)",IU,151406,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
22,"Don't Start Now","Dua Lipa",150072,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
23,Maria,"Hwa Sa",150035,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
24,"Toosie Slide",Drake,147247,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
25,Memories,"Maroon 5",147242,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,"Watermelon Sugar","Harry Styles",146799,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"Peluang Kedua","Nabila Razali",144293,https://open.spotify.com/track/4kQWZBveVzSV5FW6iTrX7N
28,Falling,"Trevor Daniel",136123,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
29,"Break My Heart","Dua Lipa",136079,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
30,Sakit,Zynakal,135173,https://open.spotify.com/track/69BJoXhAnVxwRlnv11qAjJ
31,"Rain On Me (with Ariana Grande)","Lady Gaga",133640,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
32,"Aku Bidadari Syurgamu","Dato' Sri Siti Nurhaliza",132964,https://open.spotify.com/track/3QmjcVOuzR1d0FWf7MzciM
33,"Stay Gold",BTS,132871,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
34,"Sunday Best",Surfaces,132699,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
35,"Blueberry Faygo","Lil Mosey",125895,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
36,"MORE & MORE",TWICE,123222,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
37,"pporappippam 보라빛 밤",SUNMI,117978,https://open.spotify.com/track/7oQh96s9YemWG3A4zkIbrU
38,"Dance Monkey","Tones And I",116761,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"Love Somebody",Lauv,116447,https://open.spotify.com/track/50wetCP0Nsx5sIaFHCYlCe
40,"Cute (Stop Lah Being So Cute)","Harith Zazman",115948,https://open.spotify.com/track/33epNzNWrhBIFzZzTsb61n
41,Señorita,"Shawn Mendes",115023,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
42,"Boy With Luv (feat. Halsey)",BTS,114158,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
43,"Stunnin' (feat. Harm Franklin)","Curtis Waters",111423,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
44,Circles,"Post Malone",110182,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
45,"Kill This Love",BLACKPINK,110125,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
46,"LATHI (ꦭꦛꦶ)","Weird Genius",107804,https://open.spotify.com/track/7ksK7gpPDFdY4JLHr1hKfY
47,"Come & Go (with Marshmello)","Juice WRLD",104081,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
48,"It's You","Ali Gatie",103222,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
49,"Who (feat. BTS)",Lauv,103025,https://open.spotify.com/track/2qG81jL9UIP54uS8gYyP4k
50,"Past Life (with Selena Gomez)","Trevor Daniel",101943,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
51,"If the World Was Ending - feat. Julia Michaels","JP Saxe",101023,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
52,"In Your Eyes","The Weeknd",97749,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
53,Psycho,"Red Velvet",97116,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
54,"Can We Kiss Forever?",Kina,96072,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
55,"IDK You Yet","Alexander 23",90044,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
56,"if this is the last time",LANY,89990,https://open.spotify.com/track/2ccNaerby1wXA993dY6XsR
57,"God’s Menu","Stray Kids",89765,https://open.spotify.com/track/0RzT9tBLcQhofW2TNiHP9B
58,"comethru (bonus track)","Jeremy Zucker",87763,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
