,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",443738,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,308912,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Go Crazy","Chris Brown",265933,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
4,"In the Air",L.A.B.,234411,https://open.spotify.com/track/5v7h5vQgCJKZT5vB3I9s3o
5,"Blinding Lights","The Weeknd",211420,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Roses - Imanbek Remix","SAINt JHN",210765,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"Come & Go (with Marshmello)","Juice WRLD",206922,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
8,"Breaking Me",Topic,204605,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"Stuck with U (with Justin Bieber)","Ariana Grande",192588,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
10,"Watermelon Sugar","Harry Styles",191038,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,Supalonely,BENEE,173540,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
12,"Life's A Mess (feat. Halsey)","Juice WRLD",173006,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
13,"Wishing Well","Juice WRLD",164520,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
14,"Party Girl (Remix)",StaySolidRocky,163072,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
15,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,160505,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Rain On Me (with Ariana Grande)","Lady Gaga",157669,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
17,"Blueberry Faygo","Lil Mosey",153254,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
