,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",98517,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,90215,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Tattoo - Remix","Rauw Alejandro",87844,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,"La Curiosidad","Jay Wheeler",83886,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
5,Caramelo,Ozuna,78042,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
6,"Hasta Que Dios Diga","Anuel AA",66716,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
7,Favorito,Camilo,59161,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
8,Rojo,"J Balvin",59082,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
9,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",58441,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
10,"Tak Tiki Tak","Harry Nach",57956,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
11,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,55038,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
12,Narcos,"Anuel AA",53731,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
13,"Djadja (feat. Maluma) - Remix","Aya Nakamura",51045,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
14,"CÓMO SE SIENTE - Remix","Jhay Cortez",50313,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
15,Tattoo,"Rauw Alejandro",48104,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
16,Ignorantes,"Bad Bunny",47101,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
17,Safaera,"Bad Bunny",45708,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
18,"Ay, DiOs Mío!","KAROL G",45648,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
19,Diosa,"Myke Towers",44873,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
20,"Yo Perreo Sola","Bad Bunny",44138,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
21,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,43478,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
22,"TKN (feat. Travis Scott)",ROSALÍA,43418,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
23,PORFA,Feid,42428,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
24,"Hola - Remix",Dalex,40836,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
25,"Blinding Lights","The Weeknd",39579,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,Tusa,"KAROL G",38732,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
27,"Party En Mi Casa",Boza,38353,https://open.spotify.com/track/5PEzhJIvmjFCFZcFZRze9S
28,Azul,"J Balvin",36890,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
29,"Quiéreme Mientras Se Pueda","Manuel Turizo",36656,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
