,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Tattoo - Remix","Rauw Alejandro",909249,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
2,"La Jeepeta - Remix","Nio Garcia",806599,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
3,Relación,Sech,803176,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
4,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",577194,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
5,Favorito,Camilo,563169,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
6,"La Curiosidad","Jay Wheeler",542485,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
7,"Djadja (feat. Maluma) - Remix","Aya Nakamura",497229,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
8,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,453406,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
9,"Tak Tiki Tak","Harry Nach",430700,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
10,Tattoo,"Rauw Alejandro",423530,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
11,Azul,"J Balvin",399107,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
12,"Blinding Lights","The Weeknd",398459,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,Safaera,"Bad Bunny",392751,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,"Los Besos",Greeicy,390725,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG
15,"Hola - Remix",Dalex,386962,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
16,Caramelo,Ozuna,374165,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
17,Rojo,"J Balvin",353286,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
18,"Por Primera Vez",Camilo,349228,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
19,"El Efecto - Remix","Rauw Alejandro",341474,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
20,"Hasta Que Dios Diga","Anuel AA",341144,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
21,"Yo Perreo Sola","Bad Bunny",337853,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
22,"Dream Girl - Remix","Ir Sais",324569,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
23,Diosa,"Myke Towers",316007,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
24,Jangueo,"Alex Rose",311644,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
25,"Quiéreme Mientras Se Pueda","Manuel Turizo",307993,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
26,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,303313,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
27,Tusa,"KAROL G",302770,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
28,PORFA,Feid,301107,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
29,"El Mismo Aire - con Pablo Alborán",Camilo,291735,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
30,"Sigues Con El - Remix",Arcangel,275772,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
31,Locura,"Cali Y El Dandee",270010,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
32,"Si Me Dices Que Sí",Reik,266652,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
33,"Los Consejos",Greeicy,263658,https://open.spotify.com/track/17A6MT3U1YKYsYpn3tOEpA
34,Fantasias,"Rauw Alejandro",261297,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
35,"Sigues Con El","Dímelo Flow",251546,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
36,Tutu,Camilo,249127,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
37,Morado,"J Balvin",244046,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
38,"El Efecto","Rauw Alejandro",239208,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
39,"Don't Start Now","Dua Lipa",234941,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
40,Reggaetonera,"Anuel AA",228910,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
41,"Bellaquita - Remix",Dalex,220806,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
42,"Si Veo a Tu Mamá","Bad Bunny",219347,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
43,Singapur,"El Alfa",218908,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
44,Detente,"Mike Bahía",218624,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
45,"La Forma en Que Me Miras","Super Yei",217392,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
46,"Dance Monkey","Tones And I",216745,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
47,"La Difícil","Bad Bunny",213952,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
48,"Ay, DiOs Mío!","KAROL G",212233,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
49,Ignorantes,"Bad Bunny",205985,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
50,"Te Vi","Piso 21",203806,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
51,"Estoy Soltera","Leslie Shaw",190400,https://open.spotify.com/track/597HxeFN4prkOZml250ZhR
52,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,178337,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
53,"CÓMO SE SIENTE - Remix","Jhay Cortez",173369,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
54,China,"Anuel AA",172524,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
55,"En Peligro de Extinción","Bembe Orquesta",170139,https://open.spotify.com/track/6NFqonbFp2QhnJIh7cE2s3
56,"No Me Conoce - Remix","Jhay Cortez",170055,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
57,Amarillo,"J Balvin",170049,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
58,Desconocidos,"Mau y Ricky",158422,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
59,Destino,Greeicy,157921,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
60,"How You Like That",BLACKPINK,155481,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
61,"LA CANCIÓN","J Balvin",154724,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
62,PAM,"Justin Quiles",152157,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
63,"La Difícil",Camilo,148946,https://open.spotify.com/track/6fNJm8sYmCBbmkKpKgTReA
64,TBT,"Sebastian Yatra",146637,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
65,"Loco - Remix",Farruko,145907,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
66,"TKN (feat. Travis Scott)",ROSALÍA,144300,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
67,Djadja,"Aya Nakamura",138521,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
68,ADMV,Maluma,135993,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
69,"No Te Vayas",Camilo,135350,https://open.spotify.com/track/1q1sjzJpUYEkTbA9Uz0qrU
70,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",131985,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
71,"Mala Fama","Danna Paola",130331,https://open.spotify.com/track/2D9itdl85AQVNpTfrxvUGj
72,MAMACITA,"Black Eyed Peas",129722,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
73,"Fantasias - Remix","Rauw Alejandro",129405,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
74,"La Cama - Remix",Lunay,126024,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
75,"Roses - Imanbek Remix","SAINt JHN",125476,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
76,Quizas,"Rich Music LTD",125146,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
77,"La Santa","Bad Bunny",124992,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
78,"Como Llora",Juanfran,124348,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
79,Vete,"Bad Bunny",124280,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
80,"Bajo La Mesa",Morat,123587,https://open.spotify.com/track/7BEPdOI0neT6p7PnLViqmH
