,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,1822064,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,Marikit,"Juan Caoile",1660783,https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar
3,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1431670,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
4,"Beautiful Scars",Maximillian,1404454,https://open.spotify.com/track/4kS01K2URu522IomkGOFHl
5,"Chinita Girl","Lil Vinceyy",1258691,https://open.spotify.com/track/6r7sdXUiKjgEx3I8GQRpSq
6,"Stuck with U (with Justin Bieber)","Ariana Grande",1108644,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
7,"Teka Lang",Emman,1089703,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht
8,"Malayo Ka Man","Jr Crown",999234,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo
9,"Intentions (feat. Quavo)","Justin Bieber",984896,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,Mariposa,"Peach Tree Rascals",971391,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
11,KLWKN,"Music Hero",950020,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN
12,Imahe,"Magnus Haven",917759,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
13,"if this is the last time",LANY,836179,https://open.spotify.com/track/2ccNaerby1wXA993dY6XsR
14,"Someone You Loved","Lewis Capaldi",815866,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,Supalonely,BENEE,793151,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Don't Start Now","Dua Lipa",782778,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
17,"Rain On Me (with Ariana Grande)","Lady Gaga",781680,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
18,"Sunday Best",Surfaces,738821,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,Monster,"Red Velvet - IRENE & SEULGI",729716,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,724304,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,706206,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"ily (i love you baby) (feat. Emilee)","Surf Mesa",693464,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
23,Binibini,Matthaios,692396,https://open.spotify.com/track/13pv5UWJttg8NNplCaaOYh
24,"Before You Go","Lewis Capaldi",658222,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,"Sa Susunod na Habang Buhay",Ben&Ben,635926,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd
26,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",627023,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
27,"Nakikinig Ka Ba Sa Akin",Ben&Ben,621296,https://open.spotify.com/track/74jVIbukOhR0Am7YXKiJMM
28,Lifetime,Ben&Ben,613175,https://open.spotify.com/track/3X9c4tBzSdGhlO4Fx3WYgW
29,"Araw-Araw Love","Flow G",599476,https://open.spotify.com/track/1x7DysraeqSgVgj95hHc3U
30,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,592363,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
31,"Kathang Isip",Ben&Ben,576153,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
32,"Toosie Slide",Drake,572631,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
33,"Watermelon Sugar","Harry Styles",562816,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
34,"Maybe The Night",Ben&Ben,550279,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
35,"Like That (feat. Gucci Mane)","Doja Cat",542550,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
36,"Vibe With Me",Matthaios,540265,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui
37,"Make You Mine",PUBLIC,535108,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
38,Titig,"MC Einstein",525684,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci
39,"Dance Monkey","Tones And I",522190,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
40,Pagtingin,Ben&Ben,515907,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
41,Memories,"Maroon 5",514229,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
42,"If the World Was Ending - feat. Julia Michaels","JP Saxe",510655,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
43,"Be Kind (with Halsey)",Marshmello,510613,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
44,"Lose Somebody",Kygo,507399,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
45,"Break My Heart","Dua Lipa",503732,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
46,"Make It With You",Ben&Ben,497427,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh
47,"no song without you",HONNE,491999,https://open.spotify.com/track/1lNHWPDvKEbamKezpLq7HW
48,"good guys",LANY,486033,https://open.spotify.com/track/3c7peg169veVaJRzlbCaKw
49,"Sour Candy (with BLACKPINK)","Lady Gaga",444812,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
50,"MORE & MORE",TWICE,440759,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
51,"10,000 Hours (with Justin Bieber)","Dan + Shay",437715,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
52,Pangga,Matthaios,412612,https://open.spotify.com/track/2YreeV0asmC6tgM4IH2g5F
53,"Love Somebody",Lauv,404964,https://open.spotify.com/track/50wetCP0Nsx5sIaFHCYlCe
54,Sana,"I Belong to the Zoo",398716,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
55,"Hindi Tayo Pwede","The Juans",383249,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP
56,Higa,"Arthur Nery",379517,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC
57,"Kung 'Di Rin Lang Ikaw","December Avenue",372464,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
58,Psycho,"Red Velvet",363718,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
59,Leaves,Ben&Ben,363615,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
60,"Your Song","Parokya Ni Edgar",357029,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
61,Circles,"Post Malone",356991,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
62,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")","Alessandra De Rossi",352077,https://open.spotify.com/track/6qCDsNEOnQ6uPG7m8gWUkW
63,"Blinding Lights","The Weeknd",348225,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
64,Araw-Araw,Ben&Ben,348045,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm
65,"Say You Won't Let Go","James Arthur",347983,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
66,"comethru (bonus track)","Jeremy Zucker",346632,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
67,"Malibu Nights",LANY,345421,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
68,"I Like Me Better",Lauv,332738,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
69,"Best Part (feat. Daniel Caesar)",H.E.R.,322790,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
70,"Stay Gold",BTS,308050,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
71,Rainbow,"South Border",305560,https://open.spotify.com/track/3ueq4reab02CypseErxvwS
72,"Just Friends","Audrey Mika",301884,https://open.spotify.com/track/1NzRZ7AosK7ZDumMsZYofo
73,"Sa Ngalan Ng Pag-Ibig","December Avenue",295069,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
74,"Miracle Nights",ALLMO$T,288264,https://open.spotify.com/track/3sWLOFGI7dNN6YBM1m1RKB
75,"Miloves (Otw Sayo)","King Badger",285901,https://open.spotify.com/track/44jJiCwGdnqqCkgqlvCIdp
76,"Go Crazy","Chris Brown",285357,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
77,"Masyado Pang Maaga",Ben&Ben,283409,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t
78,2002,Anne-Marie,283108,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
79,"la la la that’s how it goes",HONNE,280329,https://open.spotify.com/track/5Pw4Q2Z2NttJtISFFxe9MK
80,"Mean It",Lauv,278568,https://open.spotify.com/track/3uc8AGNL0KbvISIrjnfRvN
81,"Sa Susunod Na Lang",PDL,278428,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
82,"The Day You Said Goodnight",Hale,277679,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3
83,"Kahit Ayaw Mo Na","This Band",272208,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
84,"Kill This Love",BLACKPINK,266083,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
85,"Boy With Luv (feat. Halsey)",BTS,260516,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
86,"Say So","Doja Cat",256581,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
87,"Party Girl (Remix)",StaySolidRocky,255520,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
88,"eight(Prod.&Feat. SUGA of BTS)",IU,251780,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
89,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",249478,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
90,"Beautiful People (feat. Khalid)","Ed Sheeran",247198,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
91,Señorita,"Shawn Mendes",244568,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,Malayo,"Ace Banzuelo",244246,https://open.spotify.com/track/55XlSI5d8hMVoNjVkpQpT7
93,214,Rivermaya,242468,https://open.spotify.com/track/7gZ3kWNtIxFgxjsm5OTVMB
94,"Tell Me Where It Hurts",MYMP,241566,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
95,Nobela,"Join The Club",238225,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
96,"Roses - Imanbek Remix","SAINt JHN",236648,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
97,"Play Date","Melanie Martinez",235877,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
98,Ivana,Soulstice,235630,https://open.spotify.com/track/54b8IPvheXDpro2VR2rWAS
99,"I Don't Care (with Justin Bieber)","Ed Sheeran",235463,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
