,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"POLSKIE TANGO","Taco Hemingway",3252425,https://open.spotify.com/track/2fNLY6Ks5tKg2e4zRClS0k
2,"Billy Kid",Reto,867148,https://open.spotify.com/track/2qX1iJIRJDlVsBQbQkz6L0
3,BUBBLETEA,Quebonafide,776614,https://open.spotify.com/track/7eBYMVok43QesT0KnuIkjn
4,"A nie pamiętasz jak?","SB Maffija",692934,https://open.spotify.com/track/0vF7lhodVL9PA4DAR1Byxm
5,Morgan,"White 2115",584247,https://open.spotify.com/track/6OE7voRcEvrBPDl7wqjn4D
6,Melodia,sanah,539886,https://open.spotify.com/track/3xlk3SVStmEGEWx5FtqpkW
7,Impreza,Sobel,538032,https://open.spotify.com/track/2Y1Nd54Jrgciu2HtpP5ymM
8,"Hotel Maffija","SB Maffija",537285,https://open.spotify.com/track/45usm4EhTn4gf5F9XlGiTo
9,Papieros,"White 2115",520087,https://open.spotify.com/track/3ad9ZZ8vL3qrgZwQhaYCtR
10,"Watermelon Sugar","Harry Styles",504854,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,"HOOD ANGEL",Żabson,468833,https://open.spotify.com/track/3A2kl8G8oRUbyXceaEInjD
12,"Blinding Lights","The Weeknd",455211,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"Savage Love (Laxed - Siren Beat)","Jawsh 685",443324,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
14,TOKYO2020,Quebonafide,438450,https://open.spotify.com/track/2yjSMIxii1fcnrf1R9tU4g
15,"Roses - Imanbek Remix","SAINt JHN",433537,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,"Lucky Punch",Kizo,431780,https://open.spotify.com/track/4KIUTp9W1z6rXCgAh2EAKb
17,#Hot16Challenge2,Szpaku,431158,https://open.spotify.com/track/1p0GVV1UIllj5zJz2Z0Hzs
18,"W PIĄTKI LEŻĘ W WANNIE","Taco Hemingway",394676,https://open.spotify.com/track/4bpShq8coki3AlMsXuFCDa
19,"Kings & Queens","Ava Max",393305,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
20,"Break My Heart","Dua Lipa",391005,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
21,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,383832,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,Szampan,sanah,379261,https://open.spotify.com/track/0xwpK0H2aL5YxREvcNw4Pe
23,"100 dni do matury",Mata,372015,https://open.spotify.com/track/78L2RUFISfqkmZMTCLYQJC
24,"ily (i love you baby) (feat. Emilee)","Surf Mesa",371781,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
25,"Rain On Me (with Ariana Grande)","Lady Gaga",360473,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
26,"Młody Boss",Żabson,354579,https://open.spotify.com/track/0C1LsduE10DnOsZNiJxqD9
27,Schodki,Mata,352209,https://open.spotify.com/track/0vPVqOKo8LWVganQgBZS5y
28,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,347664,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
29,"Niedostępny (prod. by Olek) (feat. DMN)","Malik Montana",342727,https://open.spotify.com/track/2pIZ5W6m2fBqWwnTEGx5mK
30,"GOMBAO 33",Mata,334874,https://open.spotify.com/track/2sTuKKRZI1ciK5tflR00YE
31,"Never Let Me Down",VIZE,332580,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
32,"Drugi Brzeg",Paluch,329503,https://open.spotify.com/track/3qXIUQwBPM6ZMgDQZxQAYX
33,PDW,Bialas,327820,https://open.spotify.com/track/4Jio2YQcXcOLH5UY8NEiyS
34,"LECI NOWY FUTURE","Taco Hemingway",326393,https://open.spotify.com/track/4DVPJXPqKLIon9BHklap1w
35,SZUBIENICAPESTYCYDYBROŃ,Quebonafide,319286,https://open.spotify.com/track/2ELxOAAcgZO6dqMPiDMjVV
36,Drift,Bialas,314566,https://open.spotify.com/track/2kYgryHD0pSjhorV2DOdxc
37,"Breaking Me",Topic,314560,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
38,California,"White 2115",308330,https://open.spotify.com/track/2nFaT0t36H6UX3wN3Vxvjm
39,Rainman,Tymek,307737,https://open.spotify.com/track/3IYs5Krfc09hLqpGfT1DF6
40,"Będzie Lepiej",Miyo,306769,https://open.spotify.com/track/30OnKqCINi9fRJyQTEZeDz
41,"In Your Eyes","The Weeknd",296822,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
42,"Rundki (feat. Diho, Alberto & Bibic)","Malik Montana",293822,https://open.spotify.com/track/1QjaX3Jp5kbDDorjL9ktRQ
43,VOGUE,Bedoes,285579,https://open.spotify.com/track/0XthAWvbDoOunjDceV6Jq2
44,Patointeligencja,Mata,278044,https://open.spotify.com/track/3ZjytV5BojgvkPnXdY5zV2
45,"Mogę Dziś Umierać","White 2115",271846,https://open.spotify.com/track/38r67NnLgSMEGhilk9QhF4
46,Sępy,Bialas,270975,https://open.spotify.com/track/668fqO2MHdOTyawPB33xui
47,"Różowa Pantera",Szpaku,265188,https://open.spotify.com/track/5RwS1ot6BExaVdM26ikmXX
48,Physical,"Dua Lipa",262351,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
49,"Danse Macabre",CatchUp,258743,https://open.spotify.com/track/7DGUTJ95j1ofMbIzHlvLVd
50,"Język ciała",Tymek,258524,https://open.spotify.com/track/4mW3jXs0vwWVAXzrkWXx2Y
51,BLUE,Tiësto,257532,https://open.spotify.com/track/0gwmifwzIBArZYYwUNCuJb
52,"Dance Monkey","Tones And I",248869,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
53,"Floyd Mayweather",Żabson,247898,https://open.spotify.com/track/5wOAQXIydVWJNatT6nKwhz
54,MAMACITA,"Black Eyed Peas",246747,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
55,Marzenia,"Mr. Polska",244942,https://open.spotify.com/track/5twKfw4KtlM2CtM0NPonFd
56,"hot coffee",schafter,244866,https://open.spotify.com/track/4pzRQIRRHXYsAryBKXALCF
57,"8 kobiet - Remix",TACONAFIDE,234383,https://open.spotify.com/track/5s6jooT9ZcUjjD5qVx9B5K
58,Surfer,"Be Vis",231498,https://open.spotify.com/track/5lhg8Z5fEnGmY1le7SeHwU
