,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,243511,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"TKN (feat. Travis Scott)",ROSALÍA,232939,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
3,"Blinding Lights","The Weeknd",229122,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Breaking Me",Topic,224317,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
5,"Te gusta","MC Kevinho",182394,https://open.spotify.com/track/0h5iRD8nlDtcn4rwbZzNgg
6,"Watermelon Sugar","Harry Styles",174756,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Toosie Slide",Drake,170405,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
8,"Savage Love (Laxed - Siren Beat)","Jawsh 685",165168,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
9,"Roses - Imanbek Remix","SAINt JHN",159940,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Tempo (feat. Tóy Tóy T-Rex, LON3R JOHNY & BISPO)",FRANKIEONTHEGUITAR,153231,https://open.spotify.com/track/19gFXFDAFUdsuaiAorKEbr
11,"Desce Pro Play (PA PA PA)","Mc Zaac",150396,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
12,"Te Amo",Calema,149030,https://open.spotify.com/track/5QU2pHpvyaiTZ0E7cJYlq3
13,Fica,Domingues,148620,https://open.spotify.com/track/5x2NQmYWyqExdyyXjNIWh3
14,"Party Girl (Remix)",StaySolidRocky,143620,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
15,MAMACITA,"Black Eyed Peas",140505,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
16,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",135583,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
17,"Don't Start Now","Dua Lipa",131295,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
18,"Blueberry Faygo","Lil Mosey",129601,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,128650,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"menina solta","Giulia Be",125217,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
21,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",119772,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
22,Conclusão,"Julinho Ksd",115628,https://open.spotify.com/track/3POu1ffLnehBhpNGuaaOG3
23,"Somos Iguais",Plutónio,115195,https://open.spotify.com/track/1X3ltingEVNGRoJf1dvZfQ
24,Tusa,"KAROL G",114329,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,TRIBUNAL,ProfJam,112142,https://open.spotify.com/track/31sUabnuTnFAM7rjMzKtfN
26,Cocaína,"Pineapple StormTv",111788,https://open.spotify.com/track/64idia5DEqsgb4z1sSP68t
27,"ily (i love you baby) (feat. Emilee)","Surf Mesa",108601,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
28,"THE SCOTTS","THE SCOTTS",108289,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
29,Flores,Vitão,105079,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
30,"The Box","Roddy Ricch",104859,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
31,"La Bella Mafia","Wet Bed Gang",101807,https://open.spotify.com/track/3UZUEIxIO8diPNOVusvrui
32,"Life Is Good (feat. Drake)",Future,95106,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
33,"Don't Rush (feat. Headie One)","Young T & Bugsey",93266,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
34,"Mama Ta Xinti","Julinho Ksd",92167,https://open.spotify.com/track/0JcH6gYb9AXehfiPeFE2wP
35,Supalonely,BENEE,92136,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
36,Louco,Piruka,91097,https://open.spotify.com/track/5RPewmKIUL2vWtQLI0Qp1F
37,"Kriolu (feat. Julinho KSD)","Dino d'Santiago",90511,https://open.spotify.com/track/2WOhikTdkviDsNTyYfJwAj
38,"Dance Monkey","Tones And I",88543,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,goosebumps,"Travis Scott",87973,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
40,"In Your Eyes","The Weeknd",86006,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
41,Lembrei-me,Bispo,85393,https://open.spotify.com/track/5hF6VYE61LV6Jr6dy86CvI
42,"Eterna Sacanagem","MC JottaPê",82921,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
43,"Sunday Best",Surfaces,82417,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
44,"Come & Go (with Marshmello)","Juice WRLD",79942,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
45,"Vai Ter Que Aguentar","Mc Don Juan",78851,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
46,"Life's A Mess (feat. Halsey)","Juice WRLD",78572,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
47,"HIGHEST IN THE ROOM","Travis Scott",78188,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
48,"Rain On Me (with Ariana Grande)","Lady Gaga",78142,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
49,"Break My Heart","Dua Lipa",74207,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
50,"SAFE (feat. Lhast, LON3R JOHNY & 9 Miller)","Mizzy Miles",72600,https://open.spotify.com/track/2DFM9kky0Jp7C4VSPspR2i
51,"Before You Go","Lewis Capaldi",71703,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
52,"Na Raba Toma Tapão",Niack,71504,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
53,"Stuck with U (with Justin Bieber)","Ariana Grande",71175,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
54,Festa,"David Carreira",70739,https://open.spotify.com/track/3rkMxMg4S5GhBtQtAdj5z2
55,"Say So","Doja Cat",69459,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
56,GOOBA,6ix9ine,69363,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
57,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",68433,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
58,"Wishing Well","Juice WRLD",68160,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
59,"Chicago Freestyle (feat. Giveon)",Drake,65914,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
60,HEI,ProfJam,64094,https://open.spotify.com/track/5IsQNZTVP4Lkfn2eMVE0nt
61,"SICKO MODE","Travis Scott",63978,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
62,Conversations,"Juice WRLD",63439,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
63,"Dpos D' Quarentena","Nelson Freitas",63247,https://open.spotify.com/track/12ZlD9aYWAvT6JtD50rG2q
64,"Sweet Spot",Papillon,62275,https://open.spotify.com/track/7yrH4ghvW4hivGBpLU7dDb
65,"Essa Saia (feat. Ivandro)",Bispo,62160,https://open.spotify.com/track/2tsXCHNbktRlQxMUV7ql3d
66,"Adore You","Harry Styles",61028,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
67,Señorita,"Shawn Mendes",60349,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
68,"Someone You Loved","Lewis Capaldi",60191,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
69,ROXANNE,"Arizona Zervas",60098,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
70,"Jerusalema (feat. Nomcebo Zikode)","Master KG",58955,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
71,"How You Like That",BLACKPINK,58953,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
