,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",101873,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,99727,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,Cadillac,MORGENSHTERN,92518,https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv
4,"Your eyes tell",BTS,78414,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz
5,"How You Like That",BLACKPINK,77552,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
6,"Come & Go (with Marshmello)","Juice WRLD",74667,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
7,"Stay Gold",BTS,59941,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
8,"Wishing Well","Juice WRLD",53672,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
9,"Watermelon Sugar","Harry Styles",53086,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",51149,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,Дежавю,kizaru,50386,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B
12,"Toosie Slide",Drake,45102,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,"Friendly Fire - Prod. Avepack","Boulevard Depo",44413,https://open.spotify.com/track/5rsylaCMgQ5q5IjrZBGm8q
14,"Москва любит...",Scriptonite,41842,https://open.spotify.com/track/41bGn6u78I8eNZg86tx3vp
15,"Rain On Me (with Ariana Grande)","Lady Gaga",39633,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
16,"Roses - Imanbek Remix","SAINt JHN",39223,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
17,"Life's A Mess (feat. Halsey)","Juice WRLD",38541,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
18,"Break My Heart","Dua Lipa",38110,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
19,Колхозник,Mnogoznaal,37194,https://open.spotify.com/track/19guFw87TvSkoxnC9EBu2Y
20,"THE SCOTTS","THE SCOTTS",35264,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
21,X.O,"The Limba",35247,https://open.spotify.com/track/6o92Z50qYohU4Q03xbMneu
22,"Breaking Me",Topic,34664,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
23,"Party Girl (Remix)",StaySolidRocky,34112,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
24,Daechwita,"Agust D",33619,https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5
25,"God’s Menu","Stray Kids",32970,https://open.spotify.com/track/0RzT9tBLcQhofW2TNiHP9B
26,"Gimme The Loot","Big Baby Tape",32725,https://open.spotify.com/track/5NlUfFPL2z3RWAXy8NcRs8
27,"Blueberry Faygo","Lil Mosey",31729,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
28,Сияй,Ramil',31553,https://open.spotify.com/track/5ct1HcejSSMlu6vCyWGNXM
29,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",31196,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
30,"Малый повзрослел","Max Korzh",30912,https://open.spotify.com/track/14JceK2UBLd0UUm23N5lRy
31,"Trap Luv","Big Baby Tape",30835,https://open.spotify.com/track/15epnOVXX9PRB7A6z3YtZV
32,Положение,Scriptonite,29919,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo
33,"Honey's Kettle",kizaru,29878,https://open.spotify.com/track/4U18T8waKsJDbQaOdINByr
34,"ЮМОРИСТ - Original Motion Picture Soundtrack",FACE,28801,https://open.spotify.com/track/571md1FedFYFaYUMUktYaF
35,"2 типа людей","Max Korzh",28633,https://open.spotify.com/track/5kz9d0Cxx7RK8PjRLlWnAt
36,ON,BTS,28558,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
37,Краш,"Klava Koka",27045,https://open.spotify.com/track/02mPTM1usfKo8tsTGEJuuk
38,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,26940,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
39,Мультибрендовый,Scriptonite,26587,https://open.spotify.com/track/2b5Fq8pe5UI6pYRGMv0wNn
40,РАТАТАТАТА,MORGENSHTERN,26552,https://open.spotify.com/track/0eou4g499YFO8jSxYQjvFH
41,Smile,"Katy Perry",26497,https://open.spotify.com/track/3DXdjHnePKnh6oXw2ZgGSl
42,"MONEY LONG",kizaru,26276,https://open.spotify.com/track/0OukVtUSfeSV8Mr7otfyMZ
43,Шантаж,"Max Korzh",25937,https://open.spotify.com/track/4BzDIOl9JXFhjglnAxvUCz
44,"Новый Мерин",MORGENSHTERN,25899,https://open.spotify.com/track/272fe0z4cll7gJM3G8HFA8
45,"Проснулся В Темноте",GONE.Fludd,25644,https://open.spotify.com/track/1qtmO3AkZ2OBrPaxnaKnS6
46,"Don't Start Now","Dua Lipa",25476,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
47,Ламбада,T-Fest,25463,https://open.spotify.com/track/7FuvJwX4VDPE0bAIq9tfbP
48,Надежда,FACE,25416,https://open.spotify.com/track/3aK0rnYRvQPGV1W49NGWum
49,Conversations,"Juice WRLD",25306,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
50,"Boy With Luv (feat. Halsey)",BTS,25290,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
51,"Dance Monkey","Tones And I",25142,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
52,Lights,BTS,25131,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
53,"Плачу на техно","Cream Soda",25107,https://open.spotify.com/track/5jKFnadawzHXGWiLBeboas
54,"SICKO MODE","Travis Scott",25077,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
55,Righteous,"Juice WRLD",24518,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
56,MAMACITA,"Black Eyed Peas",24435,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
57,Maria,"Hwa Sa",24344,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
58,Falling,"Trevor Daniel",24016,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
59,"bad guy","Billie Eilish",24007,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
60,Серпантин,Markul,23974,https://open.spotify.com/track/0XSxhXEd9Ery8eXsfuHt1u
61,"HIGHEST IN THE ROOM","Travis Scott",23675,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
62,Малолетка,"Max Korzh",23612,https://open.spotify.com/track/06jEcxzahUi9GdN5RFsqO4
63,"The Box","Roddy Ricch",23237,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
64,Filter,BTS,23208,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
65,"Angry toy$ - Prod. Ray Qwa","Boulevard Depo",23185,https://open.spotify.com/track/7aeleTqgkiIZLitnXp9NMl
66,"МОЙ КАЛАШНИКОВ",FACE,23071,https://open.spotify.com/track/1KWRf0ZISGMBgwMMCUYVDr
67,"In Your Eyes","The Weeknd",23066,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
68,"Малиновый закат","Max Korzh",22986,https://open.spotify.com/track/2fP2RBX81C55kEBaHZHomY
69,ВТОРНИК,GONE.Fludd,22780,https://open.spotify.com/track/0yJF3zE5pxzNoK9kZl5Ru2
70,"Гостиница Космос",Mnogoznaal,22612,https://open.spotify.com/track/2qFbvcFsaL7Fgk7o2X4Drf
71,goosebumps,"Travis Scott",22471,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
72,Конфеты,Markul,22466,https://open.spotify.com/track/2Lwy5x78uQLpndcCXBVnxw
73,"Be Kind (with Halsey)",Marshmello,22465,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
74,Дорадура,дора,22433,https://open.spotify.com/track/4mTPviBGRgjPxeaQFnBDW3
75,"Без ключа",PHARAOH,22270,https://open.spotify.com/track/3AqhKp7RpfGBsmtulKpQfD
76,"Рашан моуст уонтэд",kizaru,22176,https://open.spotify.com/track/4w98f7dBwMsNAcVlLaL9GU
77,"OUTRO : The Journey",BTS,22157,https://open.spotify.com/track/0VF357Gjay5vvCqWA1kSu6
78,"INTRO : Calling",BTS,22113,https://open.spotify.com/track/5raJ9QoZOdoRZ1MZOcygkR
79,"ily (i love you baby) (feat. Emilee)","Surf Mesa",22073,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
80,Choco,HLEB,22005,https://open.spotify.com/track/4d1ib2A9wmfGOT3zPn8FFw
81,"Fata Morgana",Markul,21817,https://open.spotify.com/track/6heHgVgFclP45j1LX5vmtd
82,Цепи,Scriptonite,21768,https://open.spotify.com/track/2z8QxqQ6Kesq4NFfi7A638
83,Monster,"Red Velvet - IRENE & SEULGI",21453,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
84,"Boy With Luv - Japanese ver.",BTS,21321,https://open.spotify.com/track/1GAAUZBTaIM1LwNpOJQJrZ
85,"Грустная Песня (feat. Егор Крид & MORGENSHTERN)","THRILL PILL",21231,https://open.spotify.com/track/50ijEQSR94O6eJgf0GbWuP
