,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Doug Demuro",Ego,67005,https://open.spotify.com/track/25tYeQHhk8DRn4YlFZah7K
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",61930,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,56933,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,Zrazu,Dame,56262,https://open.spotify.com/track/7Gieaj2T8MbfwL9ioa8Sod
5,"Blinding Lights","The Weeknd",55713,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Roses - Imanbek Remix","SAINt JHN",55547,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"Breaking Me",Topic,49493,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"Ke By Si",Dame,48217,https://open.spotify.com/track/4yguX57Bo9MqQTNff6iQpW
9,10QSOMUCH,Dame,48003,https://open.spotify.com/track/4wwPopL2amf5DdJb07aT6K
10,"Watermelon Sugar","Harry Styles",47138,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,Viac,Nerieš,45684,https://open.spotify.com/track/2eLTkjdcbBCTew9qvn6hzz
12,"Niekde V Oblakoch",Saul,43411,https://open.spotify.com/track/6OVlADVquXLhHH7x79AjR1
13,"Ruka Na Volante",Nerieš,41642,https://open.spotify.com/track/4OhVw8lHCuy8S8Q0YyD57B
14,"Toto Leto",Sima,40337,https://open.spotify.com/track/1x7dZO2T89GTea6Rh9FVZa
15,Achtung,Dame,38916,https://open.spotify.com/track/1hzA7QBoqdipf8d0TxfNY6
16,"Milión Mínus",Dame,37703,https://open.spotify.com/track/4AkBrI4VRERwkSVb1I7xFU
17,Trollin,Ego,36212,https://open.spotify.com/track/0SZxC1ojHITmSUCPLgUEM5
18,"Ísť Preč",Dame,35812,https://open.spotify.com/track/7iKjHyDDQwuxl3hyzLltlM
19,Veril,Dame,35649,https://open.spotify.com/track/2nzimvlTFtXzfhRhiqaQiz
20,GOOBA,6ix9ine,34942,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
21,"ily (i love you baby) (feat. Emilee)","Surf Mesa",33444,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
22,"Upokojte sa",Dame,32703,https://open.spotify.com/track/76jOfEwkZl02JTWBAKaELG
23,"Come & Go (with Marshmello)","Juice WRLD",32082,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
24,"Rakety Jak Pizza","Frayer Flexking",31201,https://open.spotify.com/track/5uVkevJez1AoHVCWaHj7Eh
25,"Rain On Me (with Ariana Grande)","Lady Gaga",31120,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
26,Skur,Dame,31033,https://open.spotify.com/track/2RzJmKOD6uH2QPftzGUiiV
27,Reeses,Dame,30568,https://open.spotify.com/track/4dEF6g5f3sHoyRRayCzIg0
28,MAMACITA,"Black Eyed Peas",30514,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
29,Vnoci,Dame,29891,https://open.spotify.com/track/2OeQjU4TYXeFI6NIBcSwmS
30,"Kings & Queens","Ava Max",29760,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
31,100RY,Dame,29706,https://open.spotify.com/track/7vXTZgH9QSqWjq6dum6251
32,"Ahoj Ahoj Čo Ty",Separ,29615,https://open.spotify.com/track/2iAhzdLzdlF0e9ulTq0hRq
33,OG,Separ,29514,https://open.spotify.com/track/2ijloBiuZP94dkVULrdf92
34,"Break My Heart","Dua Lipa",29451,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
35,Rešpekt,Dame,29209,https://open.spotify.com/track/1ujvSMrtwcsDVBST22E80d
36,"Nemám Záujem",Dame,29024,https://open.spotify.com/track/61xRLjVcCwO5CwWU6apvJM
37,Supalonely,BENEE,29003,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
38,"My Vždycky",Dame,28823,https://open.spotify.com/track/3AlGrOyXv1OsTYGc9oM2BH
39,YAYA,6ix9ine,28707,https://open.spotify.com/track/6EfBMJQwe2xLgldra6DaYp
40,"Ride It",Regard,27319,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
41,Usmev,Zayo,26630,https://open.spotify.com/track/1UhOomVdZgNvc0xMpVH3lG
42,KURT,"Majk Spirit",26296,https://open.spotify.com/track/4e8DYhGFvo6D557SISDfd8
43,"Stunnin' (feat. Harm Franklin)","Curtis Waters",26257,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
44,"Za Vás",Dame,26140,https://open.spotify.com/track/7KlYMQjxUcN4TIiI0n8krb
45,"Wishing Well","Juice WRLD",25915,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
46,"J Lo",Kontrafakt,25909,https://open.spotify.com/track/0ZoS0OXuPpBPKa2arKKKJ1
47,Challenge,Dame,25744,https://open.spotify.com/track/5KdZa8OzCFBmjDQ1q43PIq
48,"Dance Monkey","Tones And I",25649,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
49,"Some Say - Felix Jaehn Remix",Nea,25236,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
50,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,25152,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
51,"Party Girl (Remix)",StaySolidRocky,25137,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
52,"Life's A Mess (feat. Halsey)","Juice WRLD",24977,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
53,"THE SCOTTS","THE SCOTTS",24666,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
54,"Odjebem Strop",Separ,24333,https://open.spotify.com/track/1OIH98s8amXkfrK8MFm0qU
55,Iný,Dame,23653,https://open.spotify.com/track/2uJZKXytfEHWiQBUmDz4cX
56,Neviditelnej,Kontrafakt,23222,https://open.spotify.com/track/0wXZP3xs4b7vAFymzoENz1
57,"Don't Start Now","Dua Lipa",22659,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
58,"Toosie Slide",Drake,22483,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
59,"Blueberry Faygo","Lil Mosey",22435,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
