,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,85550,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Come & Go (with Marshmello)","Juice WRLD",75299,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
3,"Life's A Mess (feat. Halsey)","Juice WRLD",72453,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
4,"Wishing Well","Juice WRLD",63279,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
5,"Blinding Lights","The Weeknd",63143,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,Righteous,"Juice WRLD",58801,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
7,Conversations,"Juice WRLD",57663,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
8,"Savage Love (Laxed - Siren Beat)","Jawsh 685",54115,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
9,"Roses - Imanbek Remix","SAINt JHN",52370,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Toosie Slide",Drake,49338,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Party Girl (Remix)",StaySolidRocky,47721,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
12,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",46755,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
13,"Go Crazy","Chris Brown",46449,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
14,"Blueberry Faygo","Lil Mosey",45735,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
15,Titanic,"Juice WRLD",44469,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
16,"Bad Energy","Juice WRLD",42014,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
17,"Chicago Freestyle (feat. Giveon)",Drake,40999,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
18,"Watermelon Sugar","Harry Styles",40857,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
19,"Blood On My Jeans","Juice WRLD",40479,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
20,"Someone You Loved","Lewis Capaldi",40363,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"The Box","Roddy Ricch",39827,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
22,"Dance Monkey","Tones And I",39670,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",39298,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
24,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",38360,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
25,"Breaking Me",Topic,38201,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
26,Dior,"Pop Smoke",36745,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
27,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",36734,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
28,"Intentions (feat. Quavo)","Justin Bieber",35462,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
29,"Life Is Good (feat. Drake)",Future,35309,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
30,"THE SCOTTS","THE SCOTTS",35245,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
31,"Stay High","Juice WRLD",34600,https://open.spotify.com/track/1AnkdcHl86kEhDvhaKDuIe
32,"Don't Start Now","Dua Lipa",34595,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
33,Circles,"Post Malone",34547,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
34,"Fighting Demons","Juice WRLD",34469,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
35,"You're the One",Elaine,33804,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
36,"Stuck with U (with Justin Bieber)","Ariana Grande",33619,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
37,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,33529,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
38,"Up Up And Away","Juice WRLD",32848,https://open.spotify.com/track/5lcIegmdblnWqT9nS9EhZj
39,"Screw Juice","Juice WRLD",32727,https://open.spotify.com/track/2XSO13Gyndo7MDdtYibIxO
40,"Beautiful People (feat. Khalid)","Ed Sheeran",32341,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
41,Memories,"Maroon 5",32276,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
42,"I Want It","Juice WRLD",32258,https://open.spotify.com/track/6RsRMf9e4KUyo3MecGffNL
43,"Be Kind (with Halsey)",Marshmello,31844,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
44,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",30978,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
45,"Before You Go","Lewis Capaldi",29677,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
46,"Lucid Dreams","Juice WRLD",29439,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,"everything i wanted","Billie Eilish",29309,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,"Rain On Me (with Ariana Grande)","Lady Gaga",29022,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
49,"Can't Die","Juice WRLD",28954,https://open.spotify.com/track/6DuHcOuuGWXNvF3uocsrBa
50,"Man Of The Year","Juice WRLD",28771,https://open.spotify.com/track/1uA914Md6wsy9NDryyBypH
51,"The Adventures of Moon Man & Slim Shady (with Eminem)","Kid Cudi",28619,https://open.spotify.com/track/38iBrrbbXyWaSPkmuDNgjZ
52,Falling,"Trevor Daniel",28222,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
53,"My Affection (with PARTYNEXTDOOR)","Summer Walker",28217,https://open.spotify.com/track/2aSM4sbNN7cSmpYOG0sf46
54,"ily (i love you baby) (feat. Emilee)","Surf Mesa",26978,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
55,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",26939,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
56,Sponono,"Kabza De Small",26029,https://open.spotify.com/track/6V06P7LboO5FaYi13nQANw
57,"Break My Heart","Dua Lipa",25924,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
58,"WHATS POPPIN","Jack Harlow",25721,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
59,"Anxiety - Intro","Juice WRLD",25325,https://open.spotify.com/track/0YevRlTDW9tyIwViCyke8Q
60,"HIGHEST IN THE ROOM","Travis Scott",25190,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
61,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",25061,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
62,goosebumps,"Travis Scott",24725,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
63,"Sunday Best",Surfaces,24601,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
64,"Lose Somebody",Kygo,24247,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
65,"I Don't Care (with Justin Bieber)","Ed Sheeran",24150,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
66,"If the World Was Ending - feat. Julia Michaels","JP Saxe",24036,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
67,Señorita,"Shawn Mendes",23890,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
68,"Let It Go","Summer Walker",23124,https://open.spotify.com/track/6qwLieyhZ2vhn3xuIOrw32
69,ROXANNE,"Arizona Zervas",22946,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
70,"lovely (with Khalid)","Billie Eilish",22841,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
71,"After Party","Don Toliver",22631,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
72,"Godzilla (feat. Juice WRLD)",Eminem,22563,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
73,Robbery,"Juice WRLD",22291,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
74,Youngblood,"5 Seconds of Summer",21960,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
75,"SICKO MODE","Travis Scott",21863,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
76,"Ballin' (with Roddy Ricch)",Mustard,21591,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
77,"hot girl bummer",blackbear,21359,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
78,"BELIEVE IT",PARTYNEXTDOOR,21343,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
79,"DYING 4 YOUR LOVE","Snoh Aalegra",20911,https://open.spotify.com/track/5d6qTZOLnj4zbgFGRoJiNz
80,Shallow,"Lady Gaga",20348,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
81,"Something Special","Pop Smoke",20304,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
82,Happier,Marshmello,20159,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
83,"Higher Love",Kygo,19978,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
84,"Adore You","Harry Styles",19903,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
85,"In Your Eyes","The Weeknd",19880,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
86,GOOBA,6ix9ine,19728,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
87,"GO (feat. Juice WRLD)","The Kid LAROI",19643,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
88,"bad guy","Billie Eilish",19466,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
89,Eazy,"Nasty C",19371,https://open.spotify.com/track/2WxL4qrdtQFs7RJ9hEbyW1
90,"SWV (with NO1-NOAH)","Summer Walker",19354,https://open.spotify.com/track/4ii5S0UcGpdAANl098llgB
91,"Jocelyn Flores",XXXTENTACION,19261,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
92,"The Man, The Myth, The Legend - Interlude","Juice WRLD",19256,https://open.spotify.com/track/0veNpTQFqfmTX0rsJmO2rO
93,"High Fashion (feat. Mustard)","Roddy Ricch",18998,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
94,SAD!,XXXTENTACION,18992,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
95,"No Guidance (feat. Drake)","Chris Brown",18970,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
96,"Juice WRLD Speaks From Heaven - Outro","Juice WRLD",18858,https://open.spotify.com/track/2GriTXl7gRSBv1A2IGZtnL
97,"Wash Us In The Blood","Kanye West",18681,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG
98,"Got It On Me","Pop Smoke",18599,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
99,"Rags2Riches (feat. ATR Son Son)","Rod Wave",18593,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
100,"Ride It",Regard,18499,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
101,Supalonely,BENEE,18498,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
102,"Say So","Doja Cat",18292,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
103,"Ke Star",Focalistic,18272,https://open.spotify.com/track/5I4C1yjAWDREGD5JLzqux1
104,"White Tee (with NO1-NOAH)","Summer Walker",18252,https://open.spotify.com/track/5m0eMnsWwzgGsUxe1mhFYR
105,Risky,Elaine,18045,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
106,"Eastside (with Halsey & Khalid)","benny blanco",17780,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
107,Deeper,"Summer Walker",17754,https://open.spotify.com/track/7uwpgQQufpSsFIhhGJDHQF
108,"Without Me",Halsey,17719,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
109,Takeaway,"The Chainsmokers",17697,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
110,"Be Alright","Dean Lewis",17666,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
111,"Lose Control",MEDUZA,17527,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
112,"We Paid (feat. 42 Dugg)","Lil Baby",17466,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
113,"I Like Me Better",Lauv,17345,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
114,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",17263,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
115,ZOL,"Max Hurrell",17203,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
116,"Kings & Queens","Ava Max",17199,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
117,"Past Life (with Selena Gomez)","Trevor Daniel",17181,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
118,Buyile,"Kabza De Small",17180,https://open.spotify.com/track/3cYveo5jztcO8WV3AkiUJI
119,"Say You Won't Let Go","James Arthur",17153,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
120,"Post Malone (feat. RANI)","Sam Feldt",17105,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
121,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",17087,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
122,"Ilog Drum","Kabza De Small",17069,https://open.spotify.com/track/02sxnXoCxbGxs6dPANWOHr
123,"Stunnin' (feat. Harm Franklin)","Curtis Waters",17031,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
124,"Dancing With A Stranger (with Normani)","Sam Smith",17000,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
125,"Be Happy","Dixie D’Amelio",16977,https://open.spotify.com/track/0egBBvt6cfROuCHP5nBABx
126,"Call You Mine","The Chainsmokers",16860,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
127,"when the party's over","Billie Eilish",16697,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
128,"All Girls Are The Same","Juice WRLD",16631,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
129,"How You Like That",BLACKPINK,16575,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
130,"Money In The Grave (Drake ft. Rick Ross)",Drake,16572,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
131,"Girls Need Love (with Drake) - Remix","Summer Walker",16525,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
132,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",16147,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
133,"Know Your Worth",Khalid,16031,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
134,Masupa,"Kabza De Small",15866,https://open.spotify.com/track/5Id1TX4vQxyUc6dapFxMnM
135,"Sweet but Psycho","Ava Max",15822,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
136,"If I Can't Have You","Shawn Mendes",15803,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
137,BOP,DaBaby,15707,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
138,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",15681,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
139,"Never Really Over","Katy Perry",15668,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
140,"TKN (feat. Travis Scott)",ROSALÍA,15530,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
141,Falling,"Harry Styles",15508,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
142,2002,Anne-Marie,15504,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
143,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",15442,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
144,"you broke me first","Tate McRae",15273,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
145,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,15264,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
146,"Mood Swings (feat. Lil Tjay)","Pop Smoke",15231,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
147,"rockstar (feat. 21 Savage)","Post Malone",15170,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
148,Ransom,"Lil Tecca",15150,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
149,"How Do You Sleep?","Sam Smith",15125,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
150,Surrender,"Natalie Taylor",15039,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
151,"The Bigger Picture","Lil Baby",15012,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
