,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1412458,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,Svag,"Victor Leksell",1258095,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1017163,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,"Blinding Lights","The Weeknd",1000935,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,Komplicerad,"Miss Li",935625,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
6,Bedövning,"Victor Leksell",922164,https://open.spotify.com/track/4r3MaUVtwfSPXTsN5xX91i
7,"Come & Go (with Marshmello)","Juice WRLD",778634,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
8,"Ha dig igen","Victor Leksell",687830,https://open.spotify.com/track/6FY1QdP2WeXZ73ERGaSXVN
9,"Love Me Land","Zara Larsson",679936,https://open.spotify.com/track/3J6bLodhUHgNyzEZLgcieN
10,"Komma över dig - Spotify Studio It's Hits Recording","Norlie & KKV",672638,https://open.spotify.com/track/0llOYwxUVtCD5lBJMrj7ox
11,"Young & Heartless",Yasin,667420,https://open.spotify.com/track/6t0YIui8b5Jt8oUVOrmujk
12,"Hiphop N RnB",Yasin,625015,https://open.spotify.com/track/5bx4stZRInFwFz40fHDa7h
13,"En säng av rosor",Darin,603605,https://open.spotify.com/track/14eKSIRO006SRXYpfoY8HK
14,"Roses - Imanbek Remix","SAINt JHN",592550,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
15,"Watermelon Sugar","Harry Styles",584453,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
16,"Kanske var vi rätt bra ändå",Newkid,556352,https://open.spotify.com/track/05HKKlHqE1HJ1oIqXpJ7yI
17,"Lev nu dö sen","Miss Li",528722,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
18,"Breaking Me",Topic,503356,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
19,"Det Kommer Bli Bra",Laleh,499467,https://open.spotify.com/track/4gmkulE2YsAwcvKjXjJlH7
20,Someone,Jubël,467857,https://open.spotify.com/track/68zNuCEl9UHTbcBltW2uDv
21,"Aldrig mer vara du",estraden,457081,https://open.spotify.com/track/0nCW3CCZXXM8RCq4RwJhU7
22,"Dance Monkey","Tones And I",445594,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,"Passa dig","Miriam Bryant",435798,https://open.spotify.com/track/7nHHxCaUfsqeDRfhMDUrA8
24,"In Your Eyes","The Weeknd",426556,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
25,"Life's A Mess (feat. Halsey)","Juice WRLD",417037,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
26,"Bless Me","Ricky Rich",415129,https://open.spotify.com/track/65QINQfRC0MZx1H49eSUZH
27,"Om igen","Victor Leksell",408677,https://open.spotify.com/track/3xVkdn1dj0fP1KesvRsGru
28,"Wishing Well","Juice WRLD",393838,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
29,"Lose Somebody",Kygo,379275,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
30,"Party Girl (Remix)",StaySolidRocky,377585,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
31,Starkare,"Miss Li",368321,https://open.spotify.com/track/3zXw6rU0S9cOfudFiA6FKm
32,PIPPI,"Dree Low",365554,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
33,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",365413,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
34,"PA PA",Macky,359391,https://open.spotify.com/track/3dik6P9rxGTsdDB5x42jqs
35,"Sommartider i Stenhagen","Dani M",357918,https://open.spotify.com/track/35KGM6Hfrgl7hvSoaZ2Njx
36,"Kings & Queens","Ava Max",355031,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
37,"Husavik - My Hometown","Will Ferrell",351182,https://open.spotify.com/track/6ofMKJjMpfDEb48JYEAgjX
38,Sexcigg,Lov1,346358,https://open.spotify.com/track/4GWDWSQiMOVVOFoMSgmids
39,Fantasi,"Victor Leksell",334900,https://open.spotify.com/track/3ZJiGpzCm9ZlDqp8jNqXFz
40,"Rain On Me (with Ariana Grande)","Lady Gaga",332048,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
41,"Some Say - Felix Jaehn Remix",Nea,326526,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
42,Conversations,"Juice WRLD",323521,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
43,"Rover (feat. DTG)",S1mba,322866,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
44,Salt,"Ava Max",317049,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
45,"Sykepleierinnen (Sykehuset 2020)","El Papi",314998,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
46,"Tills mitt hjärta går under","Myra Granberg",314054,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
47,"Shelley - Spotify Studio It's Hits Recording (feat. Simon Ljungman)",GAMMAL,311977,https://open.spotify.com/track/603Kxiz7PagWpTA4AwWQwf
48,GOOBA,6ix9ine,311206,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
49,"Break My Heart","Dua Lipa",292019,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
50,"Got It On Me","Pop Smoke",287682,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
51,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",278178,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
52,"Bra för dig",estraden,270307,https://open.spotify.com/track/3YCAQEpuFtgVVhEDJsW3gQ
53,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",267283,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
54,"Va min","Victor Leksell",263813,https://open.spotify.com/track/5LojI1Ym1EajNxV2UDc5gG
55,"ily (i love you baby) (feat. Emilee)","Surf Mesa",261640,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
56,"Source Ft Aden",Yasin,260301,https://open.spotify.com/track/6vXi13WQA7ExaAcdTJ26We
57,"DIP DIP","Dree Low",254599,https://open.spotify.com/track/1JLzrXRCV1IBnOMdo7cCaM
58,Righteous,"Juice WRLD",252659,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
59,"Before You Go","Lewis Capaldi",250352,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
60,"Someone You Loved","Lewis Capaldi",249866,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,Valhalla,Ringnes-Ronny,249516,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
62,"Take My Hand",Oberg,245772,https://open.spotify.com/track/2r83X34HTciGAKNkHDuGaJ
63,"Nån av oss","Miriam Bryant",245122,https://open.spotify.com/track/3KTPAavMfc8FqtMLAaMXkH
64,NBA,Adel,240844,https://open.spotify.com/track/01vHh12JCGZ8ERGG4K6ZLB
65,"Avundsjuk på regnet","Daniel Adams-Ray",239459,https://open.spotify.com/track/2Xx0cOqgCzNyEbAA6IMtHw
66,KONTROLLZON,Haval,239140,https://open.spotify.com/track/1pqHv4SgUoIZf8UCW3zwte
67,Workin,Yasin,231956,https://open.spotify.com/track/67ttkEO235xJmxhQ9tOM1t
68,Dior,"Pop Smoke",231224,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
69,"Like It Is",Kygo,230656,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
70,Sunnanvind,Mares,229551,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
