,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,308698,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,286322,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
3,她沒在看我,E.SO,282117,https://open.spotify.com/track/5QbK5PrR9wbog3M5vVAn2n
4,CHANGE,E.SO,268362,https://open.spotify.com/track/4E5PyVOBH25CICgTURwGXM
5,太陽,E.SO,242309,https://open.spotify.com/track/3Bij7rScgMAWeCXpA3qJk9
6,"Without You","高爾宣 OSN",239383,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2
7,"Follow You",E.SO,204939,https://open.spotify.com/track/1nfm4v6IxyOKOfGjvWVUj2
8,Mojito,"Jay Chou",197509,https://open.spotify.com/track/7BYMjh3vWnHU4IFyfZdIDO
9,怎麼了,"Eric Chou",190519,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
10,稱讚她的美,E.SO,183545,https://open.spotify.com/track/0KpdHSo8glkLjzx063N3aw
11,"Rain On Me (with Ariana Grande)","Lady Gaga",174986,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Be Kind (with Halsey)",Marshmello,173969,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
13,"天黑請閉眼 feat. 邱鋒澤","Nine Chen",173928,https://open.spotify.com/track/3j5yYj3N0CQSgcHMF91ZlO
14,Maria,"Hwa Sa",172880,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
15,說好不哭,"Jay Chou",171232,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
16,"I Wish I Was There",E.SO,168438,https://open.spotify.com/track/3MXio1CBF3ukhBtx9aURWM
17,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",160325,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
18,"路過人間 (電視劇《我們與惡的距離》插曲)","Yisa Yu",157790,https://open.spotify.com/track/1ZSleGniKMWNrWvK5cGALO
19,"eight(Prod.&Feat. SUGA of BTS)",IU,155855,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
20,"Savage Love (Laxed - Siren Beat)","Jawsh 685",147611,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
21,太陽,"Pika Chiu",145845,https://open.spotify.com/track/3mAc5QY56d5Zl1MbvnWybK
22,WAIT,E.SO,145266,https://open.spotify.com/track/0TYt1vngPocfkK2YHvu7Ze
23,句號,G.E.M.,145025,https://open.spotify.com/track/66YKSygcUZHHqHJZcWslI3
24,绿色,"Shirley Chen",142866,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
25,"Why You Gonna Lie","高爾宣 OSN",137517,https://open.spotify.com/track/1rjUBUTswCkN8DIBxkgjJs
26,那女孩對我說,"Rachel Liang",134354,https://open.spotify.com/track/5Gip2UwE4f8L4MQWsvcvfA
27,少年,梦然,133913,https://open.spotify.com/track/56XaEf9Mo2Njaxa9TIn5LR
28,一一,"Hebe Tien",131957,https://open.spotify.com/track/6I7bY6Wvh8NMUY8dBBhwz4
29,你的酒馆对我打了烊,"Shirley Chen",130970,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
30,"Stuck with U (with Justin Bieber)","Ariana Grande",130734,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
31,"Don't Start Now","Dua Lipa",129416,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
