,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",118898,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Caramelo,Ozuna,118762,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
3,"La Curiosidad","Jay Wheeler",105217,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
4,Relación,Sech,103956,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
5,"Tattoo - Remix","Rauw Alejandro",89880,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
6,"Hasta Que Dios Diga","Anuel AA",85206,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
7,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",77079,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
8,Favorito,Camilo,76605,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
9,PORFA,Feid,71049,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
10,"Tak Tiki Tak","Harry Nach",68878,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
11,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,62042,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
12,Colocao,"Nicki Nicole",61276,https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
13,Rojo,"J Balvin",61168,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
14,Tattoo,"Rauw Alejandro",55306,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
15,Inolvidable,"Ovy On The Drums",53100,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
16,Safaera,"Bad Bunny",51496,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
17,"Yo Perreo Sola","Bad Bunny",50602,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
18,Reggaetonera,"Anuel AA",50426,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
19,Azul,"J Balvin",50377,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
20,"Djadja (feat. Maluma) - Remix","Aya Nakamura",48106,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
21,"El Mismo Aire - con Pablo Alborán",Camilo,46786,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
22,"El Efecto - Remix","Rauw Alejandro",46048,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
23,Diosa,"Myke Towers",45887,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
24,Tusa,"KAROL G",45419,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,"Si Me Dices Que Sí",Reik,45230,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
26,Locura,"Cali Y El Dandee",45210,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
27,"Por Primera Vez",Camilo,44735,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
28,"Zaramay: Bzrp Music Sessions, Vol. 31",Bizarrap,44627,https://open.spotify.com/track/2PKb7tFxkwMoS7Y6muOTAR
29,"CÓMO SE SIENTE - Remix","Jhay Cortez",42919,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
30,"TKN (feat. Travis Scott)",ROSALÍA,40729,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
31,"Hola - Remix",Dalex,40339,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
32,Morado,"J Balvin",39372,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
33,"Blinding Lights","The Weeknd",39371,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,"Quiéreme Mientras Se Pueda","Manuel Turizo",39183,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
35,Fabuloso,Sech,39053,https://open.spotify.com/track/3cg2Y9mIiYNdcPTLKaQgK3
36,Jangueo,"Alex Rose",37928,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
37,Amarillo,"J Balvin",36327,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
38,"Watermelon Sugar","Harry Styles",36306,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
39,Flexin',"Lit Killah",35108,https://open.spotify.com/track/0hwEhPxCBLKiqeBMZavGAv
