,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",163208,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Roses - Imanbek Remix","SAINt JHN",136435,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,128013,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,"Breaking Me",Topic,121113,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",114295,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"Watermelon Sugar","Harry Styles",107610,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Česká Floriida","Robin Zoot",92185,https://open.spotify.com/track/2K82hmiYt3POvX56n6lJH0
8,"Dance Monkey","Tones And I",90294,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,"Come & Go (with Marshmello)","Juice WRLD",88867,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
10,"Kings & Queens","Ava Max",87123,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
11,"Až na měsíc","Viktor Sheen",84827,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
12,"Teď tady",Ektor,81940,https://open.spotify.com/track/28RZNfu3ECSTC6U8mhdL9Q
13,"Ride It",Regard,76777,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
14,GOOBA,6ix9ine,75119,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
15,"Dobrej den",Refew,70593,https://open.spotify.com/track/4KHcGXpPxkmJ6h4WbXYWLO
16,"Do Pěti",Ektor,69149,https://open.spotify.com/track/1YFu3F7SpwRTdGTt56u9O4
17,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,68798,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,"Svaz ceskych bohemu",Wohnout,67264,https://open.spotify.com/track/0twbASvGKPDvbWviKZcpyy
19,"Rain On Me (with Ariana Grande)","Lady Gaga",64736,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
20,"Someone You Loved","Lewis Capaldi",63391,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Hranice,Ektor,61393,https://open.spotify.com/track/4EPelmX1wjCWn6gr4kx9Ez
22,"Wishing Well","Juice WRLD",60443,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
23,"Life's A Mess (feat. Halsey)","Juice WRLD",59955,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
