,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",109582,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Caramelo,Ozuna,105585,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
3,"Tattoo - Remix","Rauw Alejandro",104692,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,Relación,Sech,99394,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
5,"CÓMO SE SIENTE - Remix","Jhay Cortez",97651,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
6,"La Curiosidad","Jay Wheeler",89196,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
7,"Hasta Que Dios Diga","Anuel AA",84382,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
8,"A Correr los Lakers (Remix)","El Alfa",81601,https://open.spotify.com/track/29KkQi7wKF6IdOjwU8infb
9,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",72995,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
10,Narcos,"Anuel AA",66111,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
11,Tattoo,"Rauw Alejandro",64939,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
12,"Yo Perreo Sola","Bad Bunny",62040,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
13,Singapur,"El Alfa",59765,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
14,Safaera,"Bad Bunny",59659,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
15,Favorito,Camilo,55539,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
16,"Dream Girl - Remix","Ir Sais",54868,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
17,"Hola - Remix",Dalex,53449,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
18,Rojo,"J Balvin",53292,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
19,PAM,"Justin Quiles",51955,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
20,Diosa,"Myke Towers",51657,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
21,+Linda,Dalex,50250,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
22,Ignorantes,"Bad Bunny",50234,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
23,Reggaetonera,"Anuel AA",47626,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
24,"La Difícil","Bad Bunny",44615,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
25,4K,"El Alfa",43090,https://open.spotify.com/track/4xI3U4sDj1TPmO9Iz5TkYp
26,"La Santa","Bad Bunny",42844,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
27,"A Correr los Lakers","El Alfa",42243,https://open.spotify.com/track/1i14jDizhAPxpfZRxAOtnc
28,"El Mismo Aire - con Pablo Alborán",Camilo,41639,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
29,Vete,"Bad Bunny",41412,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
30,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,40929,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
31,"Los Bobo Son Mio","Haraca Kiko",40281,https://open.spotify.com/track/0CPwDsfPXKLigbah6wLCs7
32,Fantasias,"Rauw Alejandro",40041,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
33,"Sigues Con El - Remix",Arcangel,39581,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
34,"No Me Conoce - Remix","Jhay Cortez",39352,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
35,PORFA,Feid,38235,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
36,"Djadja (feat. Maluma) - Remix","Aya Nakamura",37687,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
37,"Loco - Remix",Farruko,37487,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
38,"CANCIÓN CON YANDEL",Yandel,36898,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
39,"Adicto (with Anuel AA & Ozuna)",Tainy,36871,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
40,"LA CANCIÓN","J Balvin",36638,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
41,"TKN (feat. Travis Scott)",ROSALÍA,36589,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
42,"BYE ME FUI","Bad Bunny",36222,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
43,Tusa,"KAROL G",35722,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
44,"Ay, DiOs Mío!","KAROL G",35484,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
45,"Sigues Con El","Dímelo Flow",35112,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
46,"Si Veo a Tu Mamá","Bad Bunny",35039,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
47,Girl,"Myke Towers",32766,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
48,Medusa,"Jhay Cortez",32224,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
49,"Bellaquita - Remix",Dalex,31916,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
50,"Blinding Lights","The Weeknd",31537,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
51,MAMACITA,"Black Eyed Peas",30360,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
52,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,30236,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
53,Azul,"J Balvin",29452,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
54,Follow,"KAROL G",27526,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
55,"El Efecto - Remix","Rauw Alejandro",27285,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
56,"La Forma en Que Me Miras","Super Yei",26150,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
57,BENDICIONES,"Bad Bunny",25062,https://open.spotify.com/track/2CoMYp2uIKsT09nreEZnZn
58,"Toosie Slide",Drake,24975,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
59,"Coño (with Puri, Bulin 47, El Bloonel, Bulova, Quimico Ultra Mega & El Tonto) - Remix","Ceky Viciny",24746,https://open.spotify.com/track/01RS0CVZSmL5tZrESa3mJa
60,"A Tu Merced","Bad Bunny",24548,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
61,"La Cama - Remix",Lunay,24135,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
62,Jangueo,"Anuel AA",23981,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
63,"Quiéreme Mientras Se Pueda","Manuel Turizo",23976,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
64,"Si Me Dices Que Sí",Reik,23782,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
65,"Por Primera Vez",Camilo,23270,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
66,25/8,"Bad Bunny",22389,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
67,"Tak Tiki Tak","Harry Nach",22189,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
68,China,"Anuel AA",21915,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
69,"Ponte Pa' Mi","Rauw Alejandro",21878,https://open.spotify.com/track/10u2iOS0r6plfb9GknD7g4
70,Keii,"Anuel AA",21768,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
71,"PA' ROMPERLA","Bad Bunny",21626,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
72,Callaita,"Bad Bunny",21618,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
73,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,21393,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
74,ADMV,Maluma,21344,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
75,Infeliz,Arcangel,21233,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
