,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",333833,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,275214,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"La Curiosidad","Jay Wheeler",218016,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
4,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,205415,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
5,"Tattoo - Remix","Rauw Alejandro",204796,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
6,Azul,"J Balvin",169614,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
7,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",167083,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
8,Favorito,Camilo,160531,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
9,"Djadja (feat. Maluma) - Remix","Aya Nakamura",154562,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
10,Rojo,"J Balvin",152844,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
11,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,148853,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
12,"Tak Tiki Tak","Harry Nach",143664,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
13,"Yo Perreo Sola","Bad Bunny",139821,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
14,Safaera,"Bad Bunny",135763,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
15,"Blinding Lights","The Weeknd",129922,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,Tattoo,"Rauw Alejandro",127015,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
