,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,1-2,Nublu,54967,https://open.spotify.com/track/6UCxQMQiC4xu7PnYMxgvWJ
2,"Peo lõpp",5MIINUST,40213,https://open.spotify.com/track/3s8MM2twymVva7oi9EP5GX
3,niiea,Villemdrillem,33908,https://open.spotify.com/track/6MbfQspUZFBWtmxIVejejb
4,Croissantid,Nublu,27544,https://open.spotify.com/track/5Ophz1hIzW8gau39HkFzQl
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,26380,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"Blinding Lights","The Weeknd",24944,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"Savage Love (Laxed - Siren Beat)","Jawsh 685",22525,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
8,"Magad vä?",Reket,21570,https://open.spotify.com/track/7y3EdsM2WVi4Z1YnIZtBxK
9,Aluspükse,5MIINUST,21515,https://open.spotify.com/track/2xtLPeeUmIzM1hFw2qeH4U
10,"Come & Go (with Marshmello)","Juice WRLD",21239,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
11,"Watermelon Sugar","Harry Styles",20271,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"Roses - Imanbek Remix","SAINt JHN",19176,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"für Oksana",Nublu,18777,https://open.spotify.com/track/3ZNv0P70XQX5FoQAUw3bLg
14,"Life's A Mess (feat. Halsey)","Juice WRLD",18293,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
15,Paaristõuked,5MIINUST,17985,https://open.spotify.com/track/5fhn8aAo9FAl1pVLsMPOPk
16,"Wishing Well","Juice WRLD",17549,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
17,"Breaking Me",Topic,15918,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
18,"SOS (Siimi Remix)",Pluuto,15222,https://open.spotify.com/track/0AFmjTe9cGSWywqfa5fpuu
19,"Party Girl (Remix)",StaySolidRocky,14278,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
20,"ily (i love you baby) (feat. Emilee)","Surf Mesa",14219,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
21,GOOBA,6ix9ine,14032,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
22,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,13979,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
23,"Rain On Me (with Ariana Grande)","Lady Gaga",13824,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
24,"Blueberry Faygo","Lil Mosey",13750,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
25,Cadillac,MORGENSHTERN,13615,https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv
26,Conversations,"Juice WRLD",13579,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
27,Righteous,"Juice WRLD",13323,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
28,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",12784,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
29,"In Your Eyes","The Weeknd",12283,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
30,Lämmi,"Küberünnak & Karmo",12156,https://open.spotify.com/track/03dUoht4jmfAZmpgCvOIkT
31,Tsirkus,5MIINUST,12097,https://open.spotify.com/track/0x4cbwsF2NN3BwmQRgkljV
