,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pistoli,"Sin Laurent",277959,https://open.spotify.com/track/1m0N54Nrd76muGR1nynZgZ
2,Fimi,"Mad Clip",213862,https://open.spotify.com/track/1ObRO6vf0rLZJ57iT2Y3df
3,Millionaire,SNIK,148411,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56
4,"Agria Thalassa","Giorgos Sabanis",125286,https://open.spotify.com/track/0hAdCOO7fI75HmGSXcK3wM
5,Kotera,"Mad Clip",109346,https://open.spotify.com/track/3f7zVrAcCZ1BVlArmg8wzr
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,101052,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"Blinding Lights","The Weeknd",90972,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,IIWII,Sigma,89982,https://open.spotify.com/track/5f0plMfBN77REduHAYuZQK
9,NANA,Saske,87272,https://open.spotify.com/track/6lcgBbZKhYBnOxOS5rNlYb
10,"Iced Out","Billy Sio",84802,https://open.spotify.com/track/3ZnJ4WSPRbinkHAFbsTiNB
11,"Woh - Remix",Fy,83040,https://open.spotify.com/track/2njluUoYPPPzZFglKkRBlR
12,"Roses - Imanbek Remix","SAINt JHN",82658,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,OKEY,"DJ Stephan",76009,https://open.spotify.com/track/1kOLCgJK3r02mZHOnaQuKS
14,Eros,"DJ Stephan",74219,https://open.spotify.com/track/5awWNBw5fzqKUGXV2QKGug
15,Online,SNIK,74046,https://open.spotify.com/track/0wOsbCajTcYcXy4fpUlPIC
16,"Athina Mou","Konstantinos Argiros",71614,https://open.spotify.com/track/0W6HPXLquJqsIJgES1jzbI
17,Overdose,"Lil PoP",71217,https://open.spotify.com/track/3N0dH5dZKj4momer7WIhRB
18,TopBoy,SNIK,70648,https://open.spotify.com/track/6KdACBLgLbJbAMe9wtUFlV
19,"Cruel Summer","DJ Stephan",70460,https://open.spotify.com/track/4oFQ9fnM7H8mwdiB5MiHwn
20,Cubano,SNIK,68770,https://open.spotify.com/track/6Lzhgx9O8YFJvkkoNY9S9r
21,"TKN (feat. Travis Scott)",ROSALÍA,68134,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
22,"MMM NANA",iLLEOo,66480,https://open.spotify.com/track/5nWVmsF6ddo4HRSaO2hGaX
23,"Breaking Me",Topic,66448,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
24,Drip,SNIK,65205,https://open.spotify.com/track/5o9X0DpYnZvBJ5IRR7ZwiB
25,Slang,Light,63748,https://open.spotify.com/track/0QoBn12Uo7oDv3zzz4QV1v
26,Viktoria,Melisses,63006,https://open.spotify.com/track/6zjzustYTCBqaUiIMY9aJ2
27,"THE SCOTTS","THE SCOTTS",60578,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
28,IG,Slogan,59692,https://open.spotify.com/track/4ymFaT7dHSJ7i1MwIsoP9o
29,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",59182,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
30,"Watermelon Sugar","Harry Styles",58830,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,Why,SNIK,58666,https://open.spotify.com/track/6htdPLrUVE4Kq3zzLOpVIh
32,"Toosie Slide",Drake,57760,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
33,Senorita,SNIK,57615,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
34,Caliente,"Mente Fuerte",57549,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
35,Dior,"Pop Smoke",56814,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
36,"Who U",MG,56361,https://open.spotify.com/track/36czrjqfipV2DWwUXc8oQn
37,Varane,"Dof Twogee",55482,https://open.spotify.com/track/2d4DjOhZD8gHitp39slVz3
38,"Party Girl (Remix)",StaySolidRocky,54613,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
39,"HIGHEST IN THE ROOM","Travis Scott",53987,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
40,GOOBA,6ix9ine,52719,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
41,"Misi Kardia",Melisses,50559,https://open.spotify.com/track/3E9Ccd3OMyENc0mBVYeJYt
42,Stars,TOQUEL,50164,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
43,"The Box","Roddy Ricch",49836,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
44,Magic,Light,49149,https://open.spotify.com/track/65kd9dKyEn6zC8DJhYKWfi
45,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",48924,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
46,"Got It On Me","Pop Smoke",48846,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
47,"Savage Love (Laxed - Siren Beat)","Jawsh 685",48524,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
48,Sandra,TOQUEL,48428,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
49,"Blueberry Faygo","Lil Mosey",48091,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
50,"Si on n'aime qu'une fois / I Leksi S' Agapo","Nikos Vertis",46810,https://open.spotify.com/track/529KeIkmeHs4NrHBXy5LfX
51,Horevo,"Michalis Hatzigiannis",46444,https://open.spotify.com/track/4sMsTbJO3lXxGAMqagN7Am
52,Cyan,Saske,45738,https://open.spotify.com/track/7lOk3JSaMnbZhG381VLa6C
53,"WOH - MegaMix",Fy,45724,https://open.spotify.com/track/5DprB7tFVzxeQeZRo0mBzZ
54,Ego,Josephine,44725,https://open.spotify.com/track/28ajTUUmYX1xhsJdbE3U9n
55,Presidente,"Mad Clip",42755,https://open.spotify.com/track/38WWLroplM6GN2Pw5j8DpO
56,TANA,iLLEOo,42561,https://open.spotify.com/track/4uHNAZVg3fHqcUj2W3TOlk
57,"Come & Go (with Marshmello)","Juice WRLD",42178,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
58,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",41900,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
59,Business,TOQUEL,41359,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
60,Selina,"DJ Stephan",40918,https://open.spotify.com/track/50ARQT3xO7YLtz8gf4a13X
61,"Break My Heart","Dua Lipa",40839,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
62,"Oh No",SNIK,40408,https://open.spotify.com/track/4bj3XvWwPxRaONwpeTDQLb
63,"Rain On Me (with Ariana Grande)","Lady Gaga",40157,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
64,GOGO,Saske,39847,https://open.spotify.com/track/7FzClcvQM7oWdmzYZEQTHA
