,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",94483,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,68568,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,"Tattoo - Remix","Rauw Alejandro",52890,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
4,"CÓMO SE SIENTE - Remix","Jhay Cortez",50608,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
5,"La Curiosidad","Jay Wheeler",50500,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
6,Rojo,"J Balvin",47728,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
7,Safaera,"Bad Bunny",46674,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
8,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",43663,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
9,"Yo Perreo Sola","Bad Bunny",43513,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
10,"Blinding Lights","The Weeknd",42459,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Hasta Que Dios Diga","Anuel AA",42357,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
12,"Djadja (feat. Maluma) - Remix","Aya Nakamura",42208,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
13,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,40532,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
14,Tattoo,"Rauw Alejandro",39795,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
15,"Tak Tiki Tak","Harry Nach",38181,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
16,Favorito,Camilo,37863,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
17,Ignorantes,"Bad Bunny",37129,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
18,"LA CANCIÓN","J Balvin",36151,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
19,"La Santa","Bad Bunny",36133,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
20,Caramelo,Ozuna,34580,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
21,"Hola - Remix",Dalex,34133,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
22,"Si Veo a Tu Mamá","Bad Bunny",33753,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
23,Vete,"Bad Bunny",33412,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
24,Diosa,"Myke Towers",32928,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
25,Singapur,"El Alfa",32797,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
26,Azul,"J Balvin",32015,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
27,"No Me Conoce - Remix","Jhay Cortez",31229,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
28,"La Difícil","Bad Bunny",31194,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
29,Fantasias,"Rauw Alejandro",30136,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
30,"Sigues Con El","Dímelo Flow",29847,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
31,"CANCIÓN CON YANDEL",Yandel,29844,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
32,Tusa,"KAROL G",29701,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
33,"Pa' Olvidarme De Ella","Piso 21",29639,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
34,Jangueo,"Alex Rose",28918,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
35,PORFA,Feid,27088,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
36,"Don't Start Now","Dua Lipa",26833,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
37,Morado,"J Balvin",26453,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
38,"Dream Girl - Remix","Ir Sais",25532,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
39,"BYE ME FUI","Bad Bunny",25258,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
40,"El Efecto - Remix","Rauw Alejandro",25126,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
41,"A Tu Merced","Bad Bunny",24781,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
42,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,24572,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
43,"Dance Monkey","Tones And I",24377,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
44,Amarillo,"J Balvin",23921,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
45,"Adicto (with Anuel AA & Ozuna)",Tainy,23839,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
46,"El Efecto","Rauw Alejandro",23449,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
47,Callaita,"Bad Bunny",23389,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
48,"Ay, DiOs Mío!","KAROL G",22226,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
49,"Si Estuviésemos Juntos","Bad Bunny",22089,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
50,"Sigues Con El - Remix",Arcangel,21181,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
51,"Toosie Slide",Drake,20144,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
52,"TKN (feat. Travis Scott)",ROSALÍA,19129,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
53,Reggaetonera,"Anuel AA",19113,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
54,"Watermelon Sugar","Harry Styles",18892,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
55,"La Forma en Que Me Miras","Super Yei",18696,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
56,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,18530,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
57,"Quiéreme Mientras Se Pueda","Manuel Turizo",18411,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
58,China,"Anuel AA",17543,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
59,Infeliz,Arcangel,17475,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
60,"Bellaquita - Remix",Dalex,17312,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
61,"El Mismo Aire - con Pablo Alborán",Camilo,16300,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
62,+Linda,Dalex,16065,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
