,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,164954,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,呼吸有害,"Karen Mok",116824,https://open.spotify.com/track/4t53NE3uBLkTwW9rUgiHC8
3,銀河修理員,"Dear Jane",102150,https://open.spotify.com/track/7zph1Irpw39AuLNCPe5JIc
4,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,84148,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
5,哀的美敦書,"Dear Jane",83702,https://open.spotify.com/track/2BfKavPHWOj80JnskZIJGu
6,一人之境,"Terence Lam",78943,https://open.spotify.com/track/16VtXtccn3rmUAR9Q4W5ME
7,"Savage Love (Laxed - Siren Beat)","Jawsh 685",68478,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
8,"Rain On Me (with Ariana Grande)","Lady Gaga",65495,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
9,"Be Kind (with Halsey)",Marshmello,64473,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
10,"Stuck with U (with Justin Bieber)","Ariana Grande",61780,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
11,"Come & Go (with Marshmello)","Juice WRLD",59986,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
12,我該放手,"JC 陳泳彤",59636,https://open.spotify.com/track/1ldMLpWMFcD28gbd9TICkv
13,Señorita,"Shawn Mendes",59360,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
14,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,58457,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,"Blinding Lights","The Weeknd",55428,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,Memories,"Maroon 5",55369,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
17,說好不哭,"Jay Chou",54488,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
18,Mojito,"Jay Chou",54271,https://open.spotify.com/track/7BYMjh3vWnHU4IFyfZdIDO
19,假使世界原來不像你預期,"Charmaine Fong",54060,https://open.spotify.com/track/53HxUdYRCRMdzYPG0qhGUP
20,"Intentions (feat. Quavo)","Justin Bieber",53761,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,Monster,"Red Velvet - IRENE & SEULGI",53257,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
22,"Break My Heart","Dua Lipa",52057,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
23,Maria,"Hwa Sa",51968,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
24,"別為我好 (我未夠好版)","Angela Hui",51103,https://open.spotify.com/track/64QzmIlqWatMTfUDuLp0wp
25,"Watermelon Sugar","Harry Styles",51040,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
