,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",133391,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Breaking Me",Topic,131772,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
3,"Roses - Imanbek Remix","SAINt JHN",130211,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,111621,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",92529,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"Watermelon Sugar","Harry Styles",86633,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Kings & Queens","Ava Max",82535,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
8,"Come & Go (with Marshmello)","Juice WRLD",76523,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
9,"Budán vagy Pesten","Bruno X Spacc",70937,https://open.spotify.com/track/2yShQlSqCJbcxzzGu65ZgE
10,GOOBA,6ix9ine,70080,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
11,"Dance Monkey","Tones And I",69716,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,"Party Girl (Remix)",StaySolidRocky,68212,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
13,"Break My Heart","Dua Lipa",68178,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
14,"Some Say - Felix Jaehn Remix",Nea,67255,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
15,"Visz a vérem",VALMAR,65730,https://open.spotify.com/track/5ljaIN5amyFn4fluFmjXy6
16,"Olyan Ő","Bagossy Brothers Company",63693,https://open.spotify.com/track/0GsltzHgCGCiQvskZggDDj
17,"Ride It",Regard,62371,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
18,"Don't Start Now","Dua Lipa",61427,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
19,"Rain On Me (with Ariana Grande)","Lady Gaga",60325,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
20,"Blueberry Faygo","Lil Mosey",59638,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
21,"ily (i love you baby) (feat. Emilee)","Surf Mesa",57496,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
22,"Life's A Mess (feat. Halsey)","Juice WRLD",56172,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
23,"Wishing Well","Juice WRLD",56040,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
24,"Háborgó mélység 2","Lotfi Begi",53697,https://open.spotify.com/track/1X0AvW2wtoDeuluMYqJMdH
25,"Toosie Slide",Drake,53520,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
26,"THE SCOTTS","THE SCOTTS",51840,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
27,Lej,Dzsúdló,50605,https://open.spotify.com/track/3sUOONjFxjepoSXvKYrz5E
28,Mostantól,"Rácz Gergõ",49977,https://open.spotify.com/track/25dMOeb3nDs8BPjxrQyOjR
29,"The Box","Roddy Ricch",48448,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
30,Salt,"Ava Max",47368,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
31,"Lose Control",MEDUZA,46658,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
32,MAMACITA,"Black Eyed Peas",46214,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
33,Tavasz,"Follow The Flow",44787,https://open.spotify.com/track/5PHgY9VKDWLk5YNA1bKw9f
34,Señorita,"Shawn Mendes",44650,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
35,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",43316,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
