,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Husavik - My Hometown","Will Ferrell",49422,https://open.spotify.com/track/6ofMKJjMpfDEb48JYEAgjX
2,"Flýg (feat. Bubbi Morthens)",Haki,46009,https://open.spotify.com/track/78hq6WVo04puawK6nhcbTV
3,"Jaja Ding Dong","Will Ferrell",42388,https://open.spotify.com/track/4QWRvlXU8dRUobH9YCDrIY
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",40602,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,Esjan,BRÍET,37681,https://open.spotify.com/track/7DRDJ5ZzU7mj7CfRxGYzOY
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,37075,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",36706,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
8,"Blinding Lights","The Weeknd",33689,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Got It On Me","Pop Smoke",33405,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
10,"Í kvöld er gigg","Ingó Veðurguð",32406,https://open.spotify.com/track/5dPMGUpSV58vMTW3CgGqTZ
11,"Come & Go (with Marshmello)","Juice WRLD",31781,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
12,"Watermelon Sugar","Harry Styles",28739,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",28614,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Það bera sig allir vel","Helgi Björnsson",27077,https://open.spotify.com/track/61mHxWqjGPpUrfFnLat10J
15,"Wishing Well","Juice WRLD",24485,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
16,"Týnd og einmana",Auður,24459,https://open.spotify.com/track/2lNCEYRbreAVKpAvrPe9Dp
17,"In Your Eyes","The Weeknd",23741,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
18,Conversations,"Juice WRLD",23733,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
19,Dior,"Pop Smoke",22783,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
20,"Roses - Imanbek Remix","SAINt JHN",22183,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
21,"Life's A Mess (feat. Halsey)","Juice WRLD",22043,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
22,"Breaking Me",Topic,21637,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
23,"Double Trouble - Film Version","Will Ferrell",20279,https://open.spotify.com/track/6VUMlHTs06O4tvQTpuboVR
24,Righteous,"Juice WRLD",19897,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
25,"Party Girl (Remix)",StaySolidRocky,19528,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
26,"Eitt Fyrir Klúbbinn",Breiðablik,19330,https://open.spotify.com/track/2TqBucXuOIqCMOrlxGmIi1
27,"Deyja Fyrir Stelpurnar Mínar",ClubDub,18752,https://open.spotify.com/track/5hvPA05nKGXnMQlXwxjqUU
28,Malbik,"Emmsjé Gauti",18357,https://open.spotify.com/track/0IUAdvkP1zFvt07BRgTfam
29,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",18231,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
30,"Think About Things","Daði Freyr",18041,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
31,"Stuck with U (with Justin Bieber)","Ariana Grande",17454,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
32,Gangstas,"Pop Smoke",17352,https://open.spotify.com/track/1hg3RlqFZXJb5YgRoK9qmF
33,"Enginn eins og þú",Auður,17238,https://open.spotify.com/track/3bzP8lZJWmuhpdnfDP1rTq
34,"Sumargleðin (feat. Gummi Tóta & Ingó Veðurguð)","Doctor Victor",16740,https://open.spotify.com/track/1fUYXOGNrIqYWwe9QLE3P1
35,GOOBA,6ix9ine,16408,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
36,"Ég Er Svo Flottur","Séra Bjössi",15746,https://open.spotify.com/track/6wkG9devuAF08BdPUBjIFe
37,"Dance Monkey","Tones And I",15586,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
38,"Óska mér",JóiPé,15148,https://open.spotify.com/track/0sch0PDq6IoBfoprVj9g36
39,Titanic,"Juice WRLD",15101,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
40,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",15086,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
41,"THE SCOTTS","THE SCOTTS",14652,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
42,"Make It Rain (feat. Rowdy Rebel)","Pop Smoke",14570,https://open.spotify.com/track/71d7LaAgPcNcUopu3OzmP7
43,"Volcano Man","Will Ferrell",14534,https://open.spotify.com/track/5j5THOJJaBw3NoQy3zo9Py
44,"Bad Energy","Juice WRLD",14402,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
45,"Something Special","Pop Smoke",14270,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
46,"Blueberry Faygo","Lil Mosey",14066,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
47,"Dýrka mest","Jón Jónsson",13718,https://open.spotify.com/track/3vfMqT5RTuUOyPe1ZikJEc
48,"Blood On My Jeans","Juice WRLD",13665,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
49,"Mood Swings (feat. Lil Tjay)","Pop Smoke",13625,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
50,"Rómeó og Júlía","Bubbi Morthens",13219,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl
51,"Aim For The Moon (feat. Quavo)","Pop Smoke",12982,https://open.spotify.com/track/6O7fPYTsb2mY0PiFt2ymDB
52,"44 BullDog","Pop Smoke",12723,https://open.spotify.com/track/7sjFIZ1g5QLJLGja3k592K
53,"Break My Heart","Dua Lipa",12383,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
54,Supalonely,BENEE,12108,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
55,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",12090,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
56,"Fighting Demons","Juice WRLD",11681,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
57,"Stay High","Juice WRLD",11673,https://open.spotify.com/track/1AnkdcHl86kEhDvhaKDuIe
58,"Toosie Slide",Drake,11606,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
59,"Get Back","Pop Smoke",11435,https://open.spotify.com/track/3DWjFSDEQ9IWz1mj449fB7
60,"Don't Start Now","Dua Lipa",11366,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
