,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,30685,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Cadillac,MORGENSHTERN,29775,https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv
3,"Watermelon Sugar","Harry Styles",28223,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
4,"Blinding Lights","The Weeknd",27470,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Roses - Imanbek Remix","SAINt JHN",26438,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"Come & Go (with Marshmello)","Juice WRLD",21672,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
7,"Wishing Well","Juice WRLD",19580,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
8,"Party Girl (Remix)",StaySolidRocky,19101,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
9,"Blueberry Faygo","Lil Mosey",18189,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
10,"Breaking Me",Topic,18052,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"Life's A Mess (feat. Halsey)","Juice WRLD",18016,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
12,"Savage Love (Laxed - Siren Beat)","Jawsh 685",17869,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
13,"ily (i love you baby) (feat. Emilee)","Surf Mesa",17844,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
14,X.O,"The Limba",17780,https://open.spotify.com/track/6o92Z50qYohU4Q03xbMneu
15,GOOBA,6ix9ine,16478,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
16,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,16410,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,Blingi,"Singapūras Satīns",16268,https://open.spotify.com/track/3IaJsKZ2JpGnSIiSfom8Qu
18,"Riņķa deja (Krievu rulete)","rolands če",15765,https://open.spotify.com/track/5rU1mCc3sLXhdJvSQab9VQ
19,"Stunnin' (feat. Harm Franklin)","Curtis Waters",15466,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
20,Righteous,"Juice WRLD",15223,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
21,Conversations,"Juice WRLD",15213,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
22,"Rain On Me (with Ariana Grande)","Lady Gaga",15052,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
23,"Поболело и прошло",HENSY,14725,https://open.spotify.com/track/6PBVlqjvNb26dYZOFKTX51
24,"Toosie Slide",Drake,14615,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
25,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",14015,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
26,"THE SCOTTS","THE SCOTTS",14006,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
27,"Sunday Best",Surfaces,13975,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
28,"The Box","Roddy Ricch",13571,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
29,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",13560,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
30,"After Party","Don Toliver",13519,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
