,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Watermelon Sugar","Harry Styles",40247,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
2,"Blinding Lights","The Weeknd",36827,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Roses - Imanbek Remix","SAINt JHN",30450,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,29789,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",29093,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"TIESIOG NEGALIÚ","OG Version",27926,https://open.spotify.com/track/6evDsE1JN4CqOTuRgV3GqY
7,"Paskambink Man","Saulės Kliošas",27597,https://open.spotify.com/track/25xDvdW2KVCPaC7kCgVNQ3
8,"Breaking Me",Topic,25897,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,HOMÈRIS,"OG Version",25210,https://open.spotify.com/track/1biZYKvwP9aQevsrSWgCBJ
10,"ily (i love you baby) (feat. Emilee)","Surf Mesa",24663,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
11,"Stunnin' (feat. Harm Franklin)","Curtis Waters",23754,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
12,"In Your Eyes","The Weeknd",22078,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
13,"Break My Heart","Dua Lipa",21120,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
14,"KAS IEŠKOJO","OG Version",20551,https://open.spotify.com/track/4B13sgCtwB50n6u1cloCFI
15,"Rain On Me (with Ariana Grande)","Lady Gaga",20209,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
16,"Party Girl (Remix)",StaySolidRocky,19785,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
17,"MANES NEDOMÍNA","OG Version",19071,https://open.spotify.com/track/1c5RRhHqeX3kQsOixGot3B
18,"Come & Go (with Marshmello)","Juice WRLD",18882,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
19,Secrets,Regard,18697,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
20,"NESISUKSI NEGYVENSÍ","OG Version",18637,https://open.spotify.com/track/43idQ1dIaJUdNkOVewCudV
21,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,18560,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"Wishing Well","Juice WRLD",18291,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
23,"Blueberry Faygo","Lil Mosey",17795,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,"Don't Start Now","Dua Lipa",17567,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
25,YES,"OG Version",17306,https://open.spotify.com/track/3SzwwAXlgx8CBinQpVf63F
26,"Toosie Slide",Drake,17172,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
27,Supalonely,BENEE,16697,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
28,"MOTYVACIJOS TIKSLAÍ","OG Version",16690,https://open.spotify.com/track/5euRseUy7mZflvajQQlwVH
29,August,Intelligency,16313,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
30,"SUPLYŠUS ŠIRDIS","OG Version",16301,https://open.spotify.com/track/09yCT4Wpvc1aDgD61ndmrW
31,MAMACITA,"Black Eyed Peas",16266,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
