,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",4994149,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,4235169,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,Azul,"J Balvin",3542843,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
4,"Blinding Lights","The Weeknd",2747650,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,Safaera,"Bad Bunny",2560184,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
6,"Yo Perreo Sola","Bad Bunny",2374939,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
7,Rojo,"J Balvin",2325008,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
8,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",2320071,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
9,"Tak Tiki Tak","Harry Nach",2302871,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
10,Favorito,Camilo,2107634,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
11,Caramelo,Ozuna,2085495,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
12,Jangueo,"Alex Rose",2042369,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
13,"El Efecto","Rauw Alejandro",1909146,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
14,Tú,"Carin Leon",1836553,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
15,"Djadja (feat. Maluma) - Remix","Aya Nakamura",1821242,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
16,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1806319,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
17,"Tattoo - Remix","Rauw Alejandro",1803941,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
18,"Se Me Olvidó","Christian Nodal",1797965,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
19,Tattoo,"Rauw Alejandro",1790027,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
20,Tusa,"KAROL G",1784063,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
21,"Dance Monkey","Tones And I",1742253,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
22,Morado,"J Balvin",1708571,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
23,"Hasta Que Dios Diga","Anuel AA",1694752,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
24,"Pa' Olvidarme De Ella","Piso 21",1630103,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
25,"Sigues Con El","Dímelo Flow",1619994,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
26,"La Mitad",Camilo,1565190,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
27,"Roses - Imanbek Remix","SAINt JHN",1543377,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
28,"Si Veo a Tu Mamá","Bad Bunny",1542712,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
29,"La Difícil","Bad Bunny",1478582,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
30,Amarillo,"J Balvin",1467795,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
31,"LA CANCIÓN","J Balvin",1451824,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
32,"No Me Conoce - Remix","Jhay Cortez",1448076,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
33,"Don't Start Now","Dua Lipa",1443537,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
34,ADMV,Maluma,1405532,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
35,"Amor Tóxico","Christian Nodal",1397969,https://open.spotify.com/track/5LPlvbxA6bJQHvUW12Mr22
36,"Me La Avente","Carin Leon",1382884,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
37,"Break My Heart","Dua Lipa",1377427,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
38,"Hola - Remix",Dalex,1367228,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
39,"La Curiosidad","Jay Wheeler",1364459,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
40,PORFA,Feid,1348744,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
41,"La Santa","Bad Bunny",1333522,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
42,Ignorantes,"Bad Bunny",1321118,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
43,Diosa,"Myke Towers",1320237,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
44,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1317941,https://open.spotify.com/track/4dKY6JFNvj2yWzENIL1P6s
45,"El Mismo Aire - con Pablo Alborán",Camilo,1313053,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
46,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1300999,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
47,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,1300064,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
48,"PA' ROMPERLA","Bad Bunny",1215916,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
49,Singapur,"El Alfa",1196974,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
50,"De Los Besos Que Te Di","Christian Nodal",1159965,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
51,"Con Tus Besos","Eslabon Armado",1148972,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
52,"Watermelon Sugar","Harry Styles",1146879,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
53,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,1140297,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
54,Vete,"Bad Bunny",1139523,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
55,Fantasias,"Rauw Alejandro",1121925,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
56,AYAYAY!,"Christian Nodal",1121488,https://open.spotify.com/track/7iQc2DabEtzp60faOO9EmN
57,MAMACITA,"Black Eyed Peas",1120765,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
58,"CÓMO SE SIENTE - Remix","Jhay Cortez",1099060,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
59,Callaita,"Bad Bunny",1038753,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
60,"Si Me Dices Que Sí",Reik,1010302,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
61,"CANCIÓN CON YANDEL",Yandel,997757,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
62,"Rain On Me (with Ariana Grande)","Lady Gaga",996706,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
63,"Say So","Doja Cat",987639,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
64,"A Tu Merced","Bad Bunny",986955,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
65,"No Te Contaron Mal","Christian Nodal",977733,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
66,"TKN (feat. Travis Scott)",ROSALÍA,969686,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
67,"Aquí Abajo","Christian Nodal",969302,https://open.spotify.com/track/4FmVjrmM6DsBQMsGdc9PDa
68,"Oye Pablo","Danna Paola",967254,https://open.spotify.com/track/6vruVVMkk7YGKzkuIrtOWz
69,"Qué Maldición","Banda MS de Sergio Lizárraga",965022,https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr
70,Negro,"J Balvin",963241,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
71,"Amor A Primera Vista","Los Angeles Azules",951784,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
72,"Si Estuviésemos Juntos","Bad Bunny",939967,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
73,"Palabra de Hombre","El Fantasma",934511,https://open.spotify.com/track/4UiaP0wBuy9N9voD91OZOg
74,China,"Anuel AA",934125,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
75,"RITMO (Bad Boys For Life)","Black Eyed Peas",931186,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc
76,"Sigues Con El - Remix",Arcangel,923726,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
77,Arriba,"Natanael Cano",916615,https://open.spotify.com/track/6MOjqs7ngSnZz3J5GZLAfm
78,"Ahora Te Puedes Marchar","Luis Miguel",913147,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
79,Tutu,Camilo,904383,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
80,Sodio,"Danna Paola",901308,https://open.spotify.com/track/7jYZU1CIruZU3puB5tiYiW
81,PAM,"Justin Quiles",897551,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
82,"Por Primera Vez",Camilo,886878,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
83,"How You Like That",BLACKPINK,878326,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
84,Supalonely,BENEE,876210,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
