,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",32525,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,Relación,Sech,30102,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
3,Safaera,"Bad Bunny",24412,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
4,"Tattoo - Remix","Rauw Alejandro",24154,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
5,Rojo,"J Balvin",23948,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
6,"Yo Perreo Sola","Bad Bunny",23871,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
7,Tattoo,"Rauw Alejandro",22769,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
8,"Tak Tiki Tak","Harry Nach",22195,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
9,"Blinding Lights","The Weeknd",22163,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Favorito,Camilo,20399,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
11,Singapur,"El Alfa",20253,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
12,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,19634,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
13,"La Curiosidad","Jay Wheeler",19625,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
14,"CÓMO SE SIENTE - Remix","Jhay Cortez",18435,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
15,"Djadja (feat. Maluma) - Remix","Aya Nakamura",18191,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
16,"Si Veo a Tu Mamá","Bad Bunny",18127,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
17,"LA CANCIÓN","J Balvin",18008,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
18,Diosa,"Myke Towers",17590,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
19,Tusa,"KAROL G",17501,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
20,Fantasias,"Rauw Alejandro",17121,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
21,Ignorantes,"Bad Bunny",16914,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
22,"La Santa","Bad Bunny",16776,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
23,Azul,"J Balvin",16409,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
24,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",15993,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
25,"Hasta Que Dios Diga","Anuel AA",15850,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
26,"Pa' Olvidarme De Ella","Piso 21",15749,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
27,Amarillo,"J Balvin",15674,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
28,"A Tu Merced","Bad Bunny",15613,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
29,"No Me Conoce - Remix","Jhay Cortez",15487,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
30,"Hola - Remix",Dalex,15429,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
31,Vete,"Bad Bunny",15351,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
32,Jangueo,"Alex Rose",14754,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
33,"Don't Start Now","Dua Lipa",14539,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
34,"Sigues Con El","Dímelo Flow",14336,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
35,"Dance Monkey","Tones And I",14240,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
36,"La Difícil","Bad Bunny",14220,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
