,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",945170,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,Svag,"Victor Leksell",903001,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
3,"Er ikke verre",Bølgen,853635,https://open.spotify.com/track/1onIk6JelFU9LASUyaT3I1
4,"Nå Koser Vi Oss",TIX,702247,https://open.spotify.com/track/6bZHVGx3Qj0zoUUSZjextf
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,668761,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"Watermelon Sugar","Harry Styles",599582,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Blinding Lights","The Weeknd",552454,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,Somebody,Dagny,460762,https://open.spotify.com/track/5ZBKXaiKksaMq07XSnyOQ4
9,"Sykepleierinnen (Sykehuset 2020)","El Papi",460482,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
10,"Breaking Me",Topic,450818,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"Come & Go (with Marshmello)","Juice WRLD",430129,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
12,"Deg Eller Ingenting",TIX,417546,https://open.spotify.com/track/6zSB7W0XzqjlGpuiuuvMQk
13,"Roses - Imanbek Remix","SAINt JHN",412335,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,"Hvis verden","Chris Holsten",409324,https://open.spotify.com/track/3quis1aFmQ0tlDbbq3RPOx
15,FREDAG,"Staysman & Lazz",395093,https://open.spotify.com/track/7CrzOLGSbr4PFi9F9PNcJ4
16,"Lose Somebody",Kygo,380725,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
17,"Dance Dance Dance","Astrid S",368356,https://open.spotify.com/track/3hMgyGBkNb9Ah1rDzlELIK
18,"In Your Eyes","The Weeknd",354153,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,"Kings & Queens","Ava Max",336271,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
20,"Life's A Mess (feat. Halsey)","Juice WRLD",315749,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
21,"Kaller På Deg",TIX,315647,https://open.spotify.com/track/0lnksmEu1sa7t16YwhIP10
22,"Dance Monkey","Tones And I",305632,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,Seriøst,"Morgan Sulele",296163,https://open.spotify.com/track/6nIoVkKodp1UX5rHQvqE5G
24,"Vi tar det igjen neste år",Kuselofte,295773,https://open.spotify.com/track/0xwR5vB4PYsfBgWhTSXpXV
25,"Wishing Well","Juice WRLD",295427,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
26,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,293914,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
27,"ily (i love you baby) (feat. Emilee)","Surf Mesa",289184,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
28,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",273391,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
29,"Party Girl (Remix)",StaySolidRocky,265681,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
30,Salt,"Ava Max",264183,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
31,"Rain On Me (with Ariana Grande)","Lady Gaga",263099,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
32,Midsommarnatt,"El Papi",260560,https://open.spotify.com/track/46SPeM6PH7euQbb1npKzwY
33,"Someone You Loved","Lewis Capaldi",256550,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
