,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",421503,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
2,"La Curiosidad","Jay Wheeler",342049,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
3,Relación,Sech,300337,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
4,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",259427,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
5,"Tak Tiki Tak","Harry Nach",245954,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
6,Rojo,"J Balvin",216682,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
7,"Hasta Que Dios Diga","Anuel AA",214033,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
8,Inolvidable,"Ovy On The Drums",204445,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
9,"CANCIÓN CON YANDEL",Yandel,188762,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
10,Caramelo,Ozuna,183410,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
11,"CÓMO SE SIENTE - Remix","Jhay Cortez",182780,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
12,PORFA,Feid,178108,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
13,"Quiéreme Mientras Se Pueda","Manuel Turizo",167171,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
14,Tattoo,"Rauw Alejandro",153239,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
15,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,149181,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
16,"Dream Girl - Remix","Ir Sais",148701,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
17,+Linda,Dalex,142103,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
18,Diosa,"Myke Towers",140603,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
19,Ignorantes,"Bad Bunny",138318,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
20,"Hola - Remix",Dalex,130474,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
21,Jangueo,"Alex Rose",128890,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
22,Azul,"J Balvin",125964,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
23,"Djadja (feat. Maluma) - Remix","Aya Nakamura",124934,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
24,"Tattoo - Remix","Rauw Alejandro",123211,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
25,"El Efecto - Remix","Rauw Alejandro",123034,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
26,Favorito,Camilo,117559,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
27,Safaera,"Bad Bunny",117502,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
28,"Yo Perreo Sola","Bad Bunny",109223,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
29,"Sigues Con El","Dímelo Flow",106728,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
30,"Loco - Remix",Farruko,104515,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
31,"La Difícil","Bad Bunny",97587,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
32,"Sigues Con El - Remix",Arcangel,96788,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
33,Mejor,Dalex,96749,https://open.spotify.com/track/6C1jKbkCUgFws7M0M4oGCB
34,"BYE ME FUI","Bad Bunny",96654,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
35,Locura,"Cali Y El Dandee",92505,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
36,"Bellaquita - Remix",Dalex,91602,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
37,Reggaetonera,"Anuel AA",89079,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
38,"Si Veo a Tu Mamá","Bad Bunny",87840,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
39,Fantasias,"Rauw Alejandro",87553,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
40,Follow,"KAROL G",86250,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
41,"Blinding Lights","The Weeknd",83754,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
42,"La Cama - Remix",Lunay,82381,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9
43,Amarillo,"J Balvin",79461,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
44,Vete,"Bad Bunny",77818,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
