,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"TKN (feat. Travis Scott)",ROSALÍA,74871,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,68347,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",64568,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Go Gettas",andrei,63236,https://open.spotify.com/track/6GiTUiS0A8ORsZesaOSwj2
5,"Blinding Lights","The Weeknd",57652,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Savage Love (Laxed - Siren Beat)","Jawsh 685",57351,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,"Gang În Sus",Nane,50666,https://open.spotify.com/track/131QzZD2qg9fE0nxJSWZAT
8,"Breaking Me",Topic,48226,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"THE SCOTTS","THE SCOTTS",47134,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
10,"HIGHEST IN THE ROOM","Travis Scott",46838,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
11,"TROLLZ (with Nicki Minaj)",6ix9ine,46183,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
12,"Come & Go (with Marshmello)","Juice WRLD",45787,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
13,"Watermelon Sugar","Harry Styles",45486,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"Party Girl (Remix)",StaySolidRocky,45471,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
15,"Blueberry Faygo","Lil Mosey",44084,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"Toosie Slide",Drake,43409,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
17,"La Saltea",Nane,42946,https://open.spotify.com/track/6kJ1HOABHo08AMYp3PDj9d
18,"Juma' de Mil",Nane,42836,https://open.spotify.com/track/2avy9NT26odQTHXzdfmsVp
19,"Jale - Djeale Romanian Remix",Jador,42622,https://open.spotify.com/track/3WV0ujoWqeaETjbUtX7svc
20,goosebumps,"Travis Scott",42597,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
21,Asfalt,Nane,41512,https://open.spotify.com/track/53nmFVEoiKcBTDPdYEsw6F
22,"Miami Bici","Killa Fonic",40540,https://open.spotify.com/track/3x36ydx3x5LtlQLQUESjtl
23,GOOBA,6ix9ine,40205,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
24,"Life's A Mess (feat. Halsey)","Juice WRLD",39086,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
25,"N-O Poți Controla",Nane,38450,https://open.spotify.com/track/0yqEQgjQ8NGsrJpfPnevBE
26,"The Box","Roddy Ricch",38123,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
27,Conversations,"Juice WRLD",37637,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
28,"Wishing Well","Juice WRLD",37560,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
29,Stai,"Killa Fonic",37467,https://open.spotify.com/track/6PPU2L6XRr9njn7GnLkAT7
30,"Tată De Zahăr",Nane,36904,https://open.spotify.com/track/3FJ6Bgw7r31lhJxXLiZoaX
31,"SICKO MODE","Travis Scott",36270,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
32,Dior,"Marko Glass",36212,https://open.spotify.com/track/2uYtcnrTxmHcH98YLAOOWh
33,"Pala Mande",Azteca,35599,https://open.spotify.com/track/4li3bu2BbCyLJVrXIJnkgg
34,Supermort,Nane,35591,https://open.spotify.com/track/13pEH6RHjXFEOOaLY9UCvZ
35,Fluture,Nane,35450,https://open.spotify.com/track/7fQDfMu75I2Ch7SZVmS3Cp
36,"Dragostea Ta",Nane,35089,https://open.spotify.com/track/2ZhMraqx6eOMFMb9gtzkCj
37,Mili,Ian,34970,https://open.spotify.com/track/04cqASbER6wLs0me9FszxL
38,"60 De Zile",Ian,34930,https://open.spotify.com/track/5ymFsfuMVDuG43ksIqCohv
39,"Life Is Good (feat. Drake)",Future,34395,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
40,YAYA,6ix9ine,33716,https://open.spotify.com/track/6EfBMJQwe2xLgldra6DaYp
41,"ily (i love you baby) (feat. Emilee)","Surf Mesa",32725,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
