,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,477259,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",241472,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Stuck with U (with Justin Bieber)","Ariana Grande",207234,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
4,"Be Kind (with Halsey)",Marshmello,182753,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
5,Monster,"Red Velvet - IRENE & SEULGI",164638,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
6,"Someone You Loved","Lewis Capaldi",162700,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,"Blinding Lights","The Weeknd",157546,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"Before You Go","Lewis Capaldi",153769,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
9,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,143256,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
10,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,139689,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
11,"Play Date","Melanie Martinez",135695,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
12,Maria,"Hwa Sa",135081,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
13,"ily (i love you baby) (feat. Emilee)","Surf Mesa",133969,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
14,"eight(Prod.&Feat. SUGA of BTS)",IU,133568,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
15,Memories,"Maroon 5",131789,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,"Intentions (feat. Quavo)","Justin Bieber",129556,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
17,"you broke me first","Tate McRae",127008,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"Rain On Me (with Ariana Grande)","Lady Gaga",123400,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
19,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,120894,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
20,Mariposa,"Peach Tree Rascals",120830,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
21,"Watermelon Sugar","Harry Styles",119827,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
22,怎麼了,"Eric Chou",117887,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
23,"Party Girl (Remix)",StaySolidRocky,113183,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
24,"Don't Start Now","Dua Lipa",113092,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
25,"Dance Monkey","Tones And I",113073,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,"pporappippam 보라빛 밤",SUNMI,113030,https://open.spotify.com/track/7oQh96s9YemWG3A4zkIbrU
27,"Come & Go (with Marshmello)","Juice WRLD",112870,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
28,說好不哭,"Jay Chou",112594,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
29,"Roses - Imanbek Remix","SAINt JHN",112423,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
30,"Sour Candy (with BLACKPINK)","Lady Gaga",110714,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
31,"MORE & MORE",TWICE,109795,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
32,"If the World Was Ending - feat. Julia Michaels","JP Saxe",108420,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
