,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Caramelo,Ozuna,3410019,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
2,"La Jeepeta - Remix","Nio Garcia",2850528,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
3,"La Curiosidad","Jay Wheeler",2652715,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
4,"El Manual","Anuel AA",2610843,https://open.spotify.com/track/7kOf0qHO4Rcwk6QJifZDRJ
5,"Carita de Inocente (feat. Myke Towers) - Remix","Prince Royce",2441082,https://open.spotify.com/track/5kQre7o8ky5DXeEPcyaCR1
6,"Hasta Que Dios Diga","Anuel AA",2214277,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
7,"Djadja (feat. Maluma) - Remix","Aya Nakamura",2159082,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
8,Relación,Sech,2132904,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
9,Fabuloso,Sech,2056328,https://open.spotify.com/track/3cg2Y9mIiYNdcPTLKaQgK3
10,"Pa toda la vida (feat. Mozart La Para)","Don Patricio",2042118,https://open.spotify.com/track/6DDb7XRNUzeHmSoTbw5nmm
11,PAM,"Justin Quiles",1925101,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
12,"Sur y Norte","Nengo Flow",1912098,https://open.spotify.com/track/2uy5wXDZQcdd89PvDBSfyy
13,"Mil Tequilas","Chema Rivas",1674271,https://open.spotify.com/track/0qvfIq8RsH3sOZk9JIuUhn
14,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,1640129,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
15,Flamenkito,Lérica,1597992,https://open.spotify.com/track/4fsj5oMLYrCUlTDs4P9qw5
16,"Tattoo - Remix","Rauw Alejandro",1489878,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
17,"CÓMO SE SIENTE - Remix","Jhay Cortez",1477799,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
18,Favorito,Camilo,1413529,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
19,"TKN (feat. Travis Scott)",ROSALÍA,1412319,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
20,Jangueo,"Anuel AA",1408363,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
21,"4 besos","Lola Indigo",1364785,https://open.spotify.com/track/49QwoSLuV69Fd8bwTqdZvs
22,Reggaetonera,"Anuel AA",1295879,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
23,"Se iluminaba","Fred De Palma",1284107,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
24,Tusa,"KAROL G",1247766,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,"Hola, Nena (feat. Omar Montes)","Nyno Vargas",1210819,https://open.spotify.com/track/2EAwcFW9NeuhnZ0q5aYhFL
26,Narcos,"Anuel AA",1158779,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
27,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1128354,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
28,Amarillo,"J Balvin",1117126,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
29,"Nunca Estoy","C. Tangana",1066378,https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
30,"Fútbol & Rumba (feat. Enrique Iglesias)","Anuel AA",1062849,https://open.spotify.com/track/2hDe0Ls5mVqs1XJqv7sbcM
31,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1054488,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
32,"Blinding Lights","The Weeknd",1031916,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"Sola & Vacía","Casper Magico",1021835,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
34,"El Efecto","Rauw Alejandro",1013981,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
35,"Una Mala (Remix)","El Completo Rd",1011571,https://open.spotify.com/track/2maGaB3fNqQnyrG3FDiaW3
36,MAMACITA,"Black Eyed Peas",996271,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
37,"La Popi","Kiko el Crazy",992301,https://open.spotify.com/track/2WlmR4N8xSxDG3Adz8Wd2k
38,"El Mismo Aire - con Pablo Alborán",Camilo,952362,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
39,"BAD CON NICKY","Bad Bunny",945711,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
40,"PA' ROMPERLA","Bad Bunny",943541,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
41,Safaera,"Bad Bunny",938959,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
42,"Prendio (Remix)",Rvfv,917175,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
43,"Tak Tiki Tak","Harry Nach",896048,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
44,Singapur,"El Alfa",894964,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
45,Rojo,"J Balvin",866088,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
