,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",368770,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,351184,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,Bläulich,"Apache 207",295783,https://open.spotify.com/track/57tck8MCxkY6tcQC6VhahR
4,"Blinding Lights","The Weeknd",239324,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Roses - Imanbek Remix","SAINt JHN",216176,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"Tiefschwarz (feat. Samra)","Kontra K",205392,https://open.spotify.com/track/7bDSLyTjZ1VjU5kPHTL3Ko
7,"GEH DEIN WEG (feat. Loredana)","KC Rebell",200272,https://open.spotify.com/track/3yFmG1luaLjuHWI6BGmwxJ
8,"Breaking Me",Topic,198407,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,MAMACITA,"Black Eyed Peas",193582,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
10,"TKN (feat. Travis Scott)",ROSALÍA,180380,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
11,"Watermelon Sugar","Harry Styles",178234,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"Dance Monkey","Tones And I",167530,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Sin City",Azet,163625,https://open.spotify.com/track/1NIZfoTuiAHIm9VUAwsPZy
14,"ily (i love you baby) (feat. Emilee)","Surf Mesa",158104,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
15,"Never Let Me Down",VIZE,155920,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
16,"Kings & Queens","Ava Max",154423,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
17,Malli,Kidda,151027,https://open.spotify.com/track/126jIHe1uzahC3EsuNvGrJ
18,Airwaves,Pashanim,147584,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
19,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",138471,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
20,"Come & Go (with Marshmello)","Juice WRLD",134996,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
21,"Party Girl (Remix)",StaySolidRocky,131787,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
22,XXL,"Miksu / Macloud",129529,https://open.spotify.com/track/0p3euGPg5LgFeQGC7bBFuR
23,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",126254,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
24,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,124528,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
25,Alane,"Robin Schulz",124504,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
26,"Toosie Slide",Drake,119608,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
27,Tusa,"KAROL G",116068,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
28,"Lose Somebody",Kygo,109909,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
29,"Rain On Me (with Ariana Grande)","Lady Gaga",109128,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
30,Dior,"Pop Smoke",106223,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
31,Control,"Zoe Wees",104991,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
32,Paranoia,Kida,102010,https://open.spotify.com/track/4s2CP7w2vGirDQUVNiB5hC
33,"Nacht zu kurz",Luciano,101484,https://open.spotify.com/track/6rc0vqoHYtF1J79fsIo9ia
34,GOOBA,6ix9ine,101185,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
35,"Life's A Mess (feat. Halsey)","Juice WRLD",100690,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
36,"Big Body Benz","Bonez MC",99841,https://open.spotify.com/track/2WOJ7D52Ng3myrKlEf4Azj
37,Panorama,"Ardian Bujupi",99081,https://open.spotify.com/track/4XBUenjR9pWDFtM9dSckEa
38,Salt,"Ava Max",98977,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
39,Roller,"Apache 207",98950,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
40,"Wishing Well","Juice WRLD",98143,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
41,"Ich weiß nicht mal wie sie heißt","Capital Bra",97929,https://open.spotify.com/track/4KfL3Ne8bc9bC2PUB8QGwA
42,"Someone You Loved","Lewis Capaldi",97830,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,"In Your Eyes (feat. Alida)","Robin Schulz",97034,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
44,Caramelo,Ozuna,94107,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
45,Conversations,"Juice WRLD",93146,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
46,"Djomb - Bien ou quoi",Bosh,91471,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
47,Fame,"Apache 207",91414,https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT
48,"Break My Heart","Dua Lipa",91244,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
49,"Blueberry Faygo","Lil Mosey",91161,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
50,"Got It On Me","Pop Smoke",90805,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
51,"Djadja (feat. Maluma) - Remix","Aya Nakamura",89017,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
52,"Don't Start Now","Dua Lipa",88409,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
53,Lovefool,twocolors,87405,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
54,Angela,Hatik,86358,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
55,Boot,"Apache 207",85747,https://open.spotify.com/track/0rqY8g1Y1zaA4YwU6vhBQg
56,Supalonely,BENEE,85695,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
57,Fingertips,"Tom Gregory",84629,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
58,"Cooler Than Me","Lucky Luke",84310,https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
59,"Before You Go","Lewis Capaldi",84212,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
60,"Ride It",Regard,83824,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
61,"Emotions 2.0",Ufo361,81514,https://open.spotify.com/track/3yZCjDTxzZxx1kll1sRjGc
62,"THE SCOTTS","THE SCOTTS",78780,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
63,"In meinem Benz","AK AUSSERKONTROLLE",78247,https://open.spotify.com/track/6BXyD6UUPizpRpA7iOi99r
64,"The Box","Roddy Ricch",77199,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
65,YAYA,6ix9ine,76977,https://open.spotify.com/track/6EfBMJQwe2xLgldra6DaYp
66,Unbekannt,Bozza,76801,https://open.spotify.com/track/0iqichhGnbEy9w6p4sytpW
67,"Grand bain",Dadju,76142,https://open.spotify.com/track/1fyVvRQsa095P7QK5Um7xH
68,"HIGHEST IN THE ROOM","Travis Scott",75481,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
69,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,74905,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
70,Señorita,"Shawn Mendes",74874,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
71,Pishmon,Kida,74375,https://open.spotify.com/track/1SvwZIPTBCvm0aghae0YFH
72,Gangstas,"Pop Smoke",73575,https://open.spotify.com/track/1hg3RlqFZXJb5YgRoK9qmF
73,Übermorgen,"Mark Forster",72431,https://open.spotify.com/track/1NP7bzm8UksJUWXsuFoOwE
74,goosebumps,"Travis Scott",71422,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
75,"Don't Rush (feat. Headie One)","Young T & Bugsey",69228,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
76,Righteous,"Juice WRLD",68852,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
77,"Sunday Best",Surfaces,68672,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
78,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",67626,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
79,"Some Say - Felix Jaehn Remix",Nea,67437,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
80,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",66927,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
81,"In Your Eyes","The Weeknd",66582,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
82,Shallow,"Lady Gaga",65171,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
83,Roadrunner,"Bonez MC",64955,https://open.spotify.com/track/0BwO44CBPFWxAIO5ZbPf3N
84,Together,Sia,63862,https://open.spotify.com/track/5id3Rqn7SPj1LX4FfY4nGz
85,"Some Say",Nea,63717,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
