,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,608430,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"คิด(แต่ไม่)ถึง (Same Page?)","Tilly Birds",491410,https://open.spotify.com/track/4Cg2XGrrrczeZRPOnlAG67
3,"ลบไม่ได้ช่วยให้ลืม (Erase)","Ink Waruntorn",485253,https://open.spotify.com/track/5AMYykC6sdveY7NfwHNUm4
4,นิโคติน,Mirrr,422557,https://open.spotify.com/track/6R9YzJHkfYoN6PianPhTdB
5,ฝันถึงแฟนเก่า,"Three Man Down",407567,https://open.spotify.com/track/1PnEuhdX2pFIQUAESQB4wm
6,ฝนตกไหม,"Three Man Down",402142,https://open.spotify.com/track/1ccwCCS7YSclzYibpK0DS4
7,วาฬเกยตื้น,GUNGUN,358017,https://open.spotify.com/track/6LQf6ErCI7vw7KGKRP11zP
8,"จำเก่ง (Slipped Your Mind)",F.HERO,341600,https://open.spotify.com/track/1iK2nyld8wTLJv2dRIowSY
9,หรือฉันคิดไปเอง,Zommarie,323995,https://open.spotify.com/track/3EMXuZ7n0lgQSNSsVk5d3n
10,Monster,"Red Velvet - IRENE & SEULGI",322316,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
11,ลงใจ,BOWKYLION,320297,https://open.spotify.com/track/3JvbGjNcSnAhNemVyvXqci
12,คงคา,BOWKYLION,293929,https://open.spotify.com/track/5umkeJySqBIhm2uYGjidMT
13,คนเราจะแอบรักใครสักคนได้นานแค่ไหน,Rooftop,265115,https://open.spotify.com/track/3IPtnAYykrWz9EPjPWx2D7
14,ใกล้,Scrubb,258809,https://open.spotify.com/track/4r3UvwePMdXPJrqFautgTq
15,"แอบดี (How to live without you)",Stamp,254640,https://open.spotify.com/track/1wl5vs3SCMPpHTIR8IW8nJ
16,ยิ่งใกล้ยิ่งไม่รู้จัก,"Wan Thanakrit",252641,https://open.spotify.com/track/2opZpuOcnBYJbfqm2IJIMU
17,คิดถึงแต่,BOWKYLION,245377,https://open.spotify.com/track/6d3b5akoUqISvcGAdZwA7x
18,"มันดีกว่าที่คิด (จาก ""ละคร อกเกือบหักแอบรักคุณสามี"")","Singto Numchok",228109,https://open.spotify.com/track/3U2vJ9B0vutk3kLqLGkvQn
19,"Stuck with U (with Justin Bieber)","Ariana Grande",222709,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
20,ภาวนา,MEYOU,218807,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v
21,"A Rocket to the Moon","Gavin D",217107,https://open.spotify.com/track/4Tp1SRCTJ6LO8XA3i9vuAT
22,"Best Part (feat. Daniel Caesar)",H.E.R.,214668,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
23,"Blueberry Faygo","Lil Mosey",212283,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,เลือกคนที่เขารักเรา,"Three Man Down",209076,https://open.spotify.com/track/6IitkM7xiuKhDXzshXUnRa
25,"หวง (You're Mine)","Earth Patravee",207332,https://open.spotify.com/track/5t2958ghc1UIUovv1pqMl3
26,"เมษา (MAYSA) feat. BLACKSHEEP","fellow fellow",204960,https://open.spotify.com/track/3bxGTdVHjBjlSOjRDH9a4f
27,รางวัลปลอบใจ,Zommarie,200760,https://open.spotify.com/track/1kX8eeTe8JSQPj1dQ9MTFa
28,"คั่นกู - เพลงประกอบซีรีส์ เพราะเราคู่กัน","ไบร์ท วชิรวิชญ์",200173,https://open.spotify.com/track/2ZGgIXaoierTsnkrDzuBzY
29,กอดในใจ,Billkin,197449,https://open.spotify.com/track/5f2KxK16ijFLqMoqFN2qkK
30,รักให้ตาย,KLEAR,194775,https://open.spotify.com/track/2BMguPRp3o79qdGSQM2boN
31,โลกอีกใบ,Zommarie,192806,https://open.spotify.com/track/223yV6KG3jJqgEPzHw1XWj
32,ถ้าฉันเป็นเขา,Indigo,185491,https://open.spotify.com/track/7adzBs69Rjtj6194UZRWfm
33,"ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ","The Toys",184585,https://open.spotify.com/track/438m0u7h7miwjCdCdDCl9W
34,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,181145,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
35,"ดี๊ดี (UNEXPECTED)",JAYLERR,177708,https://open.spotify.com/track/4KP9dagbB3Da9jnpfIEG7P
36,เจ็บจนพอ,Wanyai,176645,https://open.spotify.com/track/4prGMvYxnXPsG7xueL4Gc8
37,แค่นี้...พอ,"The Parkinson",175068,https://open.spotify.com/track/41TfjScHItR0d1k1N9tSr6
38,"I’d Do It Again","Violette Wautier",172531,https://open.spotify.com/track/5A8ysv0c3aUkij0ojFlZZM
39,"Sour Candy (with BLACKPINK)","Lady Gaga",170151,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
40,"eight(Prod.&Feat. SUGA of BTS)",IU,169716,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
41,ดีลีต,"fellow fellow",165607,https://open.spotify.com/track/0X47KcCogWmswxusK1TWHe
42,รักได้ป่าว,"Gavin D",165319,https://open.spotify.com/track/5j9eyp0YnOKzAjQyXXXSeb
43,หัวหิน,Wanyai,165146,https://open.spotify.com/track/1kUwlk4SqvLEjOk8yFPtUe
44,"Intentions (feat. Quavo)","Justin Bieber",162145,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
45,ทุกอย่าง,Scrubb,160381,https://open.spotify.com/track/4BoGFJUkeQ67PvkIfHhT65
46,"MORE & MORE",TWICE,158281,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
47,คำตอบ,Safeplanet,157619,https://open.spotify.com/track/1lD1Pjy7rNDOny7nFqmUHJ
48,"นี่ฉันเอง feat. KOB FLAT BOY",Lipta,152965,https://open.spotify.com/track/1A9I1bdZX61vE5cTaNOz2x
49,พอเถอะ,MEAN,146774,https://open.spotify.com/track/78SisrpqN9rYxNwFbpQ7JX
50,"no song without you",HONNE,136948,https://open.spotify.com/track/1lNHWPDvKEbamKezpLq7HW
51,เวลาเธอยิ้ม,Polycat,124415,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6
52,พัง,Indigo,123668,https://open.spotify.com/track/4roAXYtyMDQfv9Vz1CPWqg
53,Psycho,"Red Velvet",121628,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
54,"Rain On Me (with Ariana Grande)","Lady Gaga",115152,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
55,"Savage Love (Laxed - Siren Beat)","Jawsh 685",115054,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
56,แก้มน้องนางนั้นแดงกว่าใคร,เขียนไขและวานิช,114718,https://open.spotify.com/track/15zvOBuL1QbkL7bvudg2p5
57,ไปได้ดี,Wanyai,111839,https://open.spotify.com/track/2qlfZhBPWq5FH3FwlZKGws
58,"comethru (bonus track)","Jeremy Zucker",111421,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
59,"Someone You Loved","Lewis Capaldi",110945,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
60,"แพ้ทุกที (LOOPER)","fellow fellow",108676,https://open.spotify.com/track/1OCWm66r2PwI8RsspEMfzD
61,ดีใจด้วยนะ(Glad),"Ink Waruntorn",107957,https://open.spotify.com/track/0rvNW2zfoFqdz7jHw3VqSQ
62,"Say So","Doja Cat",107548,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
63,"ลืมไป (feat. ปู่จ๋าน ลองไมค์)",Wanyai,107118,https://open.spotify.com/track/4XqtyE2i3U1z2rMVcgnYX6
64,"ผ่านตา (Everyday)","Three Man Down",105067,https://open.spotify.com/track/7HA6Jhuis4khuPJffFGM7Y
65,ลืมได้แล้ว,O-Pavee,102332,https://open.spotify.com/track/5OB2XiDmrwQFJFyqVVWtLm
66,รอยยิ้ม,Scrubb,100977,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX
67,"ฉันเป็นทะเล (ไม่ใช่เขา)","p n v .",100667,https://open.spotify.com/track/4zvpnvtc2IYE3EMQau3vIH
68,ความคิดถึงที่ฉันได้เคยส่งไปในคืนที่ฝนโปรยลงมา,"Three Man Down X Tilly Birds",100646,https://open.spotify.com/track/7lASn6bIrDOaGODj6k0vJ5
69,เจ็บไม่จำ,O-Pavee,97292,https://open.spotify.com/track/4XGKYVsklvtRYtq4LfYUrr
70,"Strawberries & Cigarettes","Troye Sivan",93217,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
71,Candy,BAEKHYUN,91759,https://open.spotify.com/track/6kKC35sKUh2FUx4M0qAL44
72,เมื่อคืน,"Season Five",91338,https://open.spotify.com/track/0OBPjif46Jbz7c4xIqiBEw
73,Supalonely,BENEE,90706,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
74,"Stay Gold",BTS,90602,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
75,Telephone,EXO-SC,90148,https://open.spotify.com/track/6ksOaijLwaSWTVRtPgakt0
76,"I Like Me Better",Lauv,89237,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
77,ใจเดียว,"Whal & Dolph",89072,https://open.spotify.com/track/4OZjDh3pxthm3Ig9Fs7C7N
78,เหมาะสม,MEAN,88448,https://open.spotify.com/track/6VlXd5f2602XO4tDaNOveo
79,"Keep Cold",Numcha,88263,https://open.spotify.com/track/3IgTrdtmSqAWsFmXTEftOv
80,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,87224,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
81,"Be Kind (with Halsey)",Marshmello,86529,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
82,ความสุขของเธอ,MEAN,84709,https://open.spotify.com/track/2cqjhnMI6m22cqcD1GUSTZ
83,Maria,"Hwa Sa",84584,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
84,"Don't Start Now","Dua Lipa",83220,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
85,"Blinding Lights","The Weeknd",82994,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
86,Señorita,"Shawn Mendes",82764,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
87,Smoke,"Violette Wautier",81666,https://open.spotify.com/track/4Mb7vil19ATU0cCZoBbjGE
88,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",81506,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
89,ดึกแล้วอย่าเพิ่งกลับ,Jaonaay,80017,https://open.spotify.com/track/7nVTeSpry1cMbgyCmSd1ae
90,WANNABE,ITZY,79551,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
91,Memories,"Maroon 5",79336,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
92,"Boy With Luv (feat. Halsey)",BTS,77962,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
93,"if this is the last time",LANY,76867,https://open.spotify.com/track/2ccNaerby1wXA993dY6XsR
