,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kendime Sardım","Oğuzhan Koç",1112481,https://open.spotify.com/track/42HO3JtyoWWPC7mgReWRL8
2,"Made In Turkey",Murda,962648,https://open.spotify.com/track/51ki923zENBmF9EnT3nMon
3,"Her Mevsim Yazım","Zeynep Bastık",955874,https://open.spotify.com/track/1JapaGk1R2sTBTgqJB4J9f
4,"Bi Sonraki Hayatımda Gel",Murda,912946,https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc
5,"Cennetten Çiçek",Zehra,876899,https://open.spotify.com/track/1tG2tayO1fSit9AvxepXf6
6,"Aykız - Remix",Reynmen,821930,https://open.spotify.com/track/4eLNkho7geeOANyYDbPh3s
7,Siyah,Patron,784259,https://open.spotify.com/track/7JsCNbqn3zbL7mrsSlY3L2
8,"Unutulacak Dünler",Gazapizm,707163,https://open.spotify.com/track/3aXTeIVnDvo2MT1xLTdGK3
9,"NAPIYON LAN",Murda,631652,https://open.spotify.com/track/42grBspOHbj3eWZTXV8TK2
10,"Yana Yana","Veysel Mutlu",618697,https://open.spotify.com/track/1QbsDETzBpyj167mwUcPh9
11,"Roses - Imanbek Remix","SAINt JHN",598095,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Salına Salına",Velet,594618,https://open.spotify.com/track/38pi1wskaJvgdR27JT1Ooe
13,AYA,Murda,550664,https://open.spotify.com/track/4IJEw3fDvS6XF4sDc3bvjK
14,"Sağı Solu Kes",Gazapizm,548116,https://open.spotify.com/track/5GBbUx3eAHDgoOvdcpFObI
15,"Kazılı Kuyum","Yüzyüzeyken Konuşuruz",530190,https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
16,Kalmam,"Ebru Yaşar",526042,https://open.spotify.com/track/5dCXnMbtn7Uzb4lHolYUPd
17,"Konu Kilit","Norm Ender",512015,https://open.spotify.com/track/2R0W3yzaYLWOz1pDzUpgkh
18,"Işıklarım Ol - 2.0",BEGE,511486,https://open.spotify.com/track/3sfBMNPtm0SixR76Njzxep
19,"Uslanmıyor Bu","Zeynep Bastık",505913,https://open.spotify.com/track/24BvlSG2Y36Heg1dwLwHtu
20,Yağmurlar,"Anıl Piyancı",502689,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
21,"Ben De Yoluma Giderim","Sezen Aksu",501869,https://open.spotify.com/track/0YGzausz5cMhQDiJj1RQuv
22,"Bu Benim Masalım","Aleyna Tilki",493538,https://open.spotify.com/track/6jNHiVhct3BhcAwzOYKE0N
23,"Eskisi Gibi","Lil Zey",492351,https://open.spotify.com/track/44a3EWRqHiOJEGzWgaX8dd
24,Ölümüne,"Soner Sarıkabadayı",471015,https://open.spotify.com/track/7jeAbZgQ2eD6N3mDB3F2Im
25,"ALEV ALEV",Zen-G,462484,https://open.spotify.com/track/2uOLubhbj02hnelPTNRZvV
26,"Kırgınım Ona",Berkay,452074,https://open.spotify.com/track/3Qr2MPYt9lk0xiZD2x5J8N
27,Djadja,"Aya Nakamura",446702,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
28,Spacejump,BEGE,443836,https://open.spotify.com/track/6AP6D6ugyapF4aysoA008a
29,Leila,Reynmen,443139,https://open.spotify.com/track/1RqNAiL2toZ59HTjQbFLfM
