,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bigcityboi (feat. Touliver)",Binz,407040,https://open.spotify.com/track/3sV8ExJeOGXbanczafavZv
2,"CÓ CHẮC YÊU LÀ ĐÂY","Sơn Tùng M-TP",406562,https://open.spotify.com/track/2z9iLlNBt1aLZUCFgXby97
3,"How You Like That",BLACKPINK,272875,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
4,"từ chối nhẹ nhàng thôi","Bich Phuong",193127,https://open.spotify.com/track/6B1Io9VDzMAmwFjrplDJw8
5,"Một Cú Lừa","Bich Phuong",175286,https://open.spotify.com/track/2LKI0fGEKR3RWAiY2jqq8k
6,"em bỏ hút thuốc chưa?","Bich Phuong",151249,https://open.spotify.com/track/2IDZxVWQypWxYIP6wqDzGN
7,"Cứ Chill Thôi",Chillies,131756,https://open.spotify.com/track/014DA3BdnmD3kI5pBogH7c
8,"Hoa Nở Không Màu","Hoài Lâm",130276,https://open.spotify.com/track/2dEpaH5nsfnzU61LQ9rJuH
9,Mascara,Chillies,129707,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl
10,"Buồn Thì Cứ Khóc Đi","Lynk Lee",123425,https://open.spotify.com/track/6iXGivPFpsqKmrINhIbPvx
11,"Ke Cap Gap Ba Gia (feat. BINZ)","Hoang Thuy Linh",118620,https://open.spotify.com/track/3HJ0EW4kd9S1NRCm039Fsk
12,"yêu thì yêu không yêu thì yêu",AMEE,115010,https://open.spotify.com/track/79xFFmGKtEyky0I2G9U9Jg
13,"Play Date","Melanie Martinez",109630,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
14,Monster,"Red Velvet - IRENE & SEULGI",104305,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
15,"Vùng Ký Ức",Chillies,99316,https://open.spotify.com/track/1503Da6qbgNifRnRwIjtZe
16,"Lối Nhỏ",Đen,97821,https://open.spotify.com/track/22F7P7QnaVspdf5rKveBaS
17,"Bài Này Chill Phết",Đen,93628,https://open.spotify.com/track/2AiZm17zqkV7llT3SHz4Nu
18,"Thanh Xuan","Da LAB",91792,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5
19,"Muốn Nói Với Em","T Team",91234,https://open.spotify.com/track/1HDrKXya87GMQfAGPlqNS9
20,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,90213,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Hãy Trao Cho Anh","Sơn Tùng M-TP",80262,https://open.spotify.com/track/0f5yQttJS5nNxRAleF4kZO
22,"Sour Candy (with BLACKPINK)","Lady Gaga",79374,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
23,"Có Em Đời Bỗng Vui",Chillies,78194,https://open.spotify.com/track/696w9BHmEY62myVCSDyrYW
24,"Stay Gold",BTS,74551,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
25,"Và Thế Là Hết",Chillies,73250,https://open.spotify.com/track/0Bk064jKjWtfdOD8UkcImR
26,"Một Giấc Mơ (feat. Kimmese)",Vũ.,73138,https://open.spotify.com/track/1CIR7UAbM5j9hcThZS8Dkz
27,"Duyen Am","Hoang Thuy Linh",70252,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS
28,"Savage Love (Laxed - Siren Beat)","Jawsh 685",70079,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
29,"Someone You Loved","Lewis Capaldi",69357,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"Lạ Lùng",Vũ.,66598,https://open.spotify.com/track/5Bti0azlFhMattVY76qFr9
31,"Mượn Rượu Tỏ Tình",BigDaddy,66454,https://open.spotify.com/track/3TXSdTpaqKBpWyUG3aJ3LK
32,Memories,"Maroon 5",66355,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
33,"ex's hate me, Pt. 2",AMEE,66168,https://open.spotify.com/track/0Rx4GFPy8ISxPhRwkjl64b
34,"Intentions (feat. Quavo)","Justin Bieber",63659,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
35,"Em Không Sai, Chúng Ta Sai",ERIK,62459,https://open.spotify.com/track/3yWacnoBnM0lrzLmXAk44d
36,Señorita,"Shawn Mendes",62385,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,"Có Chàng Trai Viết Lên Cây","Phan Mạnh Quỳnh",60994,https://open.spotify.com/track/1U8bwOTAtnqlWMCn1mwYyj
38,"ily (i love you baby) (feat. Emilee)","Surf Mesa",60560,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
39,"LẦN CUỐI (đi bên em xót xa người ơi)",Ngọt,60270,https://open.spotify.com/track/7AzGrpsT9kTI6OUdMXlHWe
40,"Ngày Tận Thế","Tóc Tiên",59205,https://open.spotify.com/track/5Nd0com2T4rHRZO2YFwD2n
41,"Cần Gì Hơn","Tien Tien",59179,https://open.spotify.com/track/4bCuBkeVRofawnFkGu05fu
42,"Stuck with U (with Justin Bieber)","Ariana Grande",59009,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
43,"eight(Prod.&Feat. SUGA of BTS)",IU,58361,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
44,"comethru (bonus track)","Jeremy Zucker",57157,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
45,"Một Cú Lừa (Đu Đưa Version)","Bich Phuong",57027,https://open.spotify.com/track/2UEMPLkYBXGkqdxzJHlNxh
46,"Break My Heart","Dua Lipa",55854,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
47,"Let Me Down Slowly","Alec Benjamin",55817,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
48,"Sky Tour Intro","Sơn Tùng M-TP",55639,https://open.spotify.com/track/3cuFzsortMGytfYQ71PpUg
49,"Dance Monkey","Tones And I",55280,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
50,"Nơi Này Có Anh","Sơn Tùng M-TP",54359,https://open.spotify.com/track/5HbLlcJogki9rRq2KfkGQP
51,"Em Day Chang Phai Thuy Kieu","Hoang Thuy Linh",50865,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu
52,"Say So","Doja Cat",48993,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
53,"Rain On Me (with Ariana Grande)","Lady Gaga",47787,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
54,"Đi Đu Đưa Đi","Bich Phuong",47255,https://open.spotify.com/track/2OZTkXYCNbZS9TwPRy52Js
