,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,ROCKSTAR (feat. Roddy Ricch),DaBaby,5191584,7ytR5pFWmSjzHJIeQkgog4
2,Savage Love (Laxed - Siren Beat),Jawsh 685,4825985,1xQ6trAsedVPCdbtDAmk0c
3,Blinding Lights,The Weeknd,4258239,0VjIjW4GlUZAMYd2vXMi3b
4,Come & Go (with Marshmello),Juice WRLD,4209505,7y7w4tl4MaRC2UMEj1mPtr
5,Watermelon Sugar,Harry Styles,3747530,6UelLqGlWMcVH1E5c4H7lY
6,Roses - Imanbek Remix,SAINt JHN,3519695,24Yi9hE78yPEbZ4kxyoXAI
7,Wishing Well,Juice WRLD,3453194,6o3QUC5oAE4g6WxRIFcZtb
8,Life's A Mess (feat. Halsey),Juice WRLD,3022117,4h5N4KyWZMtpeH9vhXSXjd
9,Conversations,Juice WRLD,2788999,2fZTS0VboxRpF0FdfY7E5P
10,Breaking Me,Topic,2773005,3H7ihDc1dqLriiWXwsc2po
11,death bed (coffee for your head) (feat. beabadoobee),Powfu,2713750,7eJMfftS33KTjuF7lTsMCx
12,Rain On Me (with Ariana Grande),Lady Gaga,2673831,7ju97lgwC2rKQ6wwsf9no9
13,How You Like That,BLACKPINK,2535199,3vAn0qZzdyuHamcrpkfiX3
14,Hate The Other Side (with Marshmello feat. Polo G & The Kid Laroi),Juice WRLD,2488906,66FgjA5ZQJJuypFG1bc8se
15,Dance Monkey,Tones And I,2443765,1rgnBhdG2JDFTbYkYRZAku
16,ily (i love you baby) (feat. Emilee),Surf Mesa,2402404,62aP9fBQKYKxi7PDXwcUAS
17,Toosie Slide,Drake,2385481,466cKvZn1j45IpxDdYZqdA
18,Righteous,Juice WRLD,2365791,615vw74T1NebV8pKoutm2J
19,La Jeepeta - Remix,Nio Garcia,2306887,1mohfLaTJtB2RplHLQVM70
20,Don't Start Now,Dua Lipa,2297821,3PfIrDoz19wz7qK7tYeu62
21,Break My Heart,Dua Lipa,2280748,017PF4Q3l4DBUiWoXk4OWT
22,Blueberry Faygo,Lil Mosey,2229140,22LAwLoDA5b4AaGSkg6bKW
23,Party Girl,StaySolidRocky,2194033,5RqR4ZCCKJDcBLIn4sih9l
24,MAMACITA,Black Eyed Peas,2127230,24IgCW19L8lXKyFZwzFtD3
25,Stuck with U (with Justin Bieber),Ariana Grande,2085577,4HBZA5flZLE435QTztThqH
26,TKN (feat. Travis Scott),ROSALÍA,1968101,4w47S36wQGBhGg073q3nt7
27,Relación,Sech,1959308,3ZG8N7aWw2meb6UrI5ZmnZ
28,Someone You Loved,Lewis Capaldi,1956750,7qEHsqek33rTcFNT9PFqLf
29,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,1929894,2MbdDtCv5LUVjYy9RuGTgC
30,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,1919190,1H7KnK26kc1YyellpbINEn
31,Supalonely,BENEE,1896239,4nK5YrxbMGZstTLbvj6Gxw
32,Titanic,Juice WRLD,1880665,1QoG0Yqz1onMsdbOibZVke
33,Blood On My Jeans,Juice WRLD,1880301,3MmCFghNjzZMn3HKqbVizn
34,Bad Energy,Juice WRLD,1817200,0JoWBcL61YWLXM5vW0YTHO
35,Before You Go,Lewis Capaldi,1773868,2gMXnyrvIjhVBUZwvLZDMP
36,The Box,Roddy Ricch,1772729,0nbXyq5TXYPCO7pr3N8S4I
37,Caramelo,Ozuna,1766814,3gD4J3RUHy4OUuZ3qAiaiG
38,Intentions (feat. Quavo),Justin Bieber,1747149,4umIPjkehX1r7uhmGvXiSV
39,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1739522,0PvFJmanyNQMseIFrU708S
40,Stay High,Juice WRLD,1717262,1AnkdcHl86kEhDvhaKDuIe
41,Tell Me U Luv Me (with Trippie Redd),Juice WRLD,1682779,7iIzwqG5UxPYwTYUUK4pzU
42,Fighting Demons,Juice WRLD,1663621,0jo6Nd4iJU0UFHqS0Xd4l4
43,Up Up And Away,Juice WRLD,1614282,5lcIegmdblnWqT9nS9EhZj
44,Sunday Best,Surfaces,1583732,1Cv1YLb4q0RzL6pybtaMLo
45,THE SCOTTS,THE SCOTTS,1564538,39Yp9wwQiSRIDOvrVg7mbk
46,Screw Juice,Juice WRLD,1551975,2XSO13Gyndo7MDdtYibIxO
47,Man Of The Year,Juice WRLD,1475357,1uA914Md6wsy9NDryyBypH
48,Say So,Doja Cat,1473795,3Dv1eDb0MEgF93GpLXlucZ
49,Circles,Post Malone,1466013,21jGcNKet2qwijlDFuPiPb
50,I Want It,Juice WRLD,1464868,6RsRMf9e4KUyo3MecGffNL
51,Tusa,KAROL G,1464486,7k4t7uLgtOxPwTpFmtJNTY
52,Be Kind (with Halsey),Marshmello,1457985,3Z8FwOEN59mRMxDCtb8N0A
53,Can't Die,Juice WRLD,1448192,6DuHcOuuGWXNvF3uocsrBa
54,La Curiosidad,Jay Wheeler,1438743,4HYDUMY0xSpeBr0AMY9cUz
55,In Your Eyes,The Weeknd,1438217,7szuecWAPwGoV1e5vGu8tl
56,Kings & Queens,Ava Max,1426517,76nqCfJOcFFWBJN32PAksn
57,Falling,Trevor Daniel,1395252,2rRJrJEo19S2J82BDsQ3F7
58,goosebumps,Travis Scott,1378353,6gBFPUFcJLzWGx4lenP6h2
59,Adore You,Harry Styles,1369732,3jjujdWJ72nww5eGnfs2E7
60,Savage Remix (feat. Beyoncé),Megan Thee Stallion,1369664,5v4GgrXPMghOnBBLmveLac
61,Señorita,Shawn Mendes,1361571,6v3KW9xbzN5yKLt9YKDYA2
62,Hasta Que Dios Diga,Anuel AA,1357876,06s3QtMJVXw1AJX3UfvZG1
63,Play Date,Melanie Martinez,1357303,4DpNNXFMMxQEKl7r0ykkWA
64,GOOBA,6ix9ine,1356394,4NhDYoQTYCdWHTvlbGVgwo
65,Memories,Maroon 5,1327165,2b8fOow8UzyDFAE27YhOZM
66,Djadja (feat. Maluma) - Remix,Aya Nakamura,1287281,6AzKhCHOms83jvNVLsz0Bt
67,Go Crazy,Chris Brown,1281126,1IIKrJVP1C9N7iPtG6eOsK
68,Lucid Dreams,Juice WRLD,1280553,285pBltuF7vW8TeWk8hdRR
69,Lose Somebody,Kygo,1261131,1sgDyuLooyvEML4oHspNza
70,HIGHEST IN THE ROOM,Travis Scott,1242650,3eekarcy7kvN4yt5ZFzltW
71,Dior,Pop Smoke,1218395,79s5XnCN4TJKTVMSmOx8Ep
