,Genre,count
0,pop reggaeton,4
1,arkansas country,106
2, contemporary country,87
3, country,1492
4, country road,1295
5, modern country rock,553
6, redneck,155
7,dance pop,2170
8, pop,2536
9,dfw rap,44
10, melodic rap,168
11, rap,2364
12, southern hip hop,1151
13, trap,1161
14, post-teen pop,1410
15,nc hip hop,21
16,hip hop,283
17, pop rap,2474
18,memphis hip hop,6
19, r&b,1577
20,pop,310
21,k-pop,12
22, k-pop boy group,7
23,florida rap,20
24,melodic rap,75
25,australian pop,90
26,canadian contemporary r&b,47
27, canadian pop,319
28, country pop,140
29,atl hip hop,494
30, atl trap,47
31, gangster rap,692
32,alternative r&b,118
33,contemporary country,1293
34,edm,18
35, electropop,119
36, tropical house,153
37,trap,9
38,canadian hip hop,155
39, hip hop,1818
40, toronto rap,155
41, edm,185
42, metropopolis,46
43, uk pop,134
44,cali rap,37
45,electropop,53
46, oklahoma country,200
47, etherpop,11
48, indie poptimism,71
49,boy band,233
50, dance pop,847
51,chicago rap,139
52, conscious hip hop,55
53,latin,67
54, reggaeton,78
55,rap,32
56, pop rock,1179
57, urban contemporary,1760
58,canadian pop,164
59, viral pop,174
60,adult standards,3706
61, brill building pop,2266
62, classic girl group,216
63, motown,2681
64,baton rouge rap,32
65,art pop,54
66,country rap,26
67,houston rap,6
68, trap queen,38
69,brostep,18
70, progressive electro house,18
71, texas country,60
72,emo rap,50
73, miami hip hop,177
74, philly rap,84
75, hip pop,975
76, queens hip hop,156
77,conscious hip hop,133
78, american folk revival,17
79, trap latino,13
80, cowboy western,36
81, traditional country,64
82, yodeling,50
83, deep talent show,4
84,australian country,44
85,la indie,4
86, heartland rock,542
87,escape room,8
88, minnesota hip hop,5
89,post-teen pop,33
90, social media pop,48
91, deep pop r&b,151
92, rap latina,8
93,baroque pop,81
94, emo,54
95, modern rock,261
96,deep pop r&b,38
97, reggaeton flow,14
98, country dawn,370
99,alternative metal,348
100, alternative rock,138
101, art rock,799
102, nu metal,243
103, post-grunge,569
104, post-metal,2
105, progressive metal,4
106, progressive rock,188
107, rock,3218
108, easy listening,774
109, mellow gold,3888
110,latin pop,14
111, puerto rican pop,37
112,panamanian pop,2
113, dirty south rap,260
114,hollywood,40
115, show tunes,45
116, nyc rap,6
117,electronic trap,8
118,pop rap,53
119, latin hip hop,40
120, tropical,108
121,dirty south rap,84
122,bronx hip hop,38
123, east coast hip hop,132
124, hardcore hip hop,333
125, lgbtq+ hip hop,42
126, neo soul,622
127, nc hip hop,42
128,east coast hip hop,249
129,big room,40
130, progressive house,30
131, lounge,1137
132,detroit hip hop,102
133,new wave pop,93
134,hawaiian hip hop,3
135, dmv rap,20
136,k-hop,5
137, k-pop,5
138,anthem worship,7
139, ccm,8
140, christian alternative rock,34
141, christian indie,3
142, christian music,37
143, world worship,12
144, worship,25
145,hip pop,82
146, soul,2881
147, talent show,100
148,bubblegum dance,48
149, eurodance,70
150, europop,441
151, g funk,80
152,ectofolk,6
153, folk,1119
154, lilith,217
155, new wave pop,1386
156, singer-songwriter,683
157,permanent wave,57
158,glee club,205
159, hollywood,322
160,british soul,65
161, neo mellow,442
162,album rock,2316
163, blues rock,578
164, classic rock,2326
165, electric blues,206
166, soft rock,3703
167, new orleans rap,98
168,irish rock,38
169, permanent wave,554
170,british invasion,99
171, merseybeat,816
172, psychedelic rock,765
173, girl group,177
174, new jack swing,765
175,idol,42
176,alternative rock,206
177, britpop,8
178, shoegaze,3
179, funk,1640
180, quiet storm,2228
181,pop rock,22
182,doo-wop,109
183,barbadian pop,46
184,neo mellow,105
185, piano rock,249
186, canadian singer-songwriter,79
187, cyberpunk,8
188, electronic rock,16
189, industrial,9
190, industrial metal,17
191, industrial rock,21
192, folk rock,2517
193, sunshine pop,240
194, classic soul,904
195, disco,1210
196,brill building pop,1028
197, deep adult standards,173
198, doo-wop,670
199, vocal harmony group,98
200, classic canadian rock,156
201, jazz,73
202, jazz blues,239
203, swing,114
204, vocal jazz,544
205,mellow gold,65
206, bubblegum pop,1695
207,chicago soul,157
208, scandipop,9
209, swedish electropop,13
210, swedish pop,45
211, rock-and-roll,1910
212,classic soul,1030
213, rhythm and blues,890
214,american folk revival,64
