,SongID,Peak Position,Performer,Song,spotify_genre,spotify_track_id,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
368,A Holly Jolly ChristmasBurl Ives,6,Burl Ives,A Holly Jolly Christmas,"['adult standards', 'american folk revival']",65Q2mv3UlVi9eO70OpsmSe,82.0,0.674,0.37,0.0,-12.937000000000001,1.0,0.0309,0.616,0.0,0.0781,0.862,140.352,4.0
574,Act UpCity Girls,26,City Girls,Act Up,"['pop', 'pop rap', 'trap queen']",3A2yGHWIzmGEIolwonU69h,80.0,0.938,0.638,8.0,-4.713,1.0,0.18899999999999997,0.0167,0.0,0.111,0.313,97.075,4.0
809,All I Want For Christmas Is YouMariah Carey,1,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,97.0,0.335,0.625,7.0,-7.462000000000001,1.0,0.0386,0.16399999999999998,0.0,0.0708,0.34600000000000003,150.27700000000002,4.0
884,All The Good Girls Go To HellBillie Eilish,46,Billie Eilish,All The Good Girls Go To Hell,"['electropop', 'pop']",6IRdLKIyS4p7XNiP8r6rsx,87.0,0.726,0.444,8.0,-8.922,0.0,0.37200000000000005,0.28300000000000003,0.14300000000000002,0.177,0.569,185.044,4.0
917,All To MyselfDan + Shay,31,Dan + Shay,All To Myself,"['contemporary country', 'pop']",08tq1XcHwVt5PHXUo87i0D,74.0,0.6459999999999999,0.7809999999999999,1.0,-4.6160000000000005,1.0,0.0313,0.20800000000000002,0.0,0.125,0.565,94.975,4.0
1560,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",78,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,"['dfw rap', 'rap', 'southern hip hop', 'trap']",2biNa12dMbHJrHVFRt8JyO,62.0,0.948,0.623,8.0,-5.725,0.0,0.168,0.00124,1.07e-06,0.0716,0.856,135.97899999999998,4.0
1648,Bad GuyBillie Eilish,1,Billie Eilish,Bad Guy,"['electropop', 'pop']",2Fxmhks0bxGSBdJ92vM42m,96.0,0.701,0.425,7.0,-10.965,1.0,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4.0
1904,Before I Let GoBeyonce,65,Beyonce,Before I Let Go,"['dance pop', 'pop', 'pop rap', 'r&b']",7LikBkHerFGZ58QHVOKp1t,67.0,0.713,0.8420000000000001,6.0,-5.4239999999999995,0.0,0.0984,0.0686,0.0,0.341,0.435,102.96799999999999,4.0
2022,BetterKhalid,8,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,82.0,0.596,0.552,0.0,-10.277999999999999,0.0,0.09699999999999999,0.0765,0.33399999999999996,0.10400000000000001,0.11199999999999999,97.949,4.0
2072,Big Ole FreakMegan Thee Stallion,65,Megan Thee Stallion,Big Ole Freak,"['houston rap', 'pop', 'pop rap', 'trap queen']",3YEbLhXRDPTtctnb3ddg8g,74.0,0.799,0.6990000000000001,2.0,-7.694,1.0,0.204,0.00867,0.0,0.132,0.627,142.97899999999998,4.0
2783,Call You MineThe Chainsmokers & Bebe Rexha,56,The Chainsmokers & Bebe Rexha,Call You Mine,"['electropop', 'pop', 'tropical house']",2oejEp50ZzPuQTQ6v54Evp,81.0,0.591,0.7020000000000001,7.0,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501,104.00299999999999,4.0
2785,CallaitaBad Bunny & Tainy,52,Bad Bunny & Tainy,Callaita,"['latin', 'reggaeton', 'trap latino']",2TH65lNHgvLxCKXM3apjxI,92.0,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,4.0
3321,CloutOffset Featuring Cardi B,39,Offset Featuring Cardi B,Clout,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",59ywHNwwchG4nZJMLyxSzd,80.0,0.919,0.622,1.0,-7.3839999999999995,1.0,0.0997,0.228,4.24e-06,0.122,0.424,140.02200000000002,4.0
3726,Cross MeEd Sheeran Featuring Chance The Rapper & PnB Rock,25,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,"['pop', 'uk pop']",543bCW2ruMPmxUBWirQ3MR,79.0,0.746,0.787,4.0,-6.372999999999999,1.0,0.12,0.214,0.0,0.0669,0.607,95.005,4.0
3937,Dancing With A StrangerSam Smith & Normani,7,Sam Smith & Normani,Dancing With A Stranger,"['pop', 'uk pop']",6Qs4SXO9dwPj5GKvVOv8Ki,89.0,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,4.0
4992,Easier5 Seconds Of Summer,48,5 Seconds Of Summer,Easier,"['boy band', 'dance pop', 'pop', 'post-teen pop']",4tNXntkAzQ5A2dfYRYGIIQ,83.0,0.505,0.428,5.0,-5.604,1.0,0.221,0.489,0.0,0.0977,0.618,175.813,4.0
5118,EmptyJuice WRLD,41,Juice WRLD,Empty,"['chicago rap', 'melodic rap']",41MCdlvXOl62B7Kv86Bb1v,82.0,0.745,0.561,0.0,-4.869,1.0,0.0807,0.0758,0.0,0.133,0.449,77.557,4.0
5152,Envy MeCalboy,31,Calboy,Envy Me,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",7rvyVWja33WG9R97oeJAjx,79.0,0.74,0.488,1.0,-7.664,0.0,0.27,0.23399999999999999,0.0,0.24100000000000002,0.584,149.042,4.0
5186,Even Though I'm LeavingLuke Combs,5,Luke Combs,Even Though I'm Leaving,['contemporary country'],5aZQrb2TXWEh9uZR4HEY3r,80.0,0.5539999999999999,0.755,2.0,-6.04,1.0,0.0319,0.225,0.0,0.301,0.624,77.962,4.0
5386,Eyes On YouChase Rice,38,Chase Rice,Eyes On You,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",5AnSllIrgGsCZzZJkVnApx,75.0,0.606,0.652,9.0,-6.982,1.0,0.0281,0.32299999999999995,0.0,0.201,0.47600000000000003,97.155,4.0
5612,Feliz NavidadJose Feliciano,23,Jose Feliciano,Feliz Navidad,"['latin pop', 'puerto rican pop']",0oPdaY4dXtc3ZsaG17V972,83.0,0.512,0.831,2.0,-9.004,1.0,0.0383,0.552,0.0,0.336,0.963,148.82,4.0
6166,GIRLMaren Morris,44,Maren Morris,GIRL,"['contemporary country', 'pop', 'texas country']",3y5B5ebFMzEEFqCPOesAXR,72.0,0.44,0.7929999999999999,6.0,-3.95,1.0,0.0502,0.0677,0.0,0.0788,0.447,143.599,4.0
6595,"Go LokoYG, Tyga & Jon Z",49,"YG, Tyga & Jon Z",Go Loko,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3SZqA7rQvROJsCbUu2v0xa,80.0,0.88,0.67,2.0,-5.188,1.0,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,4.0
6628,God's CountryBlake Shelton,17,Blake Shelton,God's Country,"['contemporary country', 'country', 'country road', 'oklahoma country']",1dyxS3YzBbL0t8rEVwVQ1K,78.0,0.5379999999999999,0.752,10.0,-5.106,1.0,0.0396,0.0608,5.39e-06,0.11800000000000001,0.217,139.984,4.0
6648,Going BadMeek Mill Featuring Drake,6,Meek Mill Featuring Drake,Going Bad,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2IRZnDFmlqMuOrYOLnZZyc,87.0,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.00299999999999,4.0
6702,Good As YouKane Brown,36,Kane Brown,Good As You,"['contemporary country', 'country road']",19kUPdKTp85q9RZNwaXM15,76.0,0.634,0.516,8.0,-6.05,1.0,0.0373,0.4,0.0,0.142,0.769,153.83100000000002,4.0
7513,Here Comes Santa Claus (Right Down Santa Claus Lane)Gene Autry,28,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",25leEEaz1gIpp7o21Fqyjo,80.0,0.8340000000000001,0.37200000000000005,1.0,-11.99,1.0,0.0358,0.799,0.0,0.275,0.976,96.62799999999999,4.0
7557,Here With MeMarshmello Featuring CHVRCHES,31,Marshmello Featuring CHVRCHES,Here With Me,"['brostep', 'progressive electro house']",5icOoE6VgqFKohjWWNp0Ac,85.0,0.7909999999999999,0.565,5.0,-3.9330000000000003,0.0,0.0439,0.0623,0.0,0.156,0.18100000000000002,99.961,4.0
7613,"Hey Look Ma, I Made ItPanic! At The Disco",16,Panic! At The Disco,"Hey Look Ma, I Made It","['baroque pop', 'emo', 'modern rock']",22oEJW6r2rMb9z4IntfyEa,80.0,0.5770000000000001,0.833,5.0,-3.3369999999999997,1.0,0.0695,0.0137,0.0,0.121,0.58,107.936,4.0
7672,High HopesPanic! At The Disco,4,Panic! At The Disco,High Hopes,"['baroque pop', 'emo', 'modern rock']",1rqqCSm0Qe4I9rUvWncaom,88.0,0.579,0.904,5.0,-2.7289999999999996,1.0,0.0618,0.193,0.0,0.064,0.6809999999999999,82.014,4.0
7879,HomicideLogic Featuring Eminem,5,Logic Featuring Eminem,Homicide,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",7M2tXmeS15NAzEn7ABFeBg,79.0,0.6940000000000001,0.759,10.0,-5.667000000000001,0.0,0.39799999999999996,0.13699999999999998,0.0,0.16699999999999998,0.77,140.055,4.0
8429,I Don't CareEd Sheeran & Justin Bieber,2,Ed Sheeran & Justin Bieber,I Don't Care,"['pop', 'uk pop']",3HVWdVOQ0ZA45FuZGSfvns,91.0,0.7979999999999999,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4.0
9702,If I Can't Have YouShawn Mendes,2,Shawn Mendes,If I Can't Have You,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",6LsAAHotRLMOHfCsSfYCsz,86.0,0.6920000000000001,0.809,2.0,-4.198,1.0,0.0602,0.524,0.0,0.147,0.8640000000000001,123.911,4.0
10402,It's The Most Wonderful Time Of The YearAndy Williams,10,Andy Williams,It's The Most Wonderful Time Of The Year,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",5hslUAKq9I9CG2bAulFkHN,91.0,0.24,0.598,7.0,-8.435,1.0,0.037000000000000005,0.7659999999999999,0.0,0.11699999999999999,0.7759999999999999,202.082,3.0
10549,Jingle Bell RockBobby Helms,8,Bobby Helms,Jingle Bell Rock,['adult standards'],3hBXvHLlTHvnbwrPbeoyAj,91.0,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.8059999999999999,119.705,4.0
10790,Just UsDJ Khaled Featuring SZA,43,DJ Khaled Featuring SZA,Just Us,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0BnTBAGmr9FtYwkZrwKhwS,73.0,0.639,0.8590000000000001,9.0,-2.758,0.0,0.147,0.135,0.0,0.129,0.5660000000000001,93.132,4.0
11063,La La LandBryce Vine Featuring YG,75,Bryce Vine Featuring YG,La La Land,"['pop', 'pop rap']",4oM9DGUTrRaXJDypxxHztZ,74.0,0.774,0.473,1.0,-5.122000000000001,0.0,0.0569,0.221,0.0,0.222,0.41600000000000004,97.95299999999999,4.0
11136,Last ChristmasWham!,17,Wham!,Last Christmas,"['dance rock', 'new wave pop']",6wn2nmFn3wDuiMldRiuRuL,89.0,0.757,0.618,11.0,-7.9639999999999995,0.0,0.0282,0.262,0.0,0.221,0.861,106.85600000000001,4.0
11272,LegendsJuice WRLD,29,Juice WRLD,Legends,"['chicago rap', 'melodic rap']",1Knctxx9vGZxpZfF66BIEa,88.0,0.594,0.7979999999999999,4.0,-5.244,1.0,0.0844,0.115,0.0,0.14300000000000002,0.381,142.049,4.0
11325,"Let It Snow, Let It Snow, Let It SnowDean Martin",20,Dean Martin,"Let It Snow, Let It Snow, Let It Snow","['adult standards', 'easy listening', 'lounge']",2uFaJJtFpPDc5Pa95XzTvg,87.0,0.452,0.24,1.0,-14.014000000000001,1.0,0.0351,0.912,2.45e-06,0.175,0.701,134.005,4.0
11980,Look Back At ItA Boogie Wit da Hoodie,27,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,83.0,0.7909999999999999,0.5870000000000001,3.0,-5.075,0.0,0.0413,0.40700000000000003,0.0,0.14800000000000002,0.536,96.057,4.0
